Sr. No.,Category,States/ UTs,Motor Vehicles,Motor Cycle,Car,Jeep,One Tonner,Three Tonner,Others,Wireless Equipment,H.F. / V.H.F.,Walkie – Talkie,Other Wireless Equipments
1,State,Andhra Pradesh,8772,3108,632,3955,0,807,270,16019,9139,6546,334
2,State,Arunachal Pradesh,840,342,242,0,109,57,90,2022,1042,895,85
3,State,Assam,277,7,22,0,25,17,206,77,0,0,77
4,State,Bihar,6270,1584,211,2413,640,762,660,6018,1515,2609,1894
5,State,Chhattisgarh,6820,2589,154,900,91,425,2661,4619,2092,320,2207
6,State,Goa,544,288,15,169,0,0,72,3974,1489,1021,1464
7,State,Gujarat,7924,4192,457,1808,672,640,155,16375,10223,6101,51
8,State,Haryana,337,80,245,5,7,0,0,1711,414,175,1122
9,State,Himachal Pradesh,892,450,267,0,0,175,0,3251,1396,1855,0
10,State,Jammu & Kashmir,5169,380,810,2377,973,629,0,13726,4709,8551,466
11,State,Jharkhand,5018,1581,125,757,261,91,2203,10406,8746,0,1660
12,State,Karnataka,16612,10560,398,2442,96,42,3074,49140,8912,17193,23035
13,State,Kerala,4967,1913,130,1184,14,49,1677,12107,4738,4176,3193
14,State,Madhya Pradesh,6564,2329,338,2404,876,604,13,29029,9786,18822,421
15,State,Maharashtra,15527,6951,744,4713,386,1567,1166,23524,11348,11227,949
16,State,Manipur,1925,353,32,1038,265,196,41,7739,2840,1273,3626
17,State,Meghalaya,756,75,24,119,149,43,346,2636,1045,1365,226
18,State,Mizoram,671,154,10,289,140,39,39,1387,322,581,484
19,State,Nagaland,478,112,18,46,70,61,171,371,103,209,59
20,State,Odisha,4783,2044,133,1680,638,277,11,7443,3857,3562,24
21,State,Punjab,4327,1543,219,1851,486,209,19,14032,4179,6591,3262
22,State,Rajasthan,4907,2441,121,1678,433,234,0,13994,9457,4537,0
23,State,Sikkim,101,18,1,62,10,3,7,2127,319,397,1411
24,State,Tamil Nadu,13273,5958,445,4260,1551,742,317,18574,6528,11788,258
25,State,Tripura,1571,395,43,197,199,61,676,6226,3169,3057,0
26,State,Uttar Pradesh,11780,4715,524,4064,747,1388,342,35809,17233,17475,1101
27,State,Uttarakhand,1431,531,45,32,92,228,503,4622,1874,2653,95
28,State,West Bengal,4876,2804,99,639,760,217,357,10705,5464,4839,402
State,State,Total (States),137412,57497,6504,39082,9690,9563,15076,317663,131939,137818,47906
29,Union Territory,A & N Islands,352,236,12,53,10,17,24,241,100,100,41
30,Union Territory,Chandigarh,331,138,18,110,42,21,2,2079,474,1526,79
31,Union Territory,D & N Haveli,62,26,2,0,30,0,4,136,96,40,0
32,Union Territory,Daman & Diu,54,31,1,9,1,1,11,199,94,103,2
33,Union Territory,Delhi,6108,3676,260,1275,0,0,897,18721,2065,12455,4201
34,Union Territory,Lakshadweep,44,18,1,4,7,6,8,104,0,30,74
35,Union Territory,Puducherry,470,302,13,112,0,23,20,1132,442,670,20
Union Territory,Union Territory,Total (UTs),7421,4427,307,1563,90,68,966,22612,3271,14924,4417
Total (All-India),Total (All-India),Total (All-India),144833,61924,6811,40645,9780,9631,16042,340275,135210,152742,52323
