Sr. No.,Category,States/ UTs,Number of Cases in Which Property - Stolen,Number of Cases in Which Property - Recovered,Value of Property (Rs. in lakh) - Stolen,Value of Property (Rs. in lakh) - Recovered
1,State,Andhra Pradesh,79,36,66,41.3
2,State,Arunachal Pradesh,5,2,6.4,0.6
3,State,Assam,45,14,2.7,1.6
4,State,Bihar,18,7,9.2,4
5,State,Chhattisgarh,2,0,0.2,0
6,State,Goa,23,9,19.2,1.1
7,State,Gujarat,0,0,0,0
8,State,Haryana,4,3,1.3,0.9
9,State,Himachal Pradesh,38,5,13.5,0.8
10,State,Jammu & Kashmir,2,2,0.1,0.1
11,State,Jharkhand,37,16,0.9,0.2
12,State,Karnataka,61,29,79.2,54.7
13,State,Kerala,4,1,4.6,3.5
14,State,Madhya Pradesh,39,9,2.3,1.3
15,State,Maharashtra,105,28,4033.9,4004
16,State,Manipur,0,0,0,0
17,State,Meghalaya,0,0,0,0
18,State,Mizoram,0,0,0,0
19,State,Nagaland,0,0,0,0
20,State,Odisha,7,4,117.5,116.7
21,State,Punjab,0,0,0,0
22,State,Rajasthan,48,7,73.5,56.5
23,State,Sikkim,0,0,0,0
24,State,Tamil Nadu,18,9,3.4,2
25,State,Tripura,0,0,0,0
26,State,Uttar Pradesh,18,8,11,8.2
27,State,Uttarakhand,0,0,0,0
28,State,West Bengal,89,7,43.9,2.5
State,State,Total (States),642,196,4488.7,4300
29,Union Territory,A & N Islands,0,0,0,0
30,Union Territory,Chandigarh,1,0,0.2,0
31,Union Territory,D & N Haveli,1,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0
33,Union Territory,Delhi,2,1,0.1,0
34,Union Territory,Lakshadweep,0,0,0,0
35,Union Territory,Puducherry,1,0,0.1,0
Union Territory,Union Territory,Total (UTs),5,1,0.4,0
Total (All-India),Total (All-India),Total (All-India),647,197,4489,4300.1
