Sl. No.,Category,States/Uts/Cities,Incidence,Percentage Contribution to All-India Total,Estimated Mid-Year Population (In Lakhs)@,Rate of Total Cognizable Crimes,Rank  as per Rate of total cognizable crimes,Rank as per percentage share
1,State,Andhra Pradesh,27244,12.8,841.29,32.4,3,1
2,State,Arunachal Pradesh,190,0.1,12.35,15.4,15,25
3,State,Assam,11555,5.4,309.78,37.3,2,7
4,State,Bihar,8471,4,971.84,8.7,29,11
5,State,Chhattisgarh,4176,2,245.38,17,13,16
6,State,Goa,140,0.1,17.43,8,30,28
7,State,Gujarat,8148,3.8,581.93,14,19,12
8,State,Haryana,5562,2.6,245.9,22.6,9,14
9,State,Himachal Pradesh,1028,0.5,66.87,15.4,16,22
10,State,Jammu & Kashmir,2611,1.2,133.64,19.5,12,19
11,State,Jharkhand,3087,1.4,309.37,10,27,17
12,State,Karnataka,8807,4.1,587.99,15,17,9
13,State,Kerala,9463,4.4,349.72,27.1,6,8
14,State,Madhya Pradesh,16468,7.7,721.06,22.8,8,5
15,State,Maharashtra,15737,7.4,1100.49,14.3,18,6
16,State,Manipur,190,0.1,27.02,7,31,24
17,State,Meghalaya,261,0.1,26.09,10,26,23
18,State,Mizoram,170,0.1,10.08,16.9,14,26
19,State,Nagaland,41,0,22.5,1.8,34,32
20,State,Odisha,8501,4,408.28,20.8,10,10
21,State,Punjab,2853,1.3,272.68,10.5,23,18
22,State,Rajasthan,18182,8.5,671.06,27.1,5,4
23,State,Sikkim,42,0,6.1,6.9,33,31
24,State,Tamil Nadu,6708,3.1,676.32,9.9,28,13
25,State,Tripura,1678,0.8,36.1,46.5,1,20
26,State,Uttar Pradesh,20169,9.4,1990.28,10.1,25,3
27,State,Uttarakhand,1074,0.5,98.17,10.9,21,21
28,State,West Bengal,26125,12.2,902.22,29,4,2
Total (States),Total (States),Total (States),208681,97.7,11641.94,17.9,NA,NA
29,Union Territories,Andaman & Nicobar Islands,85,0,4.32,19.7,11,30
30,Union Territories,Chandigarh,141,0.1,11.25,12.5,20,27
31,Union Territories,Dadra Nagar Haveli,30,0,2.83,10.6,22,33
32,Union Territories,Daman & Diu,14,0,2,7,32,34
33,Union Territories,Delhi,4518,2.1,183.33,24.6,7,15
34,Union Territories,Lakshadweep,1,0,0.72,1.4,35,35
35,Union Territories,Puducherry,115,0.1,11.17,10.3,24,29
Total (UTs),Total (UTs),Total (UTs),4904,2.3,215.62,22.7,NA,NA
Total (All-India),Total (All-India),Total (All-India),213585,100,11857.56,18,NA,NA
36,City,Agra,598,2.5,13.21,45.3,6,13
37,City,Ahmedabad,1564,6.4,45.19,34.6,13,4
38,City,Allahabad,124,0.5,10.5,11.8,29,33
39,City,Amritsar,192,0.8,10.11,19,23,29
40,City,Asansol,374,1.5,10.91,34.3,14,21
41,City,Bengaluru,1570,6.5,56.87,27.6,17,3
42,City,Bhopal,506,2.1,14.55,34.8,12,15
43,City,Chennai,420,1.7,64.25,6.5,35,18
44,City,Coimbatore,131,0.5,14.46,9.1,30,32
45,City,Delhi (city),3886,16,127.91,30.4,16,1
46,City,Dhanbad,84,0.3,10.64,7.9,33,35
47,City,Faridabad,496,2,10.55,47,3,16
48,City,Hyderabad,1964,8.1,55.34,35.5,11,2
49,City,Indore,639,2.6,16.39,39,7,11
50,City,Jabalpur,413,1.7,11.17,37,8,19
51,City,Jaipur,1182,4.9,23.24,50.9,2,6
52,City,Jamshedpur,142,0.6,11.02,12.9,28,31
53,City,Kanpur,969,4,26.9,36,10,9
54,City,Kochi,363,1.5,13.55,26.8,18,23
55,City,Kolkata,907,3.7,132.17,6.9,34,10
56,City,Lucknow,1052,4.3,22.67,46.4,4,8
57,City,Ludhiana,311,1.3,13.95,22.3,19,26
58,City,Madurai,186,0.8,11.95,15.6,26,30
59,City,Meerut,358,1.5,11.67,30.7,15,24
60,City,Mumbai,1409,5.8,163.68,8.6,31,5
61,City,Nagpur,432,1.8,21.23,20.3,21,17
62,City,Nasik,241,1,11.52,20.9,20,28
63,City,Patna,342,1.4,17.07,20,22,25
64,City,Pune,596,2.4,37.56,15.9,25,14
65,City,Rajkot,363,1.5,10.02,36.2,9,22
66,City,Surat,385,1.6,28.11,13.7,27,20
67,City,Vadodara,278,1.1,14.92,18.6,24,27
68,City,Varanasi,102,0.4,12.12,8.4,32,34
69,City,Vijayawada,1150,4.7,10.11,113.7,1,7
70,City,Vishakhapatnam,606,2.5,13.29,45.6,5,12
Total (Cities),Total (Cities),Total (Cities),24335,100,1078.8,22.6,NA,NA
