Sr. No.,Category,States/ UTs,Arms Act,Narcotic Drugs & Phychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosives & Explosive Subs. Act,Immoral Traffic (Prevention) Act,Railways Act,The Foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act - for SCs,Protection of Civil Rights Act - for STs,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Activities Act,Antiquities & Art Treasures Act,Dowry Prohibition Act,Prohibition of Child Marriage Act,Indecent Representation of Women (P) Act,Copyright Act,Sati Prevention Act,SC/ST (Prev.) of Atrocities Act - Total,SC/ST (Prev.) of Atrocities Act - for SCs,SC/ST (Prev.) of Atrocities Act - for STs,Forest Act,Other SLL Crimes,Total Cognizable Crimes Under SLL
1,State,Andhra Pradesh,5,5,10,41,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,11,86
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
4,State,Bihar,16,5,3,5,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0,0,13,49
5,State,Chhattisgarh,10,18,30,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,144,228
6,State,Goa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,State,Gujarat,0,4,60,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,8,0,0,174,433
8,State,Haryana,4,2,24,30,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,6,71
9,State,Himachal Pradesh,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,12
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,State,Jharkhand,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,8
12,State,Karnataka,0,2,2,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,9,24
13,State,Kerala,3,1,9,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,25
14,State,Madhya Pradesh,57,2,118,98,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,142,421
15,State,Maharashtra,19,4,145,0,130,0,2,0,0,0,0,0,2,6,0,0,0,1,0,5,0,4,4,0,0,186,504
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
18,State,Mizoram,0,1,0,0,1,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,23,40
19,State,Nagaland,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
20,State,Odisha,1,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17
21,State,Punjab,3,9,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,20
