Sl. No.(Col.1),Category (Col.2),States/Uts (Col.3),District / Session Judge - Duration of Trial - Less than 6 Months (Col.4),District / Session Judge - Duration of Trial - 6-12 Months (Col.5),District / Session Judge - Duration of Trial - 1-3 Years (Col.6),District / Session Judge - Duration of Trial - 3-5 Years (Col.7),District / Session Judge - Duration of Trial - 5-10 Years (Col.8),District / Session Judge - Duration of Trial - Over 10 Years (Col.9),District / Session Judge - Duration of Trial - Total (Col.4 to Col.9) = (Col.10),Additional Session Judge - Duration of Trial - Less than 6 Months (Col.11),Additional Session Judge - Duration of Trial - 6-12 Months (Col.12),Additional Session Judge - Duration of Trial - 1-3 Years (Col.13),Additional Session Judge - Duration of Trial - 3-5 Years (Col.14),Additional Session Judge - Duration of Trial - 5-10 Years (Col.15),Additional Session Judge - Duration of Trial - Over 10 Years (Col.16),Additional Session Judge - Duration of Trial - Total (Col.11 to Col.16) = (Col.17),Chief Judicial Magistrate - Duration of Trial - Less than 6 Months (Col.18),Chief Judicial Magistrate - Duration of Trial - 6-12 Months (Col.19),Chief Judicial Magistrate - Duration of Trial - 1-3 Years (Col.20),Chief Judicial Magistrate - Duration of Trial - 3-5 Years (Col.21),Chief Judicial Magistrate - Duration of Trial - 5-10 Years (Col.22),Chief Judicial Magistrate - Duration of Trial - Over 10 Years (Col.23),Chief Judicial Magistrate - Duration of Trial - Total (Col.18 to Col.23) = (Col.24),Judicial Magistrate (I) - Duration of Trial - Less than 6 Months (Col.25),Judicial Magistrate (I) - Duration of Trial - 6-12 Months (Col.26),Judicial Magistrate (I) - Duration of Trial - 1-3 Years (Col.27),Judicial Magistrate (I) - Duration of Trial - 3-5 Years (Col.28),Judicial Magistrate (I) - Duration of Trial - 5-10 Years (Col.29),Judicial Magistrate (I) - Duration of Trial - Over 10 Years (Col.30),Judicial Magistrate (I) - Duration of Trial - Total (Col.25 to Col.30) = (Col.31),Judicial Magistrate (II) - Duration of Trial - Less than 6 Months (Col.32),Judicial Magistrate (II) - Duration of Trial - 6-12 Months (Col.33),Judicial Magistrate (II) - Duration of Trial - 1-3 Years (Col.34),Judicial Magistrate (II) - Duration of Trial - 3-5 Years (Col.35),Judicial Magistrate (II) - Duration of Trial - 5-10 Years (Col.36),Judicial Magistrate (II) - Duration of Trial - Over 10 Years (Col.37),Judicial Magistrate (II) - Duration of Trial - Total (Col.32 to Col.37) = (Col.38),Special Judicial Magistrate - Duration of Trial - Less than 6 Months (Col.39),Special Judicial Magistrate - Duration of Trial - 6-12 Months (Col.39),Special Judicial Magistrate - Duration of Trial - 1-3 Years (Col.41),Special Judicial Magistrate - Duration of Trial - 3-5 Years (Col.42),Special Judicial Magistrate - Duration of Trial - 5-10 Years (Col.43),Special Judicial Magistrate - Duration of Trial - Over 10 Years (Col.44),Special Judicial Magistrate - Duration of Trial - Total (Col.39 to Col.44) = (Col.45),Other Type of Courts - Duration of Trial - Less than 6 Months (Col.46),Other Type of Courts - Duration of Trial - 6-12 Months (Col.47),Other Type of Courts - Duration of Trial - 1-3 Years (Col.48),Other Type of Courts - Duration of Trial - 3-5 Years (Col.49),Other Type of Courts - Duration of Trial - 5-10 Years (Col.50),Other Type of Courts - Duration of Trial - Over 10 Years (Col.51),Other Type of Courts - Duration of Trial - Total (Col.46 to Col.51) = (Col.52),Sum of All Type of Courts - Duration of Trial - Less than 6 Months (Col.53),Sum of All Type of Courts - Duration of Trial - 6-12 Months (Col.54),Sum of All Type of Courts - Duration of Trial - 1-3 Years (Col.55),Sum of All Type of Courts - Duration of Trial - 3-5 Years (Col.56),Sum of All Type of Courts - Duration of Trial - 5-10 Years (Col.57),Sum of All Type of Courts - Duration of Trial - Over 10 Years (Col.58),Sum of All Type of Courts - Duration of Trial - Total (Col.53 to Col.58) = (Col.59)
1,State,Andhra Pradesh,22,271,684,692,422,9,2100,30,415,2052,1214,706,45,4462,70,497,918,570,210,4,2269,6741,15128,20589,12453,3057,1152,59120,3314,7085,7285,2640,716,77,21117,1768,3907,3491,2291,541,35,12033,1709,2313,3633,1180,340,89,9264,13654,29616,38652,21040,5992,1411,110365
2,State,Arunachal Pradesh,0,1,20,13,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,58,115,88,18,8,301,0,153,182,137,5,2,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,212,317,238,23,10,814
3,State,Assam,36,104,336,297,241,87,1101,26,161,424,245,171,60,1087,669,1268,1846,1651,727,278,6439,201,612,1419,887,694,168,3981,49,161,278,247,69,28,832,52,169,268,204,81,41,815,82,96,181,168,158,78,763,1115,2571,4752,3699,2141,740,15018
4,State,Bihar,0,61,213,299,1354,520,2447,13,260,2859,3773,2869,1656,11430,20,258,868,907,749,383,3185,1476,1820,5563,7797,4966,1393,23015,33,187,1415,1477,1117,66,4295,8,163,444,378,385,118,1496,117,712,1604,1844,1826,762,6865,1667,3461,12966,16475,13266,4898,52733
5,State,Chhattisgarh,942,962,771,474,165,6,3320,184,578,540,359,151,7,1819,3395,2541,1911,876,393,133,9249,2285,2295,3271,2530,1186,302,11869,934,1396,1821,1337,502,387,6377,85,106,111,31,11,2,346,103,105,206,245,204,179,1042,7928,7983,8631,5852,2612,1016,34022
6,State,Goa,3,9,23,16,5,3,59,5,17,31,14,4,0,71,0,6,14,7,5,0,32,86,202,612,163,43,3,1109,2,2,55,39,2,0,100,0,0,5,1,0,0,6,4,7,23,9,6,0,49,100,243,763,249,65,6,1426
7,State,Gujarat,122,161,613,369,229,72,1566,36,247,530,348,176,27,1364,1835,2120,4134,2059,1102,248,11498,2500,3705,8227,5391,2051,323,22197,1688,2734,3137,2681,2198,137,12575,641,435,419,207,156,22,1880,1091,1284,811,587,321,53,4147,7913,10686,17871,11642,6233,882,55227
8,State,Haryana,50,167,622,261,104,14,1218,194,702,1421,833,334,40,3524,810,1565,3132,2018,817,39,8381,688,1637,3127,2756,947,79,9234,871,1307,2295,1542,534,85,6634,241,397,484,153,42,4,1321,346,444,814,493,187,10,2294,3200,6219,11895,8056,2965,271,32606
9,State,Himachal Pradesh,32,40,92,36,24,8,232,2,24,98,40,32,7,203,106,241,341,308,150,33,1179,192,353,697,367,248,59,1916,77,108,466,260,229,34,1174,0,5,30,8,2,3,48,68,67,108,225,70,25,563,477,838,1832,1244,755,169,5315
10,State,Jammu & Kashmir,87,82,186,231,220,196,1002,38,26,105,153,183,105,610,638,543,595,418,310,99,2603,551,511,680,688,348,117,2895,231,240,224,198,138,36,1067,48,66,42,38,8,9,211,206,182,376,243,141,92,1240,1799,1650,2208,1969,1348,654,9628
11,State,Jharkhand,0,0,404,1094,1362,430,3290,0,470,1602,1376,1144,246,4838,18,442,1333,1948,619,476,4836,83,1211,2970,1993,943,484,7684,11,851,965,563,305,47,2742,0,463,228,173,98,39,1001,9,443,1301,258,139,45,2195,121,3880,8803,7405,4610,1767,26586
12,State,Karnataka,252,339,1081,605,293,34,2604,29,135,930,615,352,40,2101,1727,2480,3974,2473,1509,211,12374,8320,6045,8388,5360,1591,138,29842,4777,4581,6265,3827,777,280,20507,98,173,316,77,30,31,725,821,1275,2461,691,749,334,6331,16024,15028,23415,13648,5301,1068,74484
13,State,Kerala,4,25,183,289,178,39,718,2,32,278,468,220,17,1017,130,419,1469,721,210,36,2985,8832,17923,22534,11047,2303,161,62800,3780,5320,6725,4332,1022,79,21258,0,10,79,35,4,0,128,108,219,413,36,51,8,835,12856,23948,31681,16928,3988,340,89741
