Sl. No.,Category,States/ UTs/ Cities,Incidence of Total Cognizable Crimes,Percentage Contribution to All-India Total,Population** (In Lakhs),Rate of Total Cognizable Crimes,Rank of * Criminality
1,State,Andhra Pradesh,181438,8.2,841.29,215.7,13
2,State,Arunachal Pradesh,2439,0.1,12.35,197.5,16
3,State,Assam,61668,2.8,309.78,199.1,15
4,State,Bihar,127453,5.7,971.84,131.1,26
5,State,Chhattisgarh,54958,2.5,245.38,224,11
6,State,Goa,3293,0.1,17.43,188.9,19
7,State,Gujarat,116439,5.2,581.93,200.1,14
8,State,Haryana,59120,2.7,245.9,240.4,9
9,State,Himachal Pradesh,13049,0.6,66.87,195.1,17
10,State,Jammu & Kashmir,23223,1,133.64,173.8,20
11,State,Jharkhand,38889,1.7,309.37,125.7,27
12,State,Karnataka,142322,6.4,587.99,242,8
13,State,Kerala,148313,6.7,349.72,424.1,1
14,State,Madhya Pradesh,214269,9.6,721.06,297.2,4
15,State,Maharashtra,208168,9.4,1100.49,189.2,18
16,State,Manipur,2715,0.1,27.02,100.5,29
17,State,Meghalaya,2505,0.1,26.09,96,30
18,State,Mizoram,2174,0.1,10.08,215.7,12
19,State,Nagaland,1059,0,22.5,47.1,35
20,State,Odisha,56459,2.5,408.28,138.3,23
21,State,Punjab,36648,1.6,272.68,134.4,24
22,State,Rajasthan,162957,7.3,671.06,242.8,7
23,State,Sikkim,552,0,6.1,90.5,32
24,State,Tamil Nadu,185678,8.3,676.32,274.5,6
25,State,Tripura,5805,0.3,36.1,160.8,21
26,State,Uttar Pradesh,174179,7.8,1990.28,87.5,33
27,State,Uttarakhand,9240,0.4,98.17,94.1,31
28,State,West Bengal,129616,5.8,902.22,143.7,22
Total (States),Total (States),Total (States),2164628,97.3,11641.94,185.9,NA
29,Union Territorry,Andaman & Nicobar Islands,980,0,4.32,226.9,10
30,Union Territorry,Chandigarh,3373,0.2,11.25,299.8,3
31,Union Territorry,Dadra Nagar Haveli,378,0,2.83,133.6,25
32,Union Territorry,Daman & Diu,203,0,2,101.5,28
33,Union Territorry,Delhi,51292,2.3,183.33,279.8,5
34,Union Territorry,Lakshadweep,42,0,0.72,58.3,34
35,Union Territorry,Pondicherry,3935,0.2,11.17,352.3,2
Total (UTs),Total (UTs),Total (UTs),60203,2.7,215.62,279.2,NA
Total (All-India),Total (All-India),Total (All-India),2224831,100,11857.56,187.6,NA
36,City,Agra,4802,1.3,13.21,363.5,16
37,City,Ahmedabad,21442,5.8,45.19,474.5,10
38,City,Allahabad,1973,0.5,10.5,187.9,29
39,City,Amritsar,1833,0.5,10.11,181.3,30
40,City,Asansol,1841,0.5,10.91,168.7,33
41,City,Bengaluru,32188,8.7,56.87,566,6
42,City,Bhopal,11974,3.2,14.55,823,3
43,City,Chennai,10869,2.9,64.25,169.2,32
44,City,Coimbatore,4180,1.1,14.46,289.1,21
45,City,Delhi (city),45994,12.5,127.91,359.6,18
46,City,Dhanbad,1006,0.3,10.64,94.5,35
47,City,Faridabad,4920,1.3,10.55,466.4,11
48,City,Hyderabad,17549,4.8,55.34,317.1,20
49,City,Indore,14230,3.9,16.39,868.2,2
50,City,Jabalpur,6205,1.7,11.17,555.5,7
51,City,Jaipur,16717,4.5,23.24,719.3,4
52,City,Jamshedpur,2732,0.7,11.02,247.9,26
53,City,Kanpur,6747,1.8,26.9,250.8,25
54,City,Kochi,25715,7,13.55,1897.8,1
55,City,Kolkata,15510,4.2,132.17,117.3,34
56,City,Lucknow,10316,2.8,22.67,455.1,12
57,City,Ludhiana,3522,1,13.95,252.5,24
58,City,Madurai,2672,0.7,11.95,223.6,27
59,City,Meerut,3307,0.9,11.67,283.4,22
60,City,Mumbai,33932,9.2,163.68,207.3,28
61,City,Nagpur,7728,2.1,21.23,364,15
62,City,Nasik,4484,1.2,11.52,389.2,14
63,City,Patna,9017,2.4,17.07,528.2,9
64,City,Pune,13602,3.7,37.56,362.1,17
65,City,Rajkot,4024,1.1,10.02,401.6,13
66,City,Surat,7426,2,28.11,264.2,23
67,City,Vadodara,5352,1.5,14.92,358.7,19
68,City,Varanasi,2129,0.6,12.12,175.7,31
69,City,Vijayawada,5833,1.6,10.11,577,5
70,City,Vishakhapatnam,7112,1.9,13.29,535.1,8
Total (Cities),Total (Cities),Total (Cities),368883,100,1078.8,341.9,NA
