Sl. No.,Category,States/Uts/Cities,Estimated Mid-Year Population (In Lakhs),Rape (Sec. 376 IPC) (I),Rape (Sec. 376 IPC) (R),Rape (Sec. 376 IPC) (P),"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) (I)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) (R)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) (P)",Dowry Deaths (Sec.304B IPC) (I),Dowry Deaths (Sec.304B IPC) ®,Dowry Deaths (Sec.304B IPC) (P),Cruelty by Husband and Relatives (Sec.498A IPC) (I),Cruelty by Husband and Relatives (Sec.498A IPC) (R),Cruelty by Husband and Relatives (Sec.498A IPC) (P),Molestation (Sec.354 IPC) (I),Molestation (Sec.354 IPC) (R),Molestation (Sec.354 IPC) (P),Sexual Harassment(Eve-Teasing)(Sec.509 IPC) (I),Sexual Harassment(Eve-Teasing)(Sec.509 IPC) (R),Sexual Harassment(Eve-Teasing)(Sec.509 IPC)(P),Importation of Girls (Sec.366B IPC) (I),Importation of Girls (Sec.366B IPC) (R),Importation of Girls (Sec.366B IPC) (P),"Sati Prevention Act, 1987 (I)","Sati Prevention Act, 1987 (R)","Sati Prevention Act, 1987 (P)","Immoral Traffic (P) Act, 1956 (I)","Immoral Traffic (P) Act, 1956 (R)","Immoral Traffic (P) Act, 1956 (P)","Indecent Representation of Women (P) Act, 1986 (I)","Indecent Representation of Women (P) Act, 1986 (R)","Indecent Representation of Women (P) Act, 1986 (P)","Dowry Prohibition Act, 1961 (I)","Dowry Prohibition Act, 1961 ®","Dowry Prohibition Act, 1961 (P)",Total (I),Total (R),Total (P)
1,State,Andhra Pradesh,841.29,1362,1.6,6.1,1531,1.8,5.1,588,0.7,7,12080,14.4,12.8,4634,5.5,11.4,4562,5.4,45.8,0,0,0,0,0,0,548,0.7,21.9,753,0.9,84.1,1186,1.4,22.9,27244,32.4,12.8
2,State,Arunachal Pradesh,12.35,47,3.8,0.2,46,3.7,0.2,0,0,0,12,1,0,84,6.8,0.2,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,15.4,0.1
3,State,Assam,309.78,1721,5.6,7.8,2767,8.9,9.3,175,0.6,2.1,5410,17.5,5.8,1400,4.5,3.4,20,0.1,0.2,0,0,0,0,0,0,25,0.1,1,0,0,0,37,0.1,0.7,11555,37.3,5.4
4,State,Bihar,971.84,795,0.8,3.6,2569,2.6,8.6,1257,1.3,15,2271,2.3,2.4,534,0.5,1.3,16,0,0.2,8,0,22.2,0,0,0,24,0,1,0,0,0,997,1,19.2,8471,8.7,4
5,State,Chhattisgarh,245.38,1012,4.1,4.6,279,1.1,0.9,115,0.5,1.4,861,3.5,0.9,1706,7,4.2,182,0.7,1.8,2,0,5.6,0,0,0,12,0,0.5,1,0,0.1,6,0,0.1,4176,17,2
6,State,Goa,17.43,36,2.1,0.2,18,1,0.1,1,0.1,0,17,1,0,36,2.1,0.1,16,0.9,0.2,0,0,0,0,0,0,16,0.9,0.6,0,0,0,0,0,0,140,8,0.1
7,State,Gujarat,581.93,408,0.7,1.8,1290,2.2,4.3,19,0,0.2,5600,9.6,6,668,1.1,1.6,110,0.2,1.1,0,0,0,0,0,0,46,0.1,1.8,0,0,0,7,0,0.1,8148,14,3.8
8,State,Haryana,245.9,720,2.9,3.2,714,2.9,2.4,284,1.2,3.4,2720,11.1,2.9,476,1.9,1.2,580,2.4,5.8,0,0,0,0,0,0,57,0.2,2.3,0,0,0,11,0,0.2,5562,22.6,2.6
9,State,Himachal Pradesh,66.87,160,2.4,0.7,162,2.4,0.5,2,0,0,275,4.1,0.3,350,5.2,0.9,78,1.2,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1028,15.4,0.5
10,State,Jammu & Kashmir,133.64,245,1.8,1.1,840,6.3,2.8,9,0.1,0.1,211,1.6,0.2,1038,7.8,2.6,262,2,2.6,0,0,0,0,0,0,4,0,0.2,0,0,0,2,0,0,2611,19.5,1.2
11,State,Jharkhand,309.37,773,2.5,3.5,696,2.2,2.3,276,0.9,3.3,650,2.1,0.7,245,0.8,0.6,16,0.1,0.2,8,0,22.2,0,0,0,13,0,0.5,6,0,0.7,404,1.3,7.8,3087,10,1.4
12,State,Karnataka,587.99,586,1,2.6,586,1,2,248,0.4,3,3441,5.9,3.7,2544,4.3,6.3,83,0.1,0.8,0,0,0,0,0,0,242,0.4,9.7,0,0,0,1077,1.8,20.8,8807,15,4.1
13,State,Kerala,349.72,634,1.8,2.9,184,0.5,0.6,22,0.1,0.3,4797,13.7,5.1,2936,8.4,7.2,537,1.5,5.4,0,0,0,0,0,0,309,0.9,12.4,37,0.1,4.1,7,0,0.1,9463,27.1,4.4
14,State,Madhya Pradesh,721.06,3135,4.3,14.1,1030,1.4,3.5,892,1.2,10.6,3756,5.2,4,6646,9.2,16.4,918,1.3,9.2,5,0,13.9,0,0,0,19,0,0.8,0,0,0,67,0.1,1.3,16468,22.8,7.7
15,State,Maharashtra,1100.49,1599,1.5,7.2,1124,1,3.8,393,0.4,4.7,7434,6.8,7.9,3661,3.3,9,1180,1.1,11.8,0,0,0,0,0,0,306,0.3,12.2,0,0,0,40,0,0.8,15737,14.3,7.4
16,State,Manipur,27.02,34,1.3,0.2,107,4,0.4,0,0,0,18,0.7,0,31,1.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,7,0.1
17,State,Meghalaya,26.09,149,5.7,0.7,37,1.4,0.1,0,0,0,24,0.9,0,48,1.8,0.1,0,0,0,0,0,0,0,0,0,3,0.1,0.1,0,0,0,0,0,0,261,10,0.1
18,State,Mizoram,10.08,92,9.1,0.4,0,0,0,0,0,0,3,0.3,0,75,7.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,16.9,0.1
19,State,Nagaland,22.5,16,0.7,0.1,6,0.3,0,0,0,0,1,0,0,13,0.6,0,3,0.1,0,0,0,0,0,0,0,2,0.1,0.1,0,0,0,0,0,0,41,1.8,0
20,State,Odisha,408.28,1025,2.5,4.6,912,2.2,3.1,388,1,4.6,2067,5.1,2.2,2905,7.1,7.2,232,0.6,2.3,5,0,13.9,0,0,0,25,0.1,1,0,0,0,942,2.3,18.2,8501,20.8,4
21,State,Punjab,272.68,546,2,2.5,576,2.1,1.9,121,0.4,1.4,1163,4.3,1.2,349,1.3,0.9,38,0.1,0.4,0,0,0,0,0,0,59,0.2,2.4,0,0,0,1,0,0,2853,10.5,1.3
22,State,Rajasthan,671.06,1571,2.3,7.1,2477,3.7,8.3,462,0.7,5.5,11145,16.6,11.9,2339,3.5,5.8,23,0,0.2,0,0,0,0,0,0,82,0.1,3.3,80,0.1,8.9,3,0,0.1,18182,27.1,8.5
23,State,Sikkim,6.1,18,3,0.1,6,1,0,1,0.2,0,3,0.5,0,11,1.8,0,0,0,0,0,0,0,0,0,0,3,0.5,0.1,0,0,0,0,0,0,42,6.9,0
24,State,Tamil Nadu,676.32,686,1,3.1,1464,2.2,4.9,165,0.2,2,1570,2.3,1.7,1405,2.1,3.5,638,0.9,6.4,0,0,0,0,0,0,567,0.8,22.7,14,0,1.6,199,0.3,3.8,6708,9.9,3.1
25,State,Tripura,36.1,238,6.6,1.1,91,2.5,0.3,25,0.7,0.3,937,26,1,376,10.4,0.9,9,0.2,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1678,46.5,0.8
26,State,Uttar Pradesh,1990.28,1563,0.8,7,5468,2.7,18.4,2217,1.1,26.4,7978,4,8.5,2793,1.4,6.9,11,0,0.1,0,0,0,0,0,0,23,0,0.9,1,0,0.1,115,0.1,2.2,20169,10.1,9.4
27,State,Uttarakhand,98.17,121,1.2,0.5,249,2.5,0.8,75,0.8,0.9,334,3.4,0.4,125,1.3,0.3,165,1.7,1.7,0,0,0,0,0,0,4,0,0.2,0,0,0,1,0,0,1074,10.9,0.5
28,State,West Bengal,902.22,2311,2.6,10.4,2764,3.1,9.3,507,0.6,6,17796,19.7,18.9,2465,2.7,6.1,163,0.2,1.6,8,0,22.2,0,0,0,56,0.1,2.2,2,0,0.2,53,0.1,1,26125,29,12.2
Total (States),Total (States),Total (States),11641.94,21603,1.9,97.4,27993,2.4,94,8242,0.7,98.2,92574,8,98.4,39893,3.4,98.2,9843,0.8,98.8,36,0,100,0,0,0,2447,0.2,97.9,894,0.1,99.9,5156,0.4,99.5,208681,17.9,97.7
29,Union Territories,Andaman & Nicobar Islands,4.32,24,5.6,0.1,8,1.9,0,0,0,0,9,2.1,0,31,7.2,0.1,10,2.3,0.1,0,0,0,0,0,0,3,0.7,0.1,0,0,0,0,0,0,85,19.7,0
30,Union Territories,Chandigarh,11.25,31,2.8,0.1,28,2.5,0.1,5,0.4,0.1,41,3.6,0,29,2.6,0.1,4,0.4,0,0,0,0,0,0,0,3,0.3,0.1,0,0,0,0,0,0,141,12.5,0.1
31,Union Territories,Dadra Nagar Haveli,2.83,3,1.1,0,10,3.5,0,0,0,0,3,1.1,0,11,3.9,0,2,0.7,0,0,0,0,0,0,0,1,0.4,0,0,0,0,0,0,0,30,10.6,0
32,Union Territories,Daman & Diu,2,1,0.5,0,2,1,0,0,0,0,3,1.5,0,2,1,0,0,0,0,0,0,0,0,0,0,6,3,0.2,0,0,0,0,0,0,14,7,0
33,Union Territories,Delhi,183.33,507,2.8,2.3,1740,9.5,5.8,143,0.8,1.7,1404,7.7,1.5,601,3.3,1.5,80,0.4,0.8,0,0,0,0,0,0,28,0.2,1.1,0,0,0,15,0.1,0.3,4518,24.6,2.1
34,Union Territories,Lakshadweep,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4,0.1,0,0,0,1,1.4,0
35,Union Territories,Puducherry,11.17,3,0.3,0,14,1.3,0,1,0.1,0,7,0.6,0,46,4.1,0.1,22,2,0.2,0,0,0,0,0,0,11,1,0.4,0,0,0,11,1,0.2,115,10.3,0.1
Total (UTs),Total (UTs),Total (UTs),215.62,569,2.6,2.6,1802,8.4,6,149,0.7,1.8,1467,6.8,1.6,720,3.3,1.8,118,0.5,1.2,0,0,0,0,0,0,52,0.2,2.1,1,0.2,0.1,26,0.1,0.5,4904,22.7,2.3
Total (All-India),Total (All-India),Total (All-India),11857.56,22172,1.9,100,29795,2.5,100,8391,0.7,100,94041,7.9,100,40613,3.4,100,9961,0.8,100,36,0,100,0,0,0,2499,0.2,100,895,0.1,100,5182,0.4,100,213585,18,100
36,City,Agra,13.21,13,1,0.7,145,11,3.8,39,3,5.1,285,21.6,2.4,54,4.1,1.6,61,4.6,4.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.1,598,45.3,2.5
37,City,Ahmedabad,45.19,49,1.1,2.7,177,3.9,4.7,12,0.3,1.6,1230,27.2,10.6,73,1.6,2.2,9,0.2,0.7,0,0,0,0,0,0,12,0.3,1.3,0,0,0,2,0,0.3,1564,34.6,6.4
38,City,Allahabad,10.5,7,0.7,0.4,30,2.9,0.8,14,1.3,1.8,64,6.1,0.5,9,0.9,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,11.8,0.5
39,City,Amritsar,10.11,24,2.4,1.3,43,4.3,1.1,10,1,1.3,87,8.6,0.7,10,1,0.3,4,0.4,0.3,0,0,0,0,0,0,14,1.4,1.5,0,0,0,0,0,0,192,19,0.8
40,City,Asansol,10.91,18,1.6,1,13,1.2,0.3,19,1.7,2.5,310,28.4,2.7,13,1.2,0.4,0,0,0,0,0,0,0,0,0,1,0.1,0.1,0,0,0,0,0,0,374,34.3,1.5
41,City,Bengaluru,56.87,65,1.1,3.6,29,0.5,0.8,52,0.9,6.8,398,7,3.4,308,5.4,9.3,50,0.9,3.7,0,0,0,0,0,0,111,2,11.9,0,0,0,557,9.8,81.3,1570,27.6,6.5
42,City,Bhopal,14.55,73,5,4,53,3.6,1.4,25,1.7,3.3,191,13.1,1.6,21,1.4,0.6,139,9.6,10.2,1,0.1,14.3,0,0,0,3,0.2,0.3,0,0,0,0,0,0,506,34.8,2.1
43,City,Chennai,64.25,47,0.7,2.6,30,0.5,0.8,16,0.2,2.1,125,1.9,1.1,45,0.7,1.4,23,0.4,1.7,0,0,0,0,0,0,134,2.1,14.3,0,0,0,0,0,0,420,6.5,1.7
44,City,Coimbatore,14.46,15,1,0.8,10,0.7,0.3,1,0.1,0.1,45,3.1,0.4,35,2.4,1.1,1,0.1,0.1,0,0,0,0,0,0,24,1.7,2.6,0,0,0,0,0,0,131,9.1,0.5
45,City,Delhi (city),127.91,414,3.2,23,1422,11.1,37.7,112,0.9,14.6,1273,10,10.9,550,4.3,16.5,73,0.6,5.3,0,0,0,0,0,0,27,0.2,2.9,0,0,0,15,0.1,2.2,3886,30.4,16
46,City,Dhanbad,10.64,5,0.5,0.3,40,3.8,1.1,12,1.1,1.6,11,1,0.1,6,0.6,0.2,0,0,0,0,0,0,0,0,0,2,0.2,0.2,0,0,0,8,0.8,1.2,84,7.9,0.3
47,City,Faridabad,10.55,51,4.8,2.8,86,8.2,2.3,23,2.2,3,224,21.2,1.9,27,2.6,0.8,78,7.4,5.7,0,0,0,0,0,0,3,0.3,0.3,0,0,0,4,0.4,0.6,496,47,2
48,City,Hyderabad,55.34,45,0.8,2.5,41,0.7,1.1,44,0.8,5.7,1420,25.7,12.2,171,3.1,5.1,60,1.1,4.4,0,0,0,0,0,0,174,3.1,18.6,0,0,0,9,0.2,1.3,1964,35.5,8.1
49,City,Indore,16.39,69,4.2,3.8,23,1.4,0.6,26,1.6,3.4,259,15.8,2.2,211,12.9,6.3,47,2.9,3.4,2,0.1,28.6,0,0,0,1,0.1,0.1,0,0,0,1,0.1,0.1,639,39,2.6
50,City,Jabalpur,11.17,81,7.3,4.5,25,2.2,0.7,25,2.2,3.3,118,10.6,1,114,10.2,3.4,49,4.4,3.6,1,0.1,14.3,0,0,0,0,0,0,0,0,0,0,0,0,413,37,1.7
51,City,Jaipur,23.24,71,3.1,3.9,193,8.3,5.1,30,1.3,3.9,720,31,6.2,115,4.9,3.5,0,0,0,0,0,0,0,0,0,28,1.2,3,24,1,92.3,1,0,0.1,1182,50.9,4.9
52,City,Jamshedpur,11.02,16,1.5,0.9,25,2.3,0.7,13,1.2,1.7,22,2,0.2,6,0.5,0.2,1,0.1,0.1,0,0,0,0,0,0,1,0.1,0.1,0,0,0,58,5.3,8.5,142,12.9,0.6
53,City,Kanpur,26.9,42,1.6,2.3,263,9.8,7,92,3.4,12,447,16.6,3.8,118,4.4,3.5,7,0.3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969,36,4
54,City,Kochi,13.55,20,1.5,1.1,5,0.4,0.1,2,0.1,0.3,146,10.8,1.3,67,4.9,2,23,1.7,1.7,0,0,0,0,0,0,98,7.2,10.5,2,0.1,7.7,0,0,0,363,26.8,1.5
55,City,Kolkata,132.17,32,0.2,1.8,91,0.7,2.4,12,0.1,1.6,400,3,3.4,226,1.7,6.8,133,1,9.7,3,0,42.9,0,0,0,10,0.1,1.1,0,0,0,0,0,0,907,6.9,3.7
56,City,Lucknow,22.67,52,2.3,2.9,246,10.9,6.5,50,2.2,6.5,605,26.7,5.2,97,4.3,2.9,0,0,0,0,0,0,0,0,0,2,0.1,0.2,0,0,0,0,0,0,1052,46.4,4.3
57,City,Ludhiana,13.95,52,3.7,2.9,102,7.3,2.7,7,0.5,0.9,109,7.8,0.9,27,1.9,0.8,11,0.8,0.8,0,0,0,0,0,0,3,0.2,0.3,0,0,0,0,0,0,311,22.3,1.3
58,City,Madurai,11.95,3,0.3,0.2,9,0.8,0.2,11,0.9,1.4,69,5.8,0.6,12,1,0.4,20,1.7,1.5,0,0,0,0,0,0,62,5.2,6.6,0,0,0,0,0,0,186,15.6,0.8
59,City,Meerut,11.67,19,1.6,1.1,75,6.4,2,14,1.2,1.8,215,18.4,1.8,34,2.9,1,0,0,0,0,0,0,0,0,0,1,0.1,0.1,0,0,0,0,0,0,358,30.7,1.5
60,City,Mumbai,163.68,194,1.2,10.8,146,0.9,3.9,21,0.1,2.7,312,1.9,2.7,475,2.9,14.3,138,0.8,10.1,0,0,0,0,0,0,123,0.8,13.2,0,0,0,0,0,0,1409,8.6,5.8
61,City,Nagpur,21.23,58,2.7,3.2,34,1.6,0.9,8,0.4,1,175,8.2,1.5,87,4.1,2.6,48,2.3,3.5,0,0,0,0,0,0,14,0.7,1.5,0,0,0,8,0.4,1.2,432,20.3,1.8
62,City,Nasik,11.52,30,2.6,1.7,19,1.6,0.5,2,0.2,0.3,124,10.8,1.1,46,4,1.4,18,1.6,1.3,0,0,0,0,0,0,2,0.2,0.2,0,0,0,0,0,0,241,20.9,1
63,City,Patna,17.07,25,1.5,1.4,58,3.4,1.5,30,1.8,3.9,197,11.5,1.7,4,0.2,0.1,3,0.2,0.2,0,0,0,0,0,0,4,0.2,0.4,0,0,0,21,1.2,3.1,342,20,1.4
64,City,Pune,37.56,91,2.4,5,94,2.5,2.5,4,0.1,0.5,214,5.7,1.8,78,2.1,2.3,91,2.4,6.7,0,0,0,0,0,0,24,0.6,2.6,0,0,0,0,0,0,596,15.9,2.4
65,City,Rajkot,10.02,12,1.2,0.7,32,3.2,0.8,0,0,0,294,29.3,2.5,14,1.4,0.4,7,0.7,0.5,0,0,0,0,0,0,4,0.4,0.4,0,0,0,0,0,0,363,36.2,1.5
66,City,Surat,28.11,23,0.8,1.3,63,2.2,1.7,3,0.1,0.4,268,9.5,2.3,24,0.9,0.7,1,0,0.1,0,0,0,0,0,0,3,0.1,0.3,0,0,0,0,0,0,385,13.7,1.6
67,City,Vadodara,14.92,7,0.5,0.4,30,2,0.8,0,0,0,216,14.5,1.9,18,1.2,0.5,0,0,0,0,0,0,0,0,0,7,0.5,0.7,0,0,0,0,0,0,278,18.6,1.1
68,City,Varanasi,12.12,2,0.2,0.1,34,2.8,0.9,11,0.9,1.4,50,4.1,0.4,3,0.2,0.1,0,0,0,0,0,0,0,0,0,2,0.2,0.2,0,0,0,0,0,0,102,8.4,0.4
69,City,Vijayawada,10.11,25,2.5,1.4,65,6.4,1.7,17,1.7,2.2,626,61.9,5.4,172,17,5.2,219,21.7,16,0,0,0,0,0,0,26,2.6,2.8,0,0,0,0,0,0,1150,113.7,4.7
70,City,Vishakhapatnam,13.29,53,4,2.9,24,1.8,0.6,11,0.8,1.4,393,29.6,3.4,59,4.4,1.8,52,3.9,3.8,0,0,0,0,0,0,14,1.1,1.5,0,0,0,0,0,0,606,45.6,2.5
Total (Cities),Total (Cities),Total (Cities),1078.8,1803,1.7,100,3775,3.5,100,768,0.7,100,11642,10.8,100,3329,3.1,100,1366,1.3,100,7,0,100,0,0,0,934,0.9,100,26,0,100,685,0.6,100,24335,22.6,100
