Sr. No. (Col. 1),Crime Head (Col. 2),Total No. of Cases for Trial Including Pending Cases from previous year (Col. 3),Cases Withdrawn by Govt. (Col. 4),No. of Cases - Compounded or Withdrawn (Col. 5),No. of Cases in Which Trials Completed (Col. 6) - Convicted,No. of Cases in Which Trials Completed (Col. 7) - Acquitted or Discharged,No. of Cases in Which Trials Completed (Col. 8) - Total = Col. {(6)+ (7)),No. of Cases (Col. 9) - Pending Trial at the end of the year
1,Murder (Sec. 302 IPC),3012,0,1,303,321,624,2387
2,Rape (Sec.376 IPC),5014,0,12,358,638,996,4006
3,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC)",1398,0,2,141,175,316,1080
4,Dacoity (Sec.395-398 IPC),134,0,0,4,17,21,113
5,"Robbery (392-394, 397398 IPC)",317,0,1,16,39,55,261
6,"Arson (Sec.435, 436, 438 IPC)",862,0,3,49,88,137,722
7,"Hurt (Sec.323-333, 335-338 IPC)",14566,0,126,783,2287,3070,11370
8,"Pcr Act, 1955 for Scs",1376,0,5,53,191,244,1127
9,"Sc/st Prev. of Atrocities Act, 1989 for Scs",40481,0,143,3225,5181,8406,31932
10,Other Crimes Against Scs,40598,1,430,2837,5474,8311,31857
11,Total,107758,1,723,7769,14411,22180,84855
