Sr. No.,Category,States/ UTs,No. of Victims Murdered - by Firearms (Licensed + Unlicensed),No. of Victims Murdered - by Licensed Arms,No. of Victims Murdered - by Unlicensed Arms
1,State,Andhra Pradesh,8,2,6
2,State,Arunachal Pradesh,0,0,0
3,State,Assam,31,8,23
4,State,Bihar,694,10,684
5,State,Chhattisgarh,59,0,59
6,State,Goa,3,0,3
7,State,Gujarat,10,3,6
8,State,Haryana,143,17,126
9,State,Himachal Pradesh,3,3,0
10,State,Jammu & Kashmir,87,10,77
11,State,Jharkhand,231,8,223
12,State,Karnataka,11,7,4
13,State,Kerala,2,1,1
14,State,Madhya Pradesh,191,43,148
15,State,Maharashtra,56,7,49
16,State,Manipur,40,3,37
17,State,Meghalaya,9,5,4
18,State,Mizoram,1,1,0
19,State,Nagaland,17,2,15
20,State,Odisha,10,1,9
21,State,Punjab,73,65,8
22,State,Rajasthan,65,19,46
23,State,Sikkim,0,0,0
24,State,Tamil Nadu,13,5,8
25,State,Tripura,2,1,1
26,State,Uttar Pradesh,892,114,778
27,State,Uttarakhand,30,1,29
28,State,West Bengal,307,1,306
Total (States),Total (States),Total (States),2988,337,2650
29,Union Territories,Andaman & Nicobar Islands,0,0,0
30,Union Territories,Chandigarh,2,1,1
31,Union Territories,Dadra Nagar Haveli,0,0,0
32,Union Territories,Daman & Diu,0,0,0
33,Union Territories,Delhi,74,2,72
34,Union Territories,Lakshadweep,0,0,0
35,Union Territories,Pondicherry,0,0,0
Total (UTs),Total (UTs),Total (UTs),76,3,73
Total (All-India),Total (All-India),Total (All-India),3064,340,2723
