Sr. No.,Category,States/ UTs,Area (in Sqr. Kms.),Estimated Mid-Year Population (in Thousands),Total Cases for Investigation (Including Pending Cases from Previous Year) - IPC,Total Cases for Investigation (Including Pending Cases from Previous Year) - SLL,Total Cases for Investigation (Including Pending Cases from Previous Year) - Total,Actual Police Strength - Civil,Actual Police Strength - Armed,Actual Police Strength - Total,Percentage of Civil Police to Total Police,Actual Police Strength (of Ranks) - D.G. to A.S.I.,Actual Police Strength (of Ranks) - Head Constables to Constables,Actual Police Strength (of Ranks) - Teeth to Tail Ratio,Actual Police Strength of I.Os. (Insp.+ SI+ ASI of Civ. Pol.),No. of Policemen Per 100 Sqr. Kms. of Area,No. of Policemen Per 100000 of Population,No. of IPC Cases Per Civil Police Man,Total Police Expenditure (Rs. in Crores) @@,Unit Cost Per Policemen (Per Annum)
1,State,Andhra Pradesh,275045,84129,236759,639473,876232,95370,14534,109904,86.8,10060,99844,1:10,8004,40,131,2.5,2185.63,198867
2,State,Arunachal Pradesh,83743,1235,3546,208,3754,3506,3939,7445,47.1,827,6618,1:08,541,8.9,603,1,159.26,213915
3,State,Assam,78438,30978,129208,7714,136922,28694,25375,54069,53.1,6130,47939,1:08,4623,68.9,175,4.5,941.58,174144
4,State,Bihar,94163,97184,221380,22208,243588,49915,11941,61856,80.7,11982,49874,1:04,10640,65.7,64,4.4,1400.35,226389
5,State,Chhattisgarh,135191,24538,59806,242516,302322,26046,15779,41825,62.3,3861,37964,1:10,2175,30.9,170,2.3,605.41,144748
6,State,Goa,3702,1743,6043,3159,9202,4038,661,4699,85.9,444,4255,1:10,377,126.9,270,1.5,129.78,276186
7,State,Gujarat,196024,58193,134586,239881,374467,48648,15936,64584,75.3,12183,52401,1:04,10188,32.9,111,2.8,1139.42,176425
8,State,Haryana,44212,24590,72537,23207,95744,42961,4535,47496,90.5,2735,44761,1:16,2081,107.4,193,1.7,813.56,171290
9,State,Himachal Pradesh,55673,6687,15631,4875,20506,9671,3904,13575,71.2,2065,11510,1:06,1562,24.4,203,1.6,305.34,224928
10,State,Jammu & Kashmir *,101387,13364,31563,3724,35287,47859,29153,77012,62.1,7745,69267,1:09,5670,76,576,0.7,1405.35,182485
