Sr. No.,Purpose,Total No. of Cases Reported,Sex-Wise/Age Group-Wise - Upto 10 Years - Male,Sex-Wise/Age Group-Wise - Upto 10 Years - Female,Sex-Wise/Age Group-Wise - 10 - 15 Years - Male,Sex-Wise/Age Group-Wise - 11 - 15 Years - Female,Sex-Wise/Age Group-Wise - 15 - 18 Years - Male,Sex-Wise/Age Group-Wise - 15 - 18 Years - Female,Sex-Wise/Age Group-Wise - 18 - 30 Years - Male,Sex-Wise/Age Group-Wise - 18 - 30 Years - Female,Sex-Wise/Age Group-Wise - 30- 50 Years - Male,Sex-Wise/Age Group-Wise - 30- 50 Years - Female,Sex-Wise/Age Group-Wise - Above 50 Years - Male,Sex-Wise/Age Group-Wise - Above 50 Years - Female,Sex-Wise/Age Group-Wise - Total - Male,Sex-Wise/Age Group-Wise - Total - Female,Sex-Wise/Age Group-Wise - Grand Total
1,For Adoption,127,11,3,3,7,3,10,8,68,11,3,0,0,36,91,127
2,For Begging,59,5,10,14,5,0,0,1,28,1,0,0,0,21,43,64
3,For Camel racing,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
4,For Illicit intercourse,3139,2,14,2,179,1,551,31,1974,7,381,0,0,43,3099,3142
5,For marriage,18322,0,11,0,793,14,4375,187,11291,27,1645,0,11,228,18126,18354
6,For Prostitution,464,1,0,3,8,0,81,0,263,12,114,0,51,16,517,533
7,For Ransom,738,59,13,54,5,29,5,243,144,163,45,32,1,580,213,793
8,For Revenge,268,11,5,8,2,12,9,93,47,66,10,6,0,196,73,269
9,For Sale,198,4,8,2,10,8,19,20,49,13,48,18,30,65,164,229
10,For Selling body parts,10,0,0,0,0,0,0,3,0,7,0,0,0,10,0,10
11,For Slavery,48,0,1,15,0,10,0,27,3,1,0,0,0,53,4,57
12,For unlawaful activity,844,17,5,21,27,65,25,332,181,130,47,7,6,572,291,863
13,Others,14221,504,308,1107,963,589,1347,3256,3652,1567,1212,133,67,7156,7549,14705
14,Total,38440,614,378,1229,1999,731,6422,4201,17702,2005,3505,196,166,8976,30172,39148
