Sr. No.,Crime Head,Total No. Persons Under Arrest Including Those From Previous Year,Persons Released Before Trial - No.,Persons Released Before Trial - Percentage To Total,Persons Charge Sheeted - No.,Persons Charge Sheeted - Percentage To Total,Persons Under Investigation At The End Of The Year - No.,Persons Under Investigation At The End Of The Year - Percentage To Total
1,Infanticide (sec.315 Ipc),102,14,13.7,67,65.7,21,20.6
2,Murder (sec.302 Ipc),2579,125,4.8,1802,69.9,652,25.3
3,Rape (sec.376 Ipc),8069,188,2.3,6348,78.7,1533,19
4,"Kidnapping & Abduction (sec.363-369,371-373 Ipc)",11781,588,5,7663,65,3530,30
5,"Foeticide (sec.315,316",81,5,6.2,52,64.2,24,29.6
6,Abetment To Suicide (sec.305 Ipc),78,1,1.3,53,67.9,24,30.8
7,Exposure And Abandonment (sec. 317 Ipc),148,8,5.4,105,70.9,35,23.6
8,Procuration Minor Girls (sec. 366a Ipc),907,37,4.1,452,49.8,418,46.1
9,Buying Of Girls For Prost. (sec.373 Ipc),107,0,0,64,59.8,43,40.2
10,Selling Of Girls For Prost. (sec.372 Ipc),252,4,1.6,90,35.7,158,62.7
11,Prohibition Of Child Marriage Act 2006,237,2,0.8,183,77.2,52,21.9
12,Other Crimes,10120,229,2.3,8473,83.7,1415,14
13,Total,34461,1201,3.5,25352,73.6,7905,22.9
