Sr. No.,Rank,Number of Victims Killed - in Terrorist/ Extremists Operations,Number of Victims Killed - in Dacoity Operations or Other Raids,Number of Victims Killed - by Riotous Mobs,Number of Victims Killed - by Other Criminals,Number of Victims Killed - on Border Duties,Number of Victims Killed - in Accidents,Number of Victims Killed - Total,Number of Victims Injured - in Terrorist/ Extremists Operations,Number of Victims Injured - in Dacoity Operations or Other Raids,Number of Victims Injured - by Riotous Mobs,Number of Victims Injured - by Other Criminals,Number of Victims Injured - on Border Duties,Number of Victims Injured - in Accidents,Number of Victims Injured - Total
1,Constables,97,2,12,21,3,375,510,86,36,2926,577,12,378,4015
2,Head Constables,21,0,2,11,0,168,202,4,4,499,127,2,116,752
3,Assistant Sub-inspectors,6,1,1,5,0,59,72,2,5,226,83,0,36,352
4,Sub-inspectors,9,0,0,5,0,38,52,4,11,242,110,1,70,438
5,Inspectors,1,0,0,3,0,12,16,2,4,141,24,0,5,176
6,Other Gazetted Officers,4,0,0,1,0,15,20,6,0,102,9,0,9,126
7,Total,138,3,15,46,3,667,872,104,60,4136,930,15,614,5859
