Sl. No.,Category,States/ UTs/ Cities,Incidence of Total Cognizable Crimes,Percentage Contribution to All-India Total,Population** (In Lakhs),Rate of Total Cognizable Crimes,Rank of * Criminality
1,State,Andhra Pradesh,628558,13.9,841.3,747.1,6
2,State,Arunachal Pradesh,113,0,12.4,9.1,30
3,State,Assam,1825,0,309.8,5.9,32
4,State,Bihar,10119,0.2,971.8,10.4,29
5,State,Chhattisgarh,242326,5.4,245.4,987.6,4
6,State,Goa,2868,0.1,17.4,164.5,10
7,State,Gujarat,218751,4.8,581.9,375.9,8
8,State,Haryana,21775,0.5,245.9,88.6,13
9,State,Himachal Pradesh,3760,0.1,66.9,56.2,17
10,State,Jammu & Kashmir,2049,0,133.6,15.3,26
11,State,Jharkhand,3932,0.1,309.4,12.7,28
12,State,Karnataka,16174,0.4,588,27.5,21
13,State,Kerala,225458,5,349.7,644.7,7
14,State,Madhya Pradesh,129574,2.9,721.1,179.7,9
15,State,Maharashtra,127940,2.8,1100.5,116.3,11
16,State,Manipur,979,0,27,36.2,19
17,State,Meghalaya,135,0,26.1,5.2,33
18,State,Mizoram,832,0,10.1,82.5,14
19,State,Nagaland,408,0,22.5,18.1,25
20,State,Odisha,12049,0.3,408.3,29.5,20
21,State,Punjab,18338,0.4,272.7,67.3,16
22,State,Rajasthan,49810,1.1,671.1,74.2,15
23,State,Sikkim,164,0,6.1,26.9,22
24,State,Tamil Nadu,515788,11.4,676.3,762.6,5
25,State,Tripura,178,0,36.1,4.9,35
26,State,Uttar Pradesh,2113620,46.7,1990.3,1062,2
27,State,Uttarakhand,160196,3.5,98.2,1631.8,1
28,State,West Bengal,7434,0.2,902.2,8.2,31
Total (States),Total (States),Total (States),4515153,99.8,11641.94,387.8,NA
29,Union Territory,Andaman & Nicobar Islands,4430,0.1,4.3,1025.5,3
30,Union Territory,Chandigarh,517,0,11.3,46,18
31,Union Territory,Dadra Nagar Haveli,42,0,2.8,14.8,27
32,Union Territory,Daman & Diu,10,0,2,5,34
33,Union Territory,Delhi,4667,0.1,183.3,25.5,23
34,Union Territory,Lakshadweep,17,0,0.7,23.6,24
35,Union Territory,Pondicherry,1081,0,11.2,96.8,12
Total (UTs),Total (UTs),Total (UTs),10764,0.2,215.62,49.9,NA
Total (All-India),Total (All-India),Total (All-India),4525917,100,11857.56,381.7,NA
36,City,Agra,31667,2.8,13.2,2397.2,8
37,City,Ahmedabad,8324,0.7,45.2,184.2,20
38,City,Allahabad,51953,4.6,10.5,4947.9,5
39,City,Amritsar,918,0.1,10.1,90.8,24
40,City,Asansol,155,0,10.9,14.2,34
41,City,Bengaluru,2099,0.2,56.9,36.9,27
42,City,Bhopal,2627,0.2,14.6,180.5,21
43,City,Chennai,51021,4.6,64.3,794.1,13
44,City,Coimbatore,2868,0.3,14.5,198.3,18
45,City,Delhi (city),4080,0.4,127.9,31.9,30
46,City,Dhanbad,272,0,10.6,25.6,33
47,City,Faridabad,2023,0.2,10.6,191.8,19
48,City,Hyderabad,332026,29.7,55.3,5999.7,3
49,City,Indore,3322,0.3,16.4,202.7,17
50,City,Jabalpur,2688,0.2,11.2,240.6,16
51,City,Jaipur,3272,0.3,23.2,140.8,23
52,City,Jamshedpur,352,0,11,31.9,29
53,City,Kanpur,149665,13.4,26.9,5563.8,4
54,City,Kochi,30670,2.7,13.6,2263.5,10
55,City,Kolkata,897,0.1,132.2,6.8,35
56,City,Lucknow,151441,13.5,22.7,6680.2,2
57,City,Ludhiana,995,0.1,14,71.3,25
58,City,Madurai,37301,3.3,12,3121.4,7
59,City,Meerut,53266,4.8,11.7,4564.4,6
60,City,Mumbai,4769,0.4,163.7,29.1,31
61,City,Nagpur,25521,2.3,21.2,1202.1,11
62,City,Nasik,648,0.1,11.5,56.2,26
63,City,Patna,617,0.1,17.1,36.1,28
64,City,Pune,6271,0.6,37.6,167,22
65,City,Rajkot,4152,0.4,10,414.4,15
66,City,Surat,17898,1.6,28.1,636.7,14
67,City,Vadodara,12946,1.2,14.9,867.7,12
68,City,Varanasi,28321,2.5,12.1,2336.7,9
69,City,Vijayawada,263,0,10.1,26,32
70,City,Vishakhapatnam,94313,8.4,13.3,7096.5,1
Total (Cities),Total (Cities),Total (Cities),1119621,100,1078.8,1037.8,NA
