SL. No.,Crime Heads,1977,1978,1979,1980,1981,1982,1983,Percentage Change in 1983 Over 1982
1,Arms Act,57225,57903,61776,67726,69662,60690,64413,6.1
2,Opium Act,12102,12792,12923,14529,14347,14590,14356,-1.6
3,Gambling Act,192284,235790,217501,213340,235824,201630,189863,-5.8
4,Excise Act,90461,103250,123979,112981,110518,112243,113338,1
5,Prohibition Act,660211,686784,608810,487683,320606,356334,388224,8.9
6,Explosive & Explosive Substances Act,1903,1803,1771,2399,2818,3071,3477,13.2
7,Suppression of Immoral Traffic Act,13924,15448,14196,14308,15658,15890,15325,-3.6
8,Motor Vehicles Act,598742,714482,774015,645226,674498,1084506,998067,-8
9,Prevention of Corruption Act,807,1245,541,257,302,278,328,18
10,Customs Act,258,195,131,507,28,137,149,8.8
11,Indian Railways Act,28036,24944,28692,33200,42128,41039,48655,18.6
12,Other Offences,1048108,937587,979233,991544,1060010,1079660,1084868,0.5
13,Total,2699061,2792223,2823568,2583700,2546399,2970068,2921063,-1.6
