SL. No.,Category,Heads of Crime,Between 7-12 Years - Boys,Between 7-12 Years - Girls,Between 12-16 Years - Boys,Between 12-16 Years - Girls,Between 16-18 Years - Boys,Between 16-18 Years - Girls,Between 18-21 Years - Boys,Between 18-21 Years - Girls,Overall Age Groups - Boys,Overall Age Groups - Girls,Total - Boys+Girls
1,IPC Crimes,Murder,26,7,146,14,262,21,1462,65,1896,107,2003
2,IPC Crimes,Culpable Homicide Not Amounting to Murder,1,NA,6,NA,23,4,84,5,114,9,123
3,IPC Crimes,Rape,9,NA,30,1,99,3,442,3,580,7,587
4,IPC Crimes,Kidnapping & Abduction,3,NA,27,7,115,30,628,17,773,54,827
5,IPC Crimes,Dacoity,2,3,27,1,139,1,1019,3,1187,8,1195
6,IPC Crimes,Robbery,11,NA,46,1,172,NA,1163,9,1392,9,1401
7,IPC Crimes,Burglary,241,5,1066,16,1309,40,4803,95,7419,156,7585
8,IPC Crimes,Thefts,663,69,2421,116,2737,104,10156,248,15977,537,1651
9,IPC Crimes,Riots,130,13,1026,110,2773,164,13553,779,17482,1066,18548
10,IPC Crimes,Criminal Breach of Trust,2,NA,10,NA,18,1,193,2,223,3,226
11,IPC Crimes,Cheating,2,1,13,NA,28,4,291,21,334,26,360
12,IPC Crimes,Counterfeiting,1,NA,2,NA,1,NA,6,NA,10,NA,10
A,IPC Crimes,Total (IPC Crimes),1649,221,7001,642,12578,1028,56905,2447,78133,4338,82471
1,Crime Under Local and Special Laws,Arms Act,3,NA,19,NA,205,NA,1376,2,1603,2,1605
2,Crime Under Local and Special Laws,Opium Act,NA,NA,5,NA,41,NA,123,NA,169,NA,169
3,Crime Under Local and Special Laws,Gambling Act,85,1,777,1,2793,NA,16542,33,20197,35,20232
4,Crime Under Local and Special Laws,Excise Act,17,NA,307,4,641,23,1621,47,2586,74,2660
5,Crime Under Local and Special Laws,Prohibition Act,240,40,1778,218,2805,210,15596,1653,20419,2121,22540
6,Crime Under Local and Special Laws,Explosive & Explosive Substances Act,NA,NA,1,NA,36,NA,81,NA,118,NA,118
7,Crime Under Local and Special Laws,Suppression of Immoral Traffic Act,NA,NA,5,71,28,746,362,1462,395,2279,2674
8,Crime Under Local and Special Laws,Motor Vehicles Act,1,NA,238,NA,341,NA,1026,NA,1606,NA,1606
9,Crime Under Local and Special Laws,Prevention of Corruption Act,NA,NA,NA,NA,NA,NA,50,NA,50,NA,50
10,Crime Under Local and Special Laws,Customs Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Crime Under Local and Special Laws,Indian Railways Act,32,1,58,NA,216,NA,1543,14,1849,15,1864
12,Crime Under Local and Special Laws,Other Offences not included above,5414,586,5354,470,4129,333,18491,848,33388,2237,35623
B,Crime Under Local and Special Laws,Total (Local & Special Laws),5792,628,8542,764,11235,1312,56811,4059,82380,6763,89143
C,Grand Total (A + B),Grand Total (A + B),7441,849,15543,1406,23813,2340,113716,6506,160513,11101,171614
