SL. No.,States/U.Ts.,Districts,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Thefts,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Hyderabad City,99,NA,22,63,20,75,1066,2565,312,90,339,22,6649
2,Andhra Pradesh,Srikakulam,33,NA,3,18,4,10,128,275,167,20,24,NA,4259
3,Andhra Pradesh,Vizianagaram,17,NA,11,19,8,8,132,324,107,36,29,NA,3947
4,Andhra Pradesh,Visakhapatnam (R ),19,NA,9,9,5,7,183,585,51,15,47,2,3564
5,Andhra Pradesh,Visakhapatnam (U),3,NA,3,1,1,8,28,252,2,4,10,NA,1491
6,Andhra Pradesh,East Godavari (Kakinada),62,NA,23,20,5,11,424,1195,43,50,41,NA,7501
7,Andhra Pradesh,West Godavari (Eluru),43,1,33,20,12,1,367,1113,128,45,42,NA,4992
8,Andhra Pradesh,Krishna,41,NA,24,9,3,6,193,341,100,14,6,4,2773
9,Andhra Pradesh,Vijayawada (U),22,NA,15,20,10,16,191,761,36,35,31,4,1747
10,Andhra Pradesh,Guntur,93,NA,23,35,18,24,496,1386,171,36,83,6,7201
11,Andhra Pradesh,Nellore,47,NA,13,21,12,23,325,818,153,35,32,12,4154
12,Andhra Pradesh,Prakasham,46,1,11,29,7,15,263,633,188,25,23,10,3325
13,Andhra Pradesh,Kurnool,110,NA,11,17,8,9,175,292,127,17,10,7,1690
14,Andhra Pradesh,Cuddapah,68,NA,4,15,7,6,185,440,265,11,3,NA,5852
15,Andhra Pradesh,Anantapur,51,17,7,5,13,5,344,1066,325,16,26,NA,2246
16,Andhra Pradesh,Chittoor,72,4,7,27,16,12,268,1118,237,36,49,8,3692
17,Andhra Pradesh,Ranga Reddy,51,1,12,13,49,31,313,528,178,22,53,NA,2653
18,Andhra Pradesh,Mahabubnagar,88,4,11,9,9,13,182,313,132,8,22,NA,2291
19,Andhra Pradesh,Nizamabad,60,NA,9,13,7,15,120,349,79,14,23,1,1721
20,Andhra Pradesh,Nalgonda,67,NA,19,13,44,31,202,393,244,20,17,6,2478
21,Andhra Pradesh,Medak,49,2,10,15,12,17,151,367,131,10,13,1,1542
22,Andhra Pradesh,Warangal,80,NA,15,15,36,17,189,520,240,16,22,NA,2358
23,Andhra Pradesh,Khammam,60,NA,21,18,11,13,220,413,148,12,9,NA,1790
24,Andhra Pradesh,Karimnagar,84,2,22,23,97,245,429,193,16,25,1,NA,2793
25,Andhra Pradesh,Adilabad,34,NA,11,8,16,57,38,214,47,9,16,NA,1387
26,Andhra Pradesh,RP. Vijyawada,1,NA,NA,1,2,2,NA,220,1,1,2,NA,262
27,Andhra Pradesh,RP. Secunderabad,NA,NA,NA,NA,1,NA,1,215,4,NA,4,NA,256
28,Andhra Pradesh,RP. Guntakal,1,NA,NA,1,1,3,NA,126,4,1,1,NA,159
1,Assam,Dhubri,41,1,8,29,22,21,148,234,487,25,20,NA,1686
2,Assam,Kokrajar,22,NA,6,8,11,15,109,185,226,5,13,NA,920
3,Assam,Goalpara,63,2,11,35,24,18,205,361,434,23,23,NA,1965
4,Assam,Kamrup,131,NA,29,74,41,29,551,1292,907,86,99,NA,5347
5,Assam,Borpota,34,NA,11,32,31,28,124,351,371,8,17,NA,1569
6,Assam,Nowgaon,744,3,28,118,106,67,634,1379,3725,44,80,NA,9227
7,Assam,Sibsagar,44,NA,8,34,9,30,158,380,228,10,7,NA,1905
8,Assam,Jorhat,95,5,46,125,43,172,729,1804,400,52,66,NA,6280
9,Assam,Dibrugarh,131,6,21,40,23,53,309,881,416,43,25,NA,3766
10,Assam,Lakhimpur,271,NA,21,56,17,59,182,362,1205,19,19,NA,4771
11,Assam,Darrang,119,NA,6,34,96,63,240,275,313,11,6,NA,2283
12,Assam,Sunitpur,113,5,27,57,42,77,338,1013,112,29,46,NA,3619
13,Assam,Karbi Anglong,7,NA,3,9,25,26,56,105,69,1,3,NA,572
14,Assam,N.C. Hills,7,NA,2,3,2,9,34,62,7,4,4,NA,214
15,Assam,Cachar,59,2,31,86,11,23,437,855,702,45,49,NA,3858
16,Assam,Karimaganj,30,NA,7,21,16,8,138,196,315,8,15,NA,997
1,Bihar,Patna,195,29,16,132,184,192,833,3138,802,198,152,3,9937
2,Bihar,Nalanda,125,5,12,45,108,69,251,831,384,20,30,1,2784
3,Bihar,Bhojpur,100,7,17,243,115,82,564,844,1209,40,54,1,4290
4,Bihar,Rohtas,137,10,17,40,210,85,462,669,628,40,36,NA,3797
5,Bihar,Gaya,151,18,8,38,124,58,354,1005,782,62,29,1,3821
6,Bihar,Aurangabad,34,2,8,14,63,16,134,427,322,29,29,NA,1746
7,Bihar,Nawada,41,NA,5,22,29,21,NA,605,197,43,41,NA,1682
8,Bihar,Saran,85,20,11,38,90,61,415,910,56,38,40,NA,3371
9,Bihar,Siwan,49,24,5,22,61,62,310,350,490,35,38,1,2578
10,Bihar,Gopalganj,44,35,8,21,57,35,151,274,252,17,25,1,1363
11,Bihar,West Champaran,74,15,24,72,141,44,165,445,543,31,28,NA,2171
12,Bihar,East Champaran,59,7,8,38,95,18,271,713,874,60,59,NA,3230
13,Bihar,Muzaffarpur,65,17,16,48,119,35,315,630,620,16,24,NA,3400
14,Bihar,Vaishali,45,2,13,31,85,24,212,326,433,37,23,NA,2189
15,Bihar,Sitamarhi,39,5,9,18,32,14,25,410,161,39,28,NA,1389
16,Bihar,Darbhanga,39,8,14,17,68,23,361,795,815,56,31,NA,3079
17,Bihar,Samastipur,69,8,20,49,116,30,227,700,737,49,11,1,2840
18,Bihar,Madhubani,34,3,6,27,98,16,367,480,693,45,19,NA,2600
19,Bihar,Begusarai,82,4,5,44,65,61,224,362,455,21,54,NA,2222
20,Bihar,Bhagalpur,166,10,22,81,186,146,483,903,781,52,41,NA,4390
21,Bihar,Munger,172,25,17,64,210,115,489,1203,632,42,25,2,4392
22,Bihar,Khagaria,44,5,2,13,48,30,57,174,275,14,11,NA,998
23,Bihar,Shahebganj,60,12,21,20,43,7,147,233,274,29,5,1,1188
24,Bihar,Godda,24,2,11,6,72,12,67,NA,128,NA,NA,NA,538
25,Bihar,Dumka,52,19,16,15,60,30,330,396,365,24,37,NA,1940
26,Bihar,Katihar,50,10,51,60,72,41,236,822,303,26,74,NA,2581
27,Bihar,Saharsa,52,9,17,49,92,32,428,599,653,47,38,2,3083
28,Bihar,Madhepura,22,5,8,22,57,16,164,240,332,24,16,NA,1324
29,Bihar,Purnea,75,18,47,75,144,49,548,1259,1126,62,67,NA,4558
30,Bihar,Hazaribagh,120,19,64,41,144,130,61,825,581,27,36,NA,3882
31,Bihar,Giridih,61,196,7,17,75,66,335,449,156,10,11,NA,2374
32,Bihar,Bokaro,18,1,7,17,39,26,168,439,85,20,5,NA,1371
33,Bihar,Dhanbad,66,8,22,34,126,106,328,1740,285,25,47,NA,3734
34,Bihar,Palamau,108,5,25,43,86,62,287,543,331,20,47,NA,2534
35,Bihar,Gumla,79,9,19,23,38,29,15,232,83,10,9,NA,841
36,Bihar,Ranchi,222,24,24,41,68,129,305,1142,238,40,49,NA,3679
37,Bihar,Singhbhum,168,7,15,27,105,41,175,651,225,23,13,NA,2243
38,Bihar,Jamshedpur,51,1,18,23,20,50,117,469,147,20,26,NA,1973
39,Bihar,Railway Patna,8,21,3,7,9,16,NA,527,32,5,20,NA,774
40,Bihar,Railway Jamshedpur,6,NA,1,NA,1,7,7,101,20,NA,4,NA,192
41,Bihar,Railway Katihar,8,NA,1,5,14,19,17,334,12,2,9,NA,476
42,Bihar,Railway Muzaffarpur,3,2,2,6,18,21,29,334,29,6,13,NA,497
43,Bihar,Railway Dhanbad,3,NA,1,NA,10,18,7,196,7,1,NA,NA,339
44,Bihar,Railway Jamalpur,2,1,NA,5,10,12,5,230,15,3,NA,NA,322
1,Gujarat,Ahmedabad Rural,30,2,7,16,5,55,272,879,112,28,15,NA,3445
