SL. No.,Category,State/U.Ts/Cities,Murder - Male,Murder - Female,Culpable Homicide Not Amounting to Murder - Male,Culpable Homicide Not Amounting to Murder - Female,Rape - Male,Rape - Female,Kidnapping & Abduction - Male,Kidnapping & Abduction - Female,Dacoity - Male,Dacoity - Female,Robbery - Male,Robbery - Female,Burglary - Male,Burglary - Female,Thefts - Male,Thefts - Female,Riots - Male,Riots - Female,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Cheating - Male,Cheating - Female,Counterfeiting - Male,Counterfeiting - Female,Total Cognizable Crime Under IPC - Male,Total Cognizable Crime Under IPC - Female
1,State,Andhra Pradesh,3632,69,55,NA,499,NA,728,22,1237,4,851,6,4513,65,12826,323,26172,702,480,2,882,4,51,NA,115048,7754
2,State,Assam,3244,10,13,NA,241,1,643,7,1293,1,825,3,4846,24,7173,86,17317,482,302,NA,312,NA,NA,NA,57340,2310
3,State,Bihar,6697,93,677,25,959,NA,2520,104,9086,112,2994,NA,7917,29,38598,321,91106,555,1545,NA,1619,NA,25,NA,225443,1481
4,State,Gujarat,2409,111,17,NA,124,NA,716,55,661,8,1105,15,5524,203,11445,550,12811,454,1348,14,1082,48,19,NA,109460,4784
5,State,Haryana,893,43,340,3,124,NA,252,13,157,NA,162,NA,1672,NA,2826,18,1620,53,239,NA,430,1,12,NA,26730,260
6,State,Himachal Pradesh,98,11,38,5,57,NA,73,14,6,NA,35,NA,282,12,528,15,729,116,106,1,99,NA,1,NA,6404,316
7,State,Jammu & Kashmir,276,3,16,1,156,NA,402,8,67,NA,65,NA,994,24,1940,18,7094,335,116,NA,133,2,1,NA,23842,742
8,State,Karnataka,1698,64,23,NA,135,NA,316,10,795,11,501,4,3836,43,8595,213,39783,1344,537,8,631,19,105,1,114462,2979
9,State,Kerala,985,33,28,1,136,NA,95,2,145,NA,197,NA,1468,10,2433,38,29851,753,304,7,652,17,152,NA,75606,2283
10,State,Madhya Pradesh,6298,56,66,NA,1838,NA,1545,31,2057,7,3219,75,11761,457,22246,180,39990,316,1397,19,1609,22,7,NA,236001,1675
11,State,Maharashtra,4372,287,44,1,839,21,962,24,3255,69,4000,57,13955,454,30066,1606,50340,1830,2702,19,2003,48,119,NA,210052,8112
12,State,Manipur,76,2,1,NA,1,NA,191,27,50,NA,91,NA,150,NA,322,2,691,118,48,NA,65,2,16,NA,2808,156
13,State,Meghalaya,53,3,1,NA,14,NA,3,NA,72,NA,36,NA,186,NA,379,10,210,7,9,NA,29,NA,NA,NA,1739,50
14,State,Nagaland,59,NA,15,NA,11,NA,13,NA,13,NA,81,NA,255,NA,380,NA,199,NA,34,NA,47,NA,NA,NA,1999,NA
15,State,Orissa,1646,18,49,NA,222,NA,219,NA,1587,4,1032,5,6054,29,12433,183,20551,40,339,NA,281,NA,11,2,76742,294
16,State,Punjab,1181,32,283,14,128,4,275,17,17,NA,75,2,1017,11,1619,26,252,NA,362,2,523,9,5,1,24692,198
17,State,Rajasthan,2209,76,66,4,500,1,1355,50,555,6,1360,18,3754,176,6777,446,45410,1917,457,5,1086,11,2,NA,115043,4727
18,State,Sikkim,3,1,NA,NA,2,NA,NA,NA,5,NA,5,NA,13,NA,57,NA,87,2,10,NA,3,NA,NA,NA,277,6
19,State,Tamil Nadu,2813,98,28,NA,250,2,770,22,211,NA,494,3,7169,93,20279,791,50636,2199,966,13,1057,22,95,NA,162095,8306
20,State,Tripura,311,11,25,NA,40,NA,115,NA,857,NA,328,NA,1054,NA,2207,27,1620,94,54,1,33,NA,NA,NA,8164,185
21,State,Uttar Pradesh,16265,47,3720,28,1278,54,4434,63,18123,70,6707,105,16632,5,23801,272,53103,210,2630,182,2469,55,38,NA,253803,2972
22,State,West Bengal,2874,82,1161,20,583,2,983,74,4967,9,2278,NA,3301,7,24645,228,58443,341,1443,8,1078,13,54,NA,135977,1174
Total (States),State,Total (States),58092,1150,6666,102,8137,85,16610,543,45216,301,26441,293,96353,1642,231575,5262,548015,11868,15428,281,16123,273,713,4,1983727,50764
23,UT,A & N Islands,10,2,1,NA,8,NA,4,NA,NA,NA,13,NA,20,NA,68,NA,251,13,12,NA,33,NA,NA,NA,761,36
24,UT,Arunachal Pradesh,54,3,5,NA,8,NA,14,NA,17,NA,23,NA,94,NA,234,2,146,NA,14,NA,11,NA,1,NA,1156,31
25,UT,Chandigarh,48,4,16,NA,9,NA,22,1,NA,NA,27,NA,113,2,316,NA,58,NA,32,2,114,NA,NA,NA,3665,108
26,UT,D & N Haveli,6,NA,NA,NA,NA,NA,2,NA,6,4,5,NA,39,5,10,3,20,NA,3,NA,2,NA,NA,NA,193,35
27,UT,Delhi,305,18,460,10,91,1,228,10,196,NA,151,NA,1106,10,1474,38,1176,11,184,2,312,1,5,NA,28158,400
28,UT,"Goa, Daman & Diu",65,7,17,2,12,NA,40,1,10,NA,60,2,263,32,488,25,1172,125,61,2,34,7,NA,NA,3433,379
29,UT,Lakshadweep,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA
30,UT,Mizoram,18,NA,19,NA,42,NA,11,NA,2,NA,36,NA,64,NA,268,NA,NA,NA,78,3,46,2,12,NA,1720,192
31,UT,Pondicherry,20,NA,NA,NA,9,NA,12,NA,20,NA,13,NA,95,NA,291,8,814,6,42,1,21,4,NA,NA,2463,114
Total (UTs),UT,Total (UTs),526,34,518,12,180,1,333,12,251,4,328,2,1794,49,3160,76,3637,155,426,10,573,14,18,NA,41564,1295
All India,All India,All India,58618,1184,7184,114,8317,86,16943,555,45467,305,26769,295,98147,1691,234735,5338,551652,12023,15854,291,16696,287,731,4,2025291,52059
1,City,Ahmedabad,123,19,NA,NA,11,NA,133,14,89,4,49,NA,555,3,1275,61,1535,122,84,3,116,5,NA,NA,13020,572
