SL. No.,Crime Heads,Total number of persons under trial during the year including persons carried over from previous year,Number of persons against whom cases were compounded or withdrawn,Persons in whose cases trials were completed,Persons in custody or on bail at the end of the year,Number of Persons convicted during the year,Percentage of persons in custody pending trial to number of persons under trials,Percentage of persons convicted to total persons in whose cases trials were completed during the year
1,Murder,174202,291,45773,128138,18318,73.6,40
2,Culpable Homicide Not Amounting to Murder,20830,264,5501,15065,2279,72.3,41.4
3,Rape,21863,102,5985,15776,2204,72.2,36.8
4,Kidnapping & Abduction,56279,796,12731,42752,4088,76,32.1
5,Dacoity,164213,780,32917,130516,11199,79.5,34
6,Robbery,89966,717,18800,70449,7313,78.3,38.9
7,Burglary,328375,8911,77289,242175,34613,73.7,44.8
8,Theft,697476,25840,167557,504079,81367,72.3,48.6
9,Riot,1904183,105665,358901,1439617,109235,75.6,30.4
10,Criminal Breach of Trust,62025,1051,11220,49754,5089,80.2,45.4
11,Cheating,55216,1144,9805,44267,4328,80.2,44.1
12,Counterfeiting,1167,35,260,872,118,74.7,45.4
13,Total Cognizable Crime Under IPC,6002056,316063,1327363,4358630,587175,72.6,44.2
