SL. No.,Heads of Offences,Number of Cases Offences During - 1982,Number of Cases Offences During - 1983,Percentage of Offences to Total Offences in 1983
1,Arms Act,1233,1576,2.1
2,Opium Act,165,161,0.2
3,Gambling Act,18054,13405,18.3
4,Excise Act,2936,2276,3.1
5,Prohibition Act,21836,21371,29.1
6,Explosives & Explosive Substances Act,38,88,0.1
7,Suppression of Immoral Traffic Act,1934,2645,3.6
8,Motor Vehicles Act,1851,1662,2.3
9,Prevention of Corruption Act,NA,35,Neg.
10,Customs Act,NA,NA,NA
11,Indian Railways Act,1824,1795,2.4
12,Miscellaneous (Other than those mentioned above),34906,28377,38.7
13,Total,84777,73391,100
