SL. No.,Crime Heads,Persons Arrested - 1982,Persons Arrested - 1983,Percentage Variation in 1983 Over 1982,Percentage to Total Persons Arrested During 1983
1,Total Cognizable Crime,2007530,2077350,3.5,100
2,Murder,56421,59802,6,2.9
3,Culpable Homicide Not Amounting to Murder,7086,7298,3,0.4
4,Rape,7442,8403,12.9,0.4
5,Kidnapping & Abduction,17389,17498,0.6,0.8
6,Dacoity,47651,45772,-3.9,2.2
7,Robbery,26843,27064,0.8,1.3
8,Burglary,102256,99838,-2.4,4.8
9,Thefts,234787,240073,2.2,11.6
10,Riots,570378,563675,-1.2,27.1
11,Criminal Breach of Trust,16686,16145,-3.2,0.8
12,Cheating,15138,16983,12.2,0.8
13,Counterfeiting,750,735,-2,Neg.
14,Miscellaneous,904703,974064,7.7,46.9
