SL. No.,Year,Incidence of Crime,Volume of Crime Per Lakh of Population
1,1977,2699061,431.3
2,1978,2792223,437.4
3,1979,2823568,433.7
4,1980,2583700,389.3
5,1981,2546399,369
6,1982,2970068,421.2
7,1983,2921063,405.5
