SL. No.,Year,Total Value of Property Stolen (Rs. in Lakh),Percentage of Value of Property Recovered to Value of Property Stolen
1,1978,9897.7,26.7
2,1979,10690.1,27.7
3,1980,15617.2,22.8
4,1981,16241.7,32.9
5,1982,17657.4,27.3
6,1983,17055.3,28.9
