SL. No.,Nature of Property Stolen and Recovered,Number of Cases in which Property was Stolen,Value of Property Stolen (in Rs. Lakhs),Value of Property Recovered (in Rs. Lakh),Percentage of Value of Property Recovered to Value of Property Stolen
1,Wire,8264,144.48,34.53,23.9
2,Cattles,15817,246.44,123.98,50.3
3,Cycles,42263,351.73,191,54.3
4,Motor Vehicles and Accessories,12759,2610.65,1479.88,56.7
5,Fire Arms,923,22.34,6.98,31.2
6,Explosives,111,8.06,0.73,9.1
7,Others,266592,7201.42,1801.1,25
8,Total,346729,10585.12,3638.2,34.4
