SL. No.,Heads of Crime,Incidence - 1973,Volume - 1973,Incidence - 1978,Volume - 1978,Incidence - 1979,Volume - 1979,Incidence - 1980,Volume - 1980,Incidence - 1981,Volume - 1981,Incidence - 1982,Volume - 1982,Quinquennial Average 1978-1982 (Q.A.),Incidence - 1983,Volume - 1983,"Percentage Change in 1982 (+) Increase, (-) Decrease - Over - 1973","Percentage Change in 1982 (+) Increase, (-) Decrease - Over - Quinquennial Average","Percentage Change in 1982 (+) Increase, (-) Decrease - Over - 1982"
1,Total Cognizable Crime,1077181,187,1344968,210.7,1336168,205.2,1368529,206.2,1385757,200.8,1353904,192,1357865,1349866,187.4,25.3,-0.6,-0.3
2,Murder,17072,3,19314,3,20349,3.1,22149,3.3,22727,3.3,23339,3.3,21576,25112,3.5,47.1,16.4,7.6
3,Culpable Homicide Not Amounting to Murder,2408,0.4,2728,0.4,3008,0.5,3032,0.5,3272,0.5,3427,0.5,3093,3793,0.5,57.5,22.6,10.7
4,Rape,2919,0.5,4558,0.7,4300,0.7,5023,0.8,5409,0.8,5427,0.8,4943,6019,0.8,106.2,21.8,10.9
5,Kidnapping & Abduction,10223,1.8,13616,2.1,13125,2,13595,2,13833,2,13341,1.9,13502,13842,1.9,35.4,2.5,3.8
6,Dacoity,10627,1.8,13195,2.1,14028,2.2,15194,2.3,14626,2.1,12700,1.8,13949,12382,1.7,16.5,-11.2,-2.5
7,Robbery,18857,3.3,22923,3.6,22860,3.5,23493,3.5,22996,3.3,21938,3.1,22842,21310,3,13,-6.7,-2.9
8,Burglary,181433,31.5,183991,28.8,168574,25.9,166695,25.1,157540,22.8,142726,20.2,163905,139103,19.3,-23.3,-15.1,-2.5
9,Theft,379412,65.9,437187,68.5,430483,66.1,431036,65,422059,61.2,375240,53.2,419201,353536,49.1,-6.8,-15.7,-5.8
10,Riots,73388,12.7,96448,15.1,98896,15.2,106957,16.1,110361,16,106511,15.1,103842,108101,15,47.3,4.1,1.5
11,Criminal Breach of Trust,21837,3.8,23255,3.6,22016,3.4,20684,3.1,20579,3,18259,2.6,20959,18514,2.6,-15.2,-11.7,1.4
12,Cheating,14392,2.5,19821,3.1,18370,2.8,17416,2.6,17767,2.6,17471,2.5,18169,19767,2.7,37.3,8.8,13.1
13,Counterfeiting,582,0.1,636,0.1,525,0.1,830,0.1,1004,0.1,939,0.1,787,809,0.1,39,2.8,-13.8
14,Other IPC Offences,344031,59.7,507256,79.5,519634,79.8,542425,81.7,573584,83.1,612586,86.9,551097,627578,87.1,82.4,13.9,2.4
