SL. No.,Category,States/U.Ts/Cities,Arms Act - Incidence (I),Arms Act - Volume (V),Opium Act - Incidence (I),Opium Act - Volume (V),Gambling Act - Incidence (I),Gambling Act - Volume (V),Excise Act - Incidence (I),Excise Act - Volume (V),Prohibition Act - Incidence (I),Prohibition Act - Volume (V),Explosives and Explosive Substances Act - Incidence (I),Explosives and Explosive Substances Act - Volume (V),Suppression of Immoral Traffic Act - Incidence (I),Suppression of Immoral Traffic Act - Volume (V),Motor Vehicle Act - Incidence (I),Motor Vehicle Act - Volume (V),Prevention of Corruption Act - Incidence (I),Prevention of Corruption Act - Volume (V),Customs Act - Incidence (I),Customs Act - Volume (V),Indian Railways Act - Incidence (I),Indian Railways Act - Volume (V),Other offences - Incidence (I),Other offences - Volume (V),Grand Total - Incidence (I),Grand Total - Volume (V)
1,State,Andhra Pradesh,159,0.3,4,Neg.,31246,55.8,3754,6.7,NA,NA,208,0.4,1715,3.1,126853,226.4,7,Neg.,NA,NA,6,Neg.,117082,209,281034,501.6
2,State,Assam,357,1.7,15,0.1,286,1.4,1512,7.2,91,0.4,386,1.8,2,Neg.,2110,10,2,Neg.,NA,NA,118,0.6,1390,6.6,6269,29.8
3,State,Bihar,2109,2.9,1,Neg.,300,0.4,956,1.3,3,Neg.,595,0.8,26,Neg.,1319,1.8,13,Neg.,NA,NA,213,0.3,2662,3.6,8197,11.2
4,State,Gujarat,356,1,NA,NA,21796,60.9,NA,NA,128255,358.2,81,0.2,16,Neg.,150,0.4,NA,NA,NA,NA,340,1,30691,86.5,181955,508.1
5,State,Haryana,1804,13.1,2643,19.2,2492,18.1,11452,83,NA,NA,15,0.1,5,Neg.,NA,NA,30,0.2,NA,NA,200,1.5,2317,16.8,20958,152
6,State,Himachal Pradesh,68,1.5,55,1.2,14,0.3,3712,82.9,NA,NA,4,0.1,NA,NA,NA,NA,2,Neg.,NA,NA,8,0.2,420,9.4,4238,95.6
7,State,Jammu & Kashmir,106,1.7,4,0.1,109,1.7,13,0.2,NA,NA,22,0.4,2,Neg.,NA,NA,NA,NA,NA,NA,1,Neg.,1032,16.4,1289,20.5
8,State,Karnataka,71,0.2,7,Neg.,1382,18.9,2247,5.7,1,Neg.,44,0.1,2728,7,387500,990.5,1,Neg.,NA,NA,37,0.1,18902,48.3,418920,1070.9
9,State,Kerala,79,0.3,NA,NA,738,2.8,17,0.1,2,Neg.,49,0.2,11,Neg.,38,0.1,NA,NA,2,Neg.,48,0.2,4853,18.3,5837,22
10,State,Madhya Pradesh,3383,6.2,286,0.5,13657,24.9,12807,23.3,7,Neg.,178,0.3,4,Neg.,108665,197.9,90,0.2,NA,NA,22667,41.3,57959,105.6,219703,400.1
11,State,Maharashtra,875,1.3,2,Neg.,48753,73.8,NA,NA,162098,245.4,220,0.3,1031,1.6,49009,74.2,NA,NA,NA,NA,19242,29.1,324152,490.8,605382,916.6
12,State,Manipur,37,2.5,1,0.1,66,4.4,593,39.3,NA,NA,3,0.2,3,0.2,555,36.8,NA,NA,NA,NA,NA,NA,89,5.9,1347,89.2
13,State,Meghalaya,25,1.7,1,0.1,43,3,32,2.2,5,0.3,7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,5.3,189,13.2
14,State,Nagaland,23,2.7,2,0.2,NA,NA,148,17.4,NA,NA,5,0.6,NA,NA,173,20.4,NA,NA,2,0.2,30,3.5,54,6.4,437,51.4
15,State,Orissa,132,0.5,23,0.1,642,2.3,620,2.3,2,Neg.,46,0.2,7,Neg.,NA,269.9,1,Neg.,NA,NA,140,0.4,276,1,1853,6.7
16,State,Punjab,7301,41.4,9881,56,3233,18.3,31047,176.1,NA,NA,50,0.3,2,Neg.,47580,57.5,151,0.9,6,Neg.,570,2.9,2489,14.1,102247,580
17,State,Rajasthan,2663,7.3,395,1.1,1851,5.1,971,2.7,NA,NA,9,Neg.,13,Neg.,21015,665.4,6,Neg.,NA,NA,521,1.4,13419,36.7,40863,111.8
