SL. No.,States/U.Ts,Cities,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Thefts,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Hyderabad City,99,NA,22,63,20,75,1066,2565,312,90,339,22,6649
2,Andhra Pradesh,Visakhapatnam,3,NA,3,1,1,8,28,252,2,4,10,NA,815
3,Andhra Pradesh,Rajahmundry,7,NA,3,2,1,10,112,264,90,16,16,NA,541
4,Andhra Pradesh,Kakinada,6,NA,2,4,NA,2,112,337,2,16,12,NA,530
5,Andhra Pradesh,Eluru,1,NA,2,4,NA,NA,56,176,10,8,8,NA,265
6,Andhra Pradesh,Bander,2,NA,1,NA,NA,1,28,75,NA,2,NA,NA,265
7,Andhra Pradesh,Vijayawada Town,16,NA,6,3,7,9,139,586,5,25,8,2,1280
8,Andhra Pradesh,Guntur,8,NA,2,12,3,7,127,459,9,12,32,NA,1519
9,Andhra Pradesh,Tenali,5,NA,NA,4,NA,2,60,300,3,8,5,NA,975
10,Andhra Pradesh,Kurnool,7,NA,1,NA,NA,NA,36,54,1,3,5,1,108
11,Andhra Pradesh,Cuddapah,2,NA,NA,1,NA,1,45,78,11,2,NA,NA,140
12,Andhra Pradesh,Nellore,5,NA,1,4,1,6,90,303,24,15,11,6,693
13,Andhra Pradesh,Nizamabad,6,NA,NA,2,8,10,30,95,1,6,NA,52,370
14,Andhra Pradesh,Warangal,7,NA,2,2,3,4,75,233,20,4,7,NA,593
1,Assam,Gauhati,17,NA,9,37,5,11,300,771,310,59,40,NA,1759
1,Bihar,Patna,82,10,7,42,58,120,416,2086,133,66,52,1,5795
2,Bihar,Biharsharif,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Bihar,Gaya,18,NA,2,6,12,21,64,201,32,12,4,NA,372
4,Bihar,Munger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Bihar,Ranchi,157,18,18,35,45,109,251,1032,216,95,46,NA,2022
6,Bihar,Bhagalpur,9,2,6,24,2,30,144,215,47,14,23,NA,516
7,Bihar,Bokaro,18,1,7,17,39,26,168,439,85,20,5,NA,925
8,Bihar,Darbhanga,39,8,14,17,68,23,361,795,815,56,31,NA,2227
9,Bihar,Jamshedpur,51,1,18,23,20,50,117,469,147,20,26,NA,1973
10,Bihar,Dhanbad,2,NA,4,NA,11,26,83,193,51,2,3,NA,637
11,Bihar,Muzaffarpur,6,3,3,7,8,11,92,137,67,9,3,NA,346
12,Bihar,Katihar,50,10,51,60,72,41,236,822,303,26,57,NA,1728
13,Bihar,Arrah,4,1,5,3,5,11,75,125,47,11,6,NA,293
1,Gujarat,Ahmedabad City,60,NA,8,115,10,31,540,2505,298,88,152,5,10500
2,Gujarat,Rajkot City,15,NA,NA,13,3,15,106,442,36,18,30,NA,1910
3,Gujarat,Baroda City,18,NA,4,35,9,30,551,2039,80,65,106,NA,6764
4,Gujarat,Surat City,26,1,NA,39,5,19,221,1318,170,82,68,1,3357
5,Gujarat,Bhavnagar City,9,NA,NA,6,3,6,89,198,13,14,16,1,1009
6,Gujarat,Jamnagar City,9,NA,1,9,NA,7,82,213,17,7,8,NA,858
7,Gujarat,Nadiad City,3,NA,NA,10,NA,4,31,174,23,9,17,NA,429
1,Haryana,Faridabad,12,3,6,15,2,9,134,274,21,29,33,NA,1679
2,Haryana,Rohtak,8,NA,NA,5,NA,1,52,99,5,9,15,2,842
3,Haryana,Gurgaon,2,1,1,8,1,3,62,74,4,7,1,NA,364
4,Haryana,Sonepat,2,2,2,6,NA,1,39,98,8,11,6,NA,455
5,Haryana,Ambala Cantt.,2,NA,NA,3,NA,NA,27,32,NA,1,2,1,207
6,Haryana,Ambala City,1,NA,NA,2,NA,NA,37,61,NA,8,8,1,280
7,Haryana,Yamuna Nagar,3,1,NA,9,NA,1,40,69,NA,18,9,1,353
8,Haryana,Karnal,5,NA,NA,4,NA,NA,56,101,NA,8,18,NA,889
9,Haryana,Panipat,2,1,3,5,NA,NA,96,168,5,9,15,1,914
10,Haryana,Hissar,3,4,NA,NA,NA,NA,32,88,5,7,16,NA,1057
11,Haryana,Bhiwani,2,NA,NA,3,NA,NA,22,150,4,4,8,NA,510
1,Karnataka,Bangalore City,56,2,21,46,7,270,1467,6275,242,195,540,74,14149
2,Karnataka,K.G.F.,4,NA,NA,2,2,3,67,33,41,3,3,NA,533
