SL. No.,Ranks,Killed,Injured
1,Constables,151,2747
2,Head Constables,43,502
3,Assistant Sub-Inspectors,16,115
4,Sub-Inspectors,34,364
5,Inspectors,8,130
6,Other Gazetted Officers,7,77
Total,Total,259,3935
