SL. No.,Category,State/U.Ts,Area in Square Kms.,Estimated Mid-Year Population (in 000),Total Cognizable Crimes Under IPC,Actual Police Strength - Civil,Actual Police Strength - Armed,Actual Police Strength - Total,Number of Policemen Per 100 SQ. KM. Area,Number of Policemen Per 1000 of Population,Number of IPC Cases Per Civil Policemen,Percentage of civil police of total police
1,State,Andhra Pradesh,275068,56035,84773,42990,42990,50944,18.5,9.1,2,84.4
2,State,Assam,78438,21069,48979,19589,19589,29917,38.1,14.2,2.5,65.5
3,State,Bihar,173877,73502,108662,53273,53273,66400,38.2,9,2,80.2
4,State,Gujarat,196024,35813,79559,45849,45849,57921,29.5,16.2,1.7,79.2
5,State,Haryana,44212,13787,16774,15389,15389,19870,44.9,14.4,1.1,77.4
6,State,Himachal Pradesh,55673,4480,4430,5964,5964,8413,15.1,18.8,0.7,70.9
7,State,Jammu and Kashmir,222236,6298,17139,16832,16832,23770,10.7,37.7,1,70.8
8,State,Karnataka,191791,39117,77304,38625,38625,42434,22.1,10.8,2,91
9,State,Kerala,38863,26533,47309,20197,20197,22812,58.7,8.6,2.3,88.5
10,State,Madhya Pradesh,443446,54913,166355,56090,56090,79374,17.9,14.5,3,70.7
11,State,Maharashtra,307690,66050,157249,93527,93527,104868,34.1,15.9,1.7,89.2
12,State,Manipur,22327,1509,3069,3280,3280,7917,35.5,52.5,0.9,41.4
13,State,Meghalaya,22429,1427,1646,3754,3754,5481,24.4,38.4,0.4,68.5
14,State,Nagaland,16579,855,1940,6275,6275,12561,75.8,146.9,0.3,50
15,State,Orissa,155707,27488,44662,23323,23323,29667,19.1,10.8,1.9,78.6
16,State,Punjab,50362,17632,13960,22857,22857,28812,57.2,16.3,0.6,79.3
17,State,Rajasthan,342239,36545,71367,39518,39518,46449,13.6,12.7,1.8,85.1
18,State,Sikkim,7096,346,257,1372,1372,1857,26.2,53.7,0.2,73.9
19,State,Tamil Nadu,130058,50279,114416,44032,44032,49825,38.3,9.9,2.6,88.4
20,State,Tripura,10486,2184,5900,4742,4742,6550,62.5,30,1.2,72.4
21,State,Uttar Pradesh,294411,116568,164926,82452,82452,137259,46.6,11.8,2,60.1
22,State,West Bengal,88752,57195,81239,41528,41528,68969,77.7,12.1,2,60.2
Total (States),State,Total (States),3167764,709625,1311915,681458,681458,902070,28.5,12.7,1.9,75.5
23,UT,A & N Islands,8249,211,755,1758,1758,1952,23.7,92.5,0.4,90.1
24,UT,Arunachal Pradesh,83743,675,1071,955,955,2103,2.5,31.2,1.1,45.4
25,UT,Chandigarh,114,514,1612,1273,1273,2249,1972.8,43.8,1.3,56.6
26,UT,D & N Haveli,491,111,205,79,79,155,31.6,14,2.6,51
27,UT,Delhi,1483,6852,27360,19554,19554,28728,1937.2,41.9,1.4,68.1
28,UT,"Goa, Daman & Diu",3814,1147,2936,1837,1837,2450,64.2,21.4,1.6,75
29,UT,Lakshadweep,32,42,18,276,276,276,862.5,65.7,0.1,100
30,UT,Mizoram,21081,544,1696,1552,1552,2524,12,46.4,1.1,61.5
31,UT,Pondicherry,492,638,2298,1001,1001,1545,314,24.2,2.3,64.8
Total (UTs),UT,Total (UTs),119499,10734,37951,28285,28285,41982,35.1,39.1,1.3,67.4
All India,All India,All India,3278263,720359,1349866,709743,709743,944052,28.7,13.1,1.9,75.2
