SL. No.,Crime Heads,Male,Female,Total,Percentage of Female to Total
1,Murder,58618,1184,59802,2
2,Culpable Homicide Not Amounting to Murder,7184,114,7298,1.6
3,Rape,8317,86,8403,1
4,Kidnapping & Abduction,16943,555,17498,3.2
5,Dacoity,45467,305,45772,0.7
6,Robbery,26769,295,27064,1.1
7,Burglary,98147,1691,99838,1.7
8,Theft,234735,5338,240073,2.2
9,Riots,551652,12023,563675,2.1
10,Criminal Breach of Trust,15854,291,16145,1.8
11,Cheating,16696,287,16983,1.7
12,Counterfeiting,731,4,735,0.5
13,Total Cognizable Crimes,2025291,52059,2077350,2.5
