SL. No.,Category,States/U.Ts/Cities,Murder - 1982,Murder - 1983,Murder - Percentage Variation,Kidnapping & Abduction - 1982,Kidnapping & Abduction - 1983,Kidnapping & Abduction - Percentage Variation,Culpable Homicide Not Amounting to Murder - 1982,Culpable Homicide Not Amounting to Murder - 1983,Culpable Homicide Not Amounting to Murder - Percentage Variation,Rape - 1982,Rape - 1983,Rape - Percentage Variation,Dacoity - 1982,Dacoity - 1983,Dacoity - Perentage Variation,Robbery - 1982,Robbery - 1983,Robbery - Percentage Variation,Burglary - 1982,Burglary - 1983,Burglary - Percentage Variation,Thefts - 1982,Thefts - 1983,Thefts - Percentage Variation,Riots - 1982,Riots - 1983,Riots - Percentage Variation,Criminal Breach of Trust - 1982,Criminal Breach of Trust - 1983,Criminal Breach of Trust - Percentage Variation,Cheating - 1982,Cheating - 1983,Cheating - Percentage Variation,Counterfeiting - 1982,Counterfeiting - 1983,Counterfeiting - Percentage Variation,Total Cognizable Crimes - 1982,Total Cognizable Crimes - 1983,Total Cognizable Crimes - Percentage Variation
1,State,Andhra Pradesh,1483,1401,-5.5,384,452,17.7,46,32,-30.4,259,349,34.7,336,374,11.3,517,532,2.9,6691,6529,-2.4,16936,17251,1.9,4345,3813,-12.2,606,613,1.2,908,1012,11.5,56,84,50,79722,84773,6.3
2,State,Assam,615,1911,210.7,692,761,10,27,24,-11.1,257,265,3.1,470,519,10.4,650,698,7.4,5543,4392,-20.8,10604,9735,-8.2,6042,9917,64.1,501,413,-17.6,536,492,-8.2,53,NA,-100,43632,48979,12.3
3,State,Bihar,2681,3107,15.9,1164,1653,42,343,628,83.1,505,643,27.3,3479,3607,3.7,1935,2156,11.4,11354,10446,-8,24719,27955,13.1,14717,17567,19.4,1272,1408,10.7,1160,1314,13.3,13,14,7.7,106768,108662,1.8
4,State,Gujarat,1056,958,-9.3,635,561,-11.7,7,5,-28.6,107,92,-14,275,186,-32.4,831,827,-0.5,5633,5620,-0.2,20561,18882,-8.2,2150,1974,-8.2,1400,1236,-11.7,855,899,5.1,26,13,-50,80740,79559,-1.5
5,State,Haryana,340,366,7.6,217,202,-6.9,103,103,0,100,85,-15,37,26,-29.7,76,86,13.2,2353,2300,-2.3,3513,3261,-7.2,238,215,-9.7,298,254,-14.8,311,354,13.8,2,11,450,16563,16774,1.3
6,State,Himachal Pradesh,69,64,-7.2,65,66,1.5,14,17,21.4,34,32,-5.9,1,2,100,19,23,21.1,424,462,9,543,561,3.3,200,217,8.5,84,100,19,81,84,3.7,1,2,100,3989,4430,11.1
7,State,Jammu & Kashmir,91,103,13.2,449,461,2.7,10,8,-20,115,146,27,10,33,230,45,46,2.2,1391,1366,-1.8,2581,2573,-0.3,1837,2022,10.1,145,141,-2.8,176,205,16.5,2,NA,-100,15523,17139,10.4
8,State,Karnataka,886,947,6.9,270,301,11.5,18,15,-16.7,79,119,50.6,171,166,-2.9,513,589,14.8,8091,9069,12.1,18214,17462,-4.1,5742,5735,-0.1,653,802,22.8,1088,1259,15.7,136,131,-3.7,74479,77304,3.8
9,State,Kerala,528,514,-2.7,120,108,-10,8,24,200,96,116,20.8,39,33,-15.4,171,138,-19.3,4370,4119,-5.7,3495,3468,-0.8,5645,5440,-3.6,268,408,52.2,556,850,52.9,135,97,-28.1,46097,47309,2.6
10,State,Madhya Pradesh,2516,2593,3.1,991,1019,2.8,52,45,-13.5,1157,1271,9.9,436,497,14,2706,2660,-1.7,22985,21613,-6,48277,42081,-12.8,6787,6602,-2.7,1398,1289,-7.8,1467,1628,11,30,18,-40,170310,166355,-2.3
