SL. No.,Heads of Crime,Persons Arrested,Percentage to Total Persons Arrested
1,Arms Act,65756,2.1
2,Opium Act,115016,0.5
3,Gambling Act,353351,11.2
4,Excise Act,116777,3.7
5,Prohibition Act,369524,11.7
6,Explosive & Explosive Substances Act,4333,0.1
7,Suppression of Immoral Traffic Act,16284,0.5
8,Motor Vehicles Act,980555,31
9,Prevention of Corruption Act,360,Negligible
10,Customs Act,73,Negligible
11,Indian Railways Act,47525,1.5
12,Miscellaneous,1191620,37.7
13,Total,3161193,100
