SL. No.,Years,Boys,Girls,Total,Percentage of Girls
1,1973,122129,5550,127742,4.3
2,1974,132125,8514,140639,6.1
3,1975,132587,9312,141899,6.6
4,1976,124569,9404,133973,7
5,1977,138532,10390,148922,7
6,1978,151187,9732,160919,6
7,1979,160310,9733,170043,5.7
8,1980,178129,9456,187585,5
9,1981,181888,8679,190567,4.6
10,1982,157664,10673,168337,6.3
11,1983,160513,11101,171614,6.5
Percentage Change in 1983 Over 1973,Percentage Change in 1983 Over 1973,31.4,100,34.3,NA
Percentage Change in 1983 Over 1982,Percentage Change in 1983 Over 1982,1.8,4,1.9,NA
