SI.No.,States/UT/City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping and Abduction - Total,Kidnapping and Abduction - of Women,Kidnapping and Abduction - of Others,Dacoity,Preaparation and Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft ,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelity by Husband and Relatives,Importation of Girls,Others IPC Crimes,Total Cog. Under IPC
1,Andhra Pradesh,27,10,1,15,3,3,0,0,1,3,191,376,16,360,77,0,4,0,5,193,1,4,1,15,0,98,1025
2,Arunachal Pradesh,0,0,0,2,0,0,0,1,0,1,12,12,0,12,3,0,0,0,0,12,0,1,0,0,0,9,53
3,Assam,6,0,0,0,1,0,1,0,0,0,39,94,0,94,50,0,0,0,2,20,0,3,0,5,0,20,240
4,Bihar,63,48,12,12,2,0,2,10,0,16,46,137,21,116,111,1,4,0,0,13,8,2,0,5,0,226,716
5,Goa,0,1,0,1,0,0,0,0,0,1,9,9,2,7,6,0,0,0,0,1,0,0,0,0,0,2,30
6,Gujarat,16,22,0,7,34,34,0,3,0,3,153,281,41,240,91,8,7,1,7,234,4,9,4,58,0,385,1327
7,Haryana,15,5,0,4,7,4,3,0,0,3,26,46,4,42,30,0,1,0,0,99,11,8,5,34,0,61,355
8,Himachal Pradesh,5,0,0,4,1,0,1,0,0,1,11,16,0,16,6,0,0,0,0,9,0,1,1,1,0,10,66
9,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Karnataka,12,7,0,0,0,0,0,1,0,4,72,87,4,83,49,0,0,0,3,56,0,1,0,10,0,29,331
11,Kerala,2,1,0,2,0,0,0,0,0,1,10,25,0,25,11,0,0,0,1,4,0,0,0,0,0,8,65
12,Madhya Pradesh,77,80,5,77,9,8,1,2,0,17,411,330,11,319,83,2,7,0,7,714,11,55,9,46,0,1310,3252
13,Maharashtra,53,24,0,26,11,5,6,15,2,13,427,664,39,625,153,0,7,0,20,438,20,20,5,133,0,287,2318
14,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Meghalaya,1,0,0,2,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,9,23
16,Mizoram,0,0,0,0,0,0,0,0,0,0,1,8,0,8,0,0,0,0,0,0,0,0,0,0,0,2,11
17,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Orissa,10,2,0,4,0,0,0,0,0,0,45,82,1,81,1,0,1,0,0,0,0,2,0,3,0,46,196
19,Punjab,1,2,1,1,2,1,1,0,0,0,2,4,0,4,0,0,4,0,0,1,2,0,0,0,0,4,24
20,Rajasthan,22,18,0,9,3,2,1,0,0,7,122,109,10,99,180,2,0,6,3,77,10,7,0,32,0,257,864
21,Sikkim,0,0,0,0,0,0,0,0,0,0,2,8,NR,NR,0,0,0,0,0,1,0,0,0,0,NR,0,11
22,Tamil Nadu,2,0,4,1,0,0,0,0,0,3,97,213,24,189,64,0,0,0,0,31,1,1,1,0,0,97,515
23,Tripura,2,0,0,0,0,0,0,0,0,0,10,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17
24,Uttar Pradesh,1,0,0,0,0,0,0,0,0,0,0,8,0,8,1,0,0,0,0,1,3,1,0,3,0,0,18
25,West Bengal,0,0,0,1,6,6,0,0,0,1,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,18
Total States,Total States,315,220,23,168,79,63,16,32,3,74,1686,2535,173,2354,916,13,35,7,48,1904,71,115,26,345,0,2860,11475
26,A & N Islands,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
27,Chandigarh,0,0,0,0,0,0,0,0,0,0,2,11,3,8,0,0,0,0,0,1,0,1,0,0,0,8,23
