Sl.No.,State,City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping and Abduction Total,Kidnapping and Abduction of Women & Girls,Kidnapping and Abduction of Others,Dacoity,Preaparation and Assembly for Dacoity,Robbery,Burglary,Theft Total,Theft Auto Theft,Theft Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelity by Husband and Relatives,Importation of Girls,Others IPC Crimes,Total Cog. Under IPC
1,Andhra Pradesh,Hyderabad,115,97,1,48,96,43,53,3,0,79,1225,2995,1111,1884,148,141,1724,14,0,2995,19,86,10,808,0,991,11595
2,Andhra Pradesh,Vijayawada,39,54,0,23,44,18,26,2,0,24,300,1014,228,786,23,32,248,2,25,1224,9,68,74,181,0,833,4219
3,Andhra Pradesh,Vishakhapatnam,17,28,0,17,12,9,3,3,0,18,320,780,143,637,3,28,187,2,11,350,8,31,657,168,0,1142,3782
1,Assam,Guwahati City,47,21,2,37,186,177,9,52,3,135,480,1091,189,902,180,76,101,10,3,512,3,82,0,42,0,972,4035
1,Bihar,Patna,226,271,21,18,104,11,93,69,11,296,349,1412,326,1086,135,129,82,4,12,176,39,22,1,66,0,2188,5631
2,Bihar,Ranchi,48,98,31,18,38,8,30,10,5,49,135,433,45,388,52,98,31,0,4,68,8,57,0,32,0,532,1747
1,Delhi,Delhi City,514,509,61,332,1176,837,339,42,30,649,3068,22517,7959,14558,163,468,1797,67,49,1928,95,480,126,58,0,18602,52731
1,Gujarat,Ahmedabad,105,60,3,14,200,118,82,20,1,224,812,3870,1407,2463,200,184,287,14,9,1495,6,30,29,524,0,7565,15652
2,Gujarat,Bhavnagar,13,8,0,0,18,16,2,2,0,23,90,345,155,190,66,45,97,4,1,31,0,20,13,62,0,551,1389
3,Gujarat,Rajkot,41,40,0,7,59,43,16,4,1,51,317,1033,410,623,79,54,45,2,14,450,4,20,30,166,0,2379,4796
4,Gujarat,Surat,106,21,3,17,70,39,31,17,0,83,453,1576,775,801,81,75,143,2,12,500,28,20,4,121,0,1244,4576
5,Gujarat,Vadodara,37,17,1,10,61,53,8,11,0,92,426,1302,529,773,140,141,143,5,7,409,0,30,14,162,0,2788,5796
1,Karnataka,Banglore,203,349,2,29,158,65,93,66,0,451,2968,7451,2584,4867,329,215,1351,25,7,3721,49,219,52,198,0,10124,27967
2,Karnataka,Belgaum,13,11,1,2,10,6,4,4,0,24,116,61,35,26,47,10,53,4,1,129,0,6,0,16,0,513,1021
3,Karnataka,Gulbarga,13,55,1,4,16,0,16,7,0,66,204,224,24,200,64,4,32,0,6,303,1,8,0,52,0,400,1460
4,Karnataka,Hubli Dharwad,21,23,1,4,11,10,1,6,0,20,166,245,65,180,95,11,103,2,3,195,5,6,0,23,0,947,1887
5,Karnataka,Mysore,18,72,0,15,8,1,7,1,0,46,141,428,120,308,30,18,43,3,0,240,13,17,0,54,0,841,1988
1,Kerala,Kochi,22,30,3,9,9,4,5,5,0,27,195,353,135,218,193,28,191,4,4,544,0,44,4,57,0,3274,4996
2,Kerala,Kozhikode,8,9,7,8,3,2,1,1,0,21,252,274,99,175,261,19,156,0,5,413,3,42,4,118,0,1980,3584
3,Kerala,Thiruvananthapuram,18,24,6,13,13,9,4,12,3,51,311,296,94,202,256,37,236,4,11,714,1,79,1,62,0,1915,4063
1,Madhya Pradesh,Bhilai (Durg),31,52,0,47,30,20,10,1,1,51,546,826,99,727,30,10,69,2,5,486,10,110,16,68,0,2014,4405
2,Madhya Pradesh,Bhopal,44,92,0,42,37,33,4,1,0,85,695,1053,349,704,57,32,142,16,12,638,10,92,16,65,0,6363,9492
3,Madhya Pradesh,Gwalior,65,79,0,33,44,39,5,1,6,73,678,960,266,694,77,15,63,1,11,674,23,70,4,61,0,2806,5744
4,Madhya Pradesh,Indore,95,83,2,29,35,29,6,0,9,41,712,2204,1055,1149,48,32,146,6,9,1038,23,71,9,128,0,3871,8591
5,Madhya Pradesh,Jabalpur,40,82,3,53,11,9,2,0,1,63,382,494,219,275,55,6,54,0,0,1648,21,88,26,43,0,2279,5349
6,Madhya Pradesh,Raipur,35,48,0,31,14,14,0,3,1,33,397,570,146,424,29,17,92,6,9,230,0,94,28,24,0,1619,3280
1,Maharashtra,Amravati,23,21,2,16,22,19,3,5,5,57,301,705,1,704,71,17,32,4,15,419,2,19,18,79,0,660,2493
2,Maharashtra,Aurangabad,35,27,0,11,8,5,3,1,1,25,261,399,115,284,84,16,63,0,4,314,4,30,5,112,0,773,2173
3,Maharashtra,Mumbai,340,184,4,141,189,30,159,74,81,549,2763,11755,3021,8734,200,407,1264,66,1,3560,60,243,36,237,0,7252,29406
4,Maharashtra,Nagpur,135,86,1,42,68,56,12,21,63,200,1370,2391,675,1716,135,84,248,17,24,1094,4,112,52,189,0,3173,9509
5,Maharashtra,Nasik,33,17,0,8,8,3,5,8,1,15,370,641,172,469,84,27,48,2,1,235,6,13,14,86,0,704,2321
6,Maharashtra,Navi Mumbai,41,14,0,21,28,17,11,24,13,91,526,1230,323,907,109,80,135,3,5,424,9,31,22,55,0,980,3841
7,Maharashtra,Pune,82,40,6,51,50,37,13,25,4,89,857,2602,1266,1336,1012,77,294,3,10,1143,0,76,104,89,0,2947,9561
8,Maharashtra,Solapur,10,15,0,7,11,8,3,2,0,14,123,315,86,229,37,7,32,1,5,156,0,6,1,37,0,472,1251
9,Maharashtra,Thane,127,79,4,44,66,34,32,13,38,162,986,1817,587,1230,200,75,322,10,8,838,3,59,62,181,0,1129,6223
