SI.No.,States/UT,Motor Vehics,Motor Cycle,Car,Jeep,One Tonner,Three Tonner,Others,Wireless Equipment,H.F./V.H.F.,Walkie /Talkie,Other Wireless Equipments
1,Andhra Pradesh,3927,1134,404,1713,501,136,39,10320,7913,2208,199
2,Arunachal Pradesh,451,134,23,166,85,40,3,1248,985,245,18
3,Assam,2535,297,1537,531,170,0,0,1920,886,1025,9
4,Bihar,4619,580,195,2671,345,247,581,0,0,0,0
5,Goa,215,105,10,65,0,0,35,1144,287,239,618
6,Gujarat,2810,1225,87,809,163,145,381,7103,4626,1630,847
7,Haryana,1548,436,96,349,0,0,667,3680,2275,1328,77
8,Himachal Pradesh,433,135,42,128,14,100,14,0,0,0,0
9,Jammu & Kashmir,2426,182,466,1165,334,263,16,7610,3438,4084,88
10,Karnataka,3225,1255,212,1158,20,53,527,5839,2911,1863,1065
11,Kerala,1964,197,129,1255,21,0,362,27,0,0,27
12,Madhya Pradesh,3693,756,217,655,1245,407,413,12618,6124,3235,3259
13,Maharashtra,4582,1083,335,1902,427,345,490,7230,4021,1364,1845
14,Manipur,828,51,19,516,4,91,147,397,15,232,150
15,Meghalaya,269,14,28,161,10,10,46,1045,429,579,37
16,Mizoram,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
17,Nagaland,272,18,11,86,29,14,114,32,2,19,11
18,Orissa,1811,293,105,898,335,180,0,2137,1650,381,106
19,Punjab,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
20,Rajasthan,2571,566,111,1187,475,232,0,8300,6694,1606,0
21,Sikkim,135,8,4,21,11,25,66,325,0,157,168
22,Tamil Nadu,5376,1797,164,1426,203,165,1621,6483,2460,3382,641
23,Tripura,751,70,0,0,439,145,97,0,2761,1510,1172
24,Uttar Pradesh,6695,1089,422,3245,372,1442,125,16761,12163,3980,618
25,West Bengal,55,28,3,13,7,4,0,260,260,0,0
Total States,Total States,51191,11453,4620,20120,5210,4044,5744,94479,59900,29067,10955
26,A & N Islands,90,38,7,8,29,8,0,40,33,7,0
27,Chandigarh,218,104,13,58,0,0,43,1176,388,780,8
28,D & N Haveli,41,26,1,10,0,4,0,107,76,31,0
29,Daman & DIU,23,11,1,9,2,0,0,94,49,45,0
30,Delhi,3241,1734,252,750,0,0,505,29757,19607,5754,4396
31,Lakshadweep,19,9,0,9,0,0,1,106,29,0,77
32,Pondicherry,224,115,8,21,12,16,52,637,434,202,1
Total (UTs),Total (UTs),115,0,282,865,43,28,601,434,0,6819,4482
Total (All-India),Total (All-India),55047,13490,4902,20985,5253,4072,6345,126396,80516,35886,15437
