Sl. No.,Event,No. of Occasions of Police Firing,Civilians - Killed,Civilians - Injured,Police Men - Killed,Police Men - Injured
1,Riot Control,161,71,241,1,466
2,Anti-Dacoiity Operations,140,55,43,8,62
3,Against Extremists and Terrorist,625,397,207,141,172
4,Against Others,264,189,61,7,202
5,Total,1190,712,552,157,902
