SI.No.,States/UT/City,Est-Mid Year Population,Rape - Incidence,Rape - Rate,Rape - Percentage,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - Percentage,Dowry Deaths - Incidence,Dowry Deaths - Rate,Dowry Deaths - Percentage,Cruelty By Husband And Relatives - Incidence,Cruelty By Husband And Relatives - Rate,Cruelty By Husband And Relatives - Percentage,Molestation - Incidence,Molestation - Rate,Molestation - Percentage,Sexual Harassment (Eve -Teasing ) - Incidence,Sexual Harassment (Eve -Teasing ) - Rate,Sexual Harassment (Eve -Teasing ) - Percentage,Important of Girls - Incidence,Important of Girls - Rate,Important of Girls - Percentage,Sati Prev.Act - Incidence,Sati Prev.Act - Rate,Sati Prev.Act - Percentage,Immoral Trafic (P) Act - Incidence,Immoral Trafic (P) Act - Rate,Immoral Trafic (P) Act - Percentage,Ind.Rep.of Women (P) Act - Incidence,Ind.Rep.of Women (P) Act - Rate,Ind.Rep.of Women (P) Act - Percentage,Dowry Proh.Act - Incidence,Dowry Proh.Act - Rate,Dowry Proh.Act - Percentage,Total - Incidence,Total - Rate,Total - Percentage
1,Andhra Pradesh,750.1,895,1.2,5.8,708,0.9,4.4,452,0.6,6.7,4666,6.2,10.6,3238,4.3,10,1763,2.4,19.9,0,0,0,0,0,0,737,1,7.9,15,0,6.8,282,0.4,9.2,12756,17,9.4
2,Arunachal Pradesh,11.7,39,3.3,0.3,40,3.4,0.3,0,0,0,5,0.4,0,65,5.6,0.2,1,0.1,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,151,12.9,0.1
3,Assam,259.8,703,2.7,4.5,1149,4.4,7.2,40,0.2,0.6,843,3.2,1.9,720,2.8,2.2,21,0.1,0.2,0,0,0,0,0,0,5,0,0.1,0,0,0,23,0.1,0.8,3504,13.5,2.6
4,Bihar,987.3,1447,1.5,9.4,939,1,5.9,1021,1,15.2,1423,1.4,3.2,547,0.6,1.7,55,0.1,0.6,0,0,0,0,0,0,38,0,0.4,25,0,11.3,1211,1.2,39.5,6706,6.8,4.9
5,Goa,15.6,18,1.2,0.1,7,0.4,0,2,0.1,0,15,1,0,26,1.7,0.1,7,0.4,0.1,0,0,0,0,0,0,28,1.8,0.3,0,0,0,0,0,0,103,6.6,0.1
6,Gujarat,477.9,331,0.7,2.1,1074,2.2,6.7,94,0.2,1.4,3886,8.1,8.9,1083,2.3,3.4,172,0.4,1.9,0,0,0,0,0,0,40,0.1,0.4,1,0,0.5,13,0,0.4,6694,14,4.9
7,Haryana,196.4,372,1.9,2.4,350,1.8,2.2,288,1.5,4.3,1369,7,3.1,553,2.8,1.7,300,1.5,3.4,0,0,0,0,0,0,14,0.1,0.1,0,0,0,2,0,0.1,3248,16.5,2.4
8,Himachal Pradesh,66,109,1.7,0.7,89,1.3,0.6,5,0.1,0.1,258,3.9,0.6,297,4.5,0.9,23,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.1,784,11.9,0.6
9,jammu & Kashmir,97.9,170,1.7,1.1,473,4.8,3,6,0.1,0.1,39,0.4,0.1,507,5.2,1.6,341,3.5,3.8,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0.1,1542,15.8,1.1
10,Karnataka,516.5,301,0.6,1.9,320,0.6,2,217,0.4,3.2,1560,3,3.6,1501,2.9,4.6,147,0.3,1.7,0,0,0,0,0,0,1225,2.4,13.1,1,0,0.5,361,0.7,11.8,5633,10.9,4.1
11,Kerala,320.8,423,1.3,2.7,123,0.4,0.8,31,0.1,0.5,2488,7.8,5.7,1643,5.1,5.1,50,0.2,0.6,0,0,0,0,0,0,62,0.2,0.7,9,0,4.1,9,0,0.3,4838,15.1,3.6
12,Madhya Pradesh,788.1,3561,4.5,23,942,1.2,5.9,584,0.7,8.7,3012,3.8,6.9,8054,10.2,24.9,693,0.9,7.8,0,0,0,0,0,0,33,0,0.4,0,0,0,197,0.2,6.4,17076,21.7,12.6
13,Maharashtra,904.5,1320,1.5,8.5,727,0.8,4.6,395,0.4,5.9,7026,7.8,16,2766,3.1,8.6,825,0.9,9.3,0,0,0,0,0,0,390,0.4,4.2,147,2,66.2,14,0,0.5,13610,15,10
14,Manipur,24.7,12,0.5,0.1,38,1.5,0.2,0,0,0,2,0.1,0,13,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2.6,0
15,Meghalaya,23.8,27,1.1,0.2,10,0.4,0.1,0,0,0,0,0,0,17,0.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,2.3,0
16,Mizoram,9.3,71,7.6,0.5,0,0,0,0,0,0,0,0,0,74,8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,15.6,0.1
17,Nagaland,16.5,11,0.7,0.1,5,0.3,0,0,0,0,0,0,0,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1.2,0
18,Orissa,356.4,820,2.3,5.3,431,1.2,2.7,234,0.7,3.5,1208,3.4,2.8,1494,4.2,4.6,158,0.4,1.8,0,0,0,0,0,0,22,0.1,0.2,0,0,0,349,1,11.4,4716,13.2,3.5
19,Punjab,233.7,282,1.2,1.8,280,1.2,1.8,193,0.8,2.9,562,2.4,1.3,198,0.8,0.6,2,0,0,0,0,0,0,0,0,14,0.1,0.1,0,0,0,7,0,0.2,1538,6.6,1.1
20,Rajasthan,529.4,1198,2.3,7.7,2652,5,16.6,443,0.8,6.6,5425,10.2,12.4,3109,5.9,9.6,51,0.1,0.6,0,0,0,0,0,0,85,0.2,0.9,8,0,3.6,3,0,0.1,12974,24.5,9.6
21,Sikkim,5.5,7,1.3,0,0,0,0,0,0,0,0,0,0,21,3.8,0.1,0,0,0,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,28,5.1,0
22,Tamil Nadu,614.3,430,0.7,2.8,1000,1.6,6.3,197,0.3,2.9,620,1,1.4,1959,3.2,6.1,1776,2.9,20,0,0,0,0,0,0,6462,10.5,69,0,0,0,226,0.4,7.4,12670,20.6,9.3
23,Tripura,37,72,1.9,0.5,27,0.7,0.2,17,0.5,0.3,113,3.1,0.3,71,1.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,8.1,0.2
24,Uttar Pradesh,1676.6,1593,1,10.3,2746,1.6,17.2,2088,1.2,31.2,5372,3.2,12.3,2481,1.5,7.7,2255,1.3,25.5,0,0,0,0,0,0,24,0,0.3,6,0,2.7,347,0.2,11.3,16912,10.1,12.5
25,West Bengal,783.2,819,1,5.3,804,1,5,257,0.3,3.8,3777,4.8,8.6,1200,1.5,3.7,33,0,0.4,1,0,100,0,0,0,39,0,0.4,0,0,0,1,0,0,6931,8.8,5.1
Total States,Total States,9703,15031,1.5,97.2,14934,1.5,93.6,6564,0.7,98,43669,4.5,99.6,31640,3.3,97.9,8673,0.9,97.9,1,0,100,0,0,0,9223,1,98.5,212,0,95.5,3050,0.3,99.5,132997,13.7,98
26,A & N Islands,3.8,6,1.6,0,2,0.5,0,0,0,0,8,2.1,0,13,3.4,0,2,0.5,0,0,0,0,0,0,0,5,1.3,0.1,0,0,0,0,0,0,36,9.5,0
27,Chandigarh,8.7,16,1.8,0.1,36,4.1,0.2,7,0.8,0.1,42,4.8,0.1,26,3,0.1,18,2.1,0.2,0,0,0,0,0,0,7,0.8,0.1,0,0,0,0,0,0,152,17.5,0.1
28,D & N Haveli,1.9,3,1.6,0,0,0,0,2,1.1,0,5,2.6,0,8,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9.5,0
29,Daman & DIU,1.4,4,2.9,0,2,1.4,0,0,0,0,5,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7.9,0
30,Delhi,136,402,3,2.6,986,7.3,6.2,122,0.9,1.8,88,0.6,0.2,588,4.3,1.8,146,1.1,1.6,0,0,0,0,0,0,78,0.6,0.8,10,0,4.5,8,0.1,0.3,2428,17.9,1.8
31,Lakshadeep,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,10.9,6,0.6,0,2,0.2,0,4,0.4,0.1,6,0.6,0,36,3.3,0.1,19,1.7,0.2,0,0,0,0,0,0,50,4.6,0.5,0,0,0,6,0.6,0.2,129,11.8,0.1
Total (UTs),Total (UTs),163.4,437,2.7,2.8,1028,6.3,6.4,135,0.8,2,154,0.9,0.4,671,4.1,2.1,185,1.1,2.1,0,0,0,0,0,0,140,0.9,1.5,10,0.1,4.5,14,0.1,0.5,2774,17,2
Total (All-India),Total (All-India),9866.4,15468,1.6,100,15962,1.6,100,6699,0.7,100,43823,4.4,100,32311,3.3,100,8858,0.9,100,1,0,100,0,0,0,9363,0.9,100,222,0,100,3064,0.3,100,135771,13.8,100
33,Ahmedabad,41.2,14,0.3,1.4,118,2.9,6.1,6,0.1,1.1,524,12.7,12.6,30,0.7,1.5,29,0.7,1.6,0,0,0,0,0,0,7,0.2,0.1,0,0,0,0,0,0,728,17.7,4.3
34,Bangalore,55.1,29,0.5,2.9,65,1.2,3.4,49,0.9,9,198,3.6,4.8,219,4,10.6,52,0.9,2.8,0,0,0,0,0,0,292,5.3,6.2,0,0,0,266,4.8,64.1,1170,21.2,7
35,Bhopal,16.1,42,2.6,4.2,33,2,1.7,10,0.6,1.8,65,4,1.6,92,5.7,4.5,16,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,16,1.5
36,Calcutta,128.2,24,0.2,2.4,93,0.7,4.8,5,0,0.9,159,1.2,3.8,199,1.6,9.7,28,0.2,1.5,1,0,100,0,0,0,38,0.3,0.8,0,0,0,0,0,0,547,4.3,3.3
37,Chennai,65.9,27,0.4,2.7,12,0.2,0.6,22,0.3,4,55,0.8,1.3,40,0.6,1.9,0,0,0,0,0,0,0,0,0,3349,50.8,71.5,0,0,0,55,0.8,13.3,3560,54,21.2
38,Coimbatore,12.8,4,0.3,0.4,14,1.1,0.7,11,0.9,2,18,1.4,0.4,25,2,1.2,100,7.8,5.4,0,0,0,0,0,0,223,17.4,4.8,0,0,0,0,0,0,395,30.9,2.4
39,Delhi,116,332,2.9,32.9,837,7.2,43.2,95,0.8,17.4,58,0.5,1.4,480,4.1,23.3,126,1.1,6.8,0,0,0,0,0,0,76,0.7,1.6,10,0.1,6.5,8,0.1,1.9,2022,17.4,12
40,Hyderabad,67.8,48,0.7,4.8,43,0.6,2.2,19,0.3,3.5,808,11.9,19.4,86,1.3,4.2,10,0.1,0.5,0,0,0,0,0,0,9,0.1,0.2,0,0,0,2,0,0.5,1025,15.1,6.1
41,Indore,14.1,29,2.1,2.9,29,2.1,1.5,23,1.6,4.2,128,9.1,3.1,71,5,3.4,9,0.6,0.5,0,0,0,0,0,0,5,0.4,0.1,0,0,0,2,0.1,0.5,296,21,1.8
42,Jaipur,21.2,38,1.8,3.8,154,7.3,7.9,26,1.2,4.8,337,15.9,8.1,115,5.4,5.6,2,0.1,0.1,0,0,0,0,0,0,24,1.1,0.5,0,0,0,0,0,0,696,32.8,4.1
43,Kanpur,24.3,34,1.4,3.4,147,6,7.6,75,3.1,13.7,287,11.8,6.9,58,2.4,2.8,238,9.8,12.9,0,0,0,0,0,0,1,0,0,0,0,0,21,0.9,5.1,861,35.4,5.1
44,Kochi,17.4,9,0.5,0.9,4,0.2,0.2,0,0,0,57,3.3,1.4,44,2.5,2.1,4,0.2,0.2,0,0,0,0,0,0,5,0.3,0.1,0,0,0,0,0,0,123,7.1,0.7
45,Lucknow,25.4,28,1.1,2.8,94,3.7,4.8,34,1.3,6.2,211,8.3,5.1,44,1.7,2.1,227,8.9,12.3,0,0,0,0,0,0,6,0.2,0.1,0,0,0,0,0,0,644,25.4,3.8
46,Ludhiana,16.4,38,2.3,3.8,35,2.1,1.8,14,0.9,2.6,146,8.9,3.5,5,0.3,0.2,0,0,0,0,0,0,0,0,0,4,0.2,0.1,0,0,0,0,0,0,242,14.8,1.4
47,Madurai,12.6,6,0.5,0.6,15,1.2,0.8,5,0.4,0.9,34,2.7,0.8,10,0.8,0.5,100,7.9,5.4,0,0,0,0,0,0,208,16.5,4.4,0,0,0,0,0,0,378,30,2.2
48,Mumbai,179.3,141,0.8,14,30,0.2,1.5,60,0.3,11,237,1.3,5.7,243,1.4,11.8,36,0.2,2,0,0,0,0,0,0,362,2,7.7,144,0.8,93.5,0,0,0,1253,7,7.5
49,Nagpur,20.4,42,2.1,4.2,56,2.7,2.9,4,0.2,0.7,189,9.3,4.5,112,5.5,5.4,52,2.5,2.8,0,0,0,0,0,0,3,0.1,0.1,0,0,0,0,0,0,458,22.5,2.7
50,Patna,12.8,18,1.4,1.8,11,0.9,0.6,39,3,7.1,66,5.2,1.6,22,1.7,1.1,1,0.1,0.1,0,0,0,0,0,0,2,0.2,0,0,0,0,38,3,9.2,197,15.4,1.2
51,Pune,34.6,51,1.5,5.1,37,1.1,1.9,0,0,0,89,2.6,2.1,76,2.2,3.7,104,3,5.6,0,0,0,0,0,0,3,0.1,0.1,0,0,0,0,0,0,360,10.4,2.1
52,Surat,23.2,17,0.7,1.7,39,1.7,2,28,1.2,5.1,121,5.2,2.9,20,0.9,1,4,0.2,0.2,0,0,0,0,0,0,29,1.3,0.6,0,0,0,0,0,0,258,11.1,1.5
53,Vadodra,15.9,10,0.6,1,53,3.3,2.7,0,0,0,162,10.2,3.9,30,1.9,1.5,14,0.9,0.8,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,270,17,1.6
54,Varanasi,12.8,10,0.8,1,11,0.9,0.6,14,1.1,2.6,39,3,0.9,7,0.5,0.3,36,2.8,2,0,0,0,0,0,0,4,0.3,0.1,0,0,0,14,1.1,3.4,135,10.5,0.8
55,Vishakhapatnam,16.9,17,1,1.7,9,0.5,0.5,8,0.5,1.5,168,9.9,4,31,1.8,1.5,657,38.9,35.6,0,0,0,0,0,0,32,1.9,0.7,0,0,0,9,0.5,2.2,931,55.1,5.5
Total Cities,Total Cities,950.4,1008,1.1,100,1939,2,100,547,0.6,100,4156,4.4,100,2059,2.2,100,1845,1.9,100,1,0,100,0,0,0,4683,4.9,100,154,0.2,100,415,0.4,100,16807,17.7,100
