Year ,IPS ,SLL,Total,Ratio(IPC:SLL)
1995,1695696,4297476,5993172, 1:2.53
1996,1709576,4586986,6296562, 1:2.68
1997,1719820,4691439,6411259, 1:2.73
1998,1778815,4403288,6182103, 1:2.88
1999,1764629,3147101,4911730, 1:2.59
