SI.No.,States/UT/City,Murder - Male,Murder - Female,Murder - Total,Attempt to Commit Murder - Male,Attempt to Commit Murder - Female,Attempt to Commit Murder - Total,C. H. Not Amounting to Murder - Male,C. H. Not Amouniting to Murder - Female,C. H. Amouniting to Murder - Total,Rape - Male,Rape - Female,Rape - Total,Kidnapping & Abuduction - Total - Male,Kidnapping & Abuduction - Total - Female,Kidnapping & Abuduction - Total - Total,Kidnapping & Abuduction - of Women & Girls - Male,Kidnapping & Abuduction - of Women & Girls - Female,Kidnapping & Abuduction - of Women & Girls - Total,Kidnapping & Abuduction - of Others - Male,Kidnapping & Abuduction - of Others - Female,Kidnapping & Abuduction - of Others - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Preparation & Assembly For Dacoity - Male,Preparation & Assembly For Dacoity - Female,Preparation & Assembly For Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft  -Total - Male,Theft  -Total - Female,Theft  -Total - Total,Theft  -Auto Theft  -Male,Theft  -Auto Theft  -Female,Theft  -Auto Theft  -Total,Theft  -Other Theft - Male,Theft  -Other Theft - Female,Theft  -Other Theft - total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting -Male,Counterfeiting -Female,Counterfeiting -Total,Arson - Male,Arson - Female,Arson - Total,Hurt - Male,Hurt - Female,Hurt - Total,Dowary Death - Male,Dowary Death - Female,Dowary Death - Total,Molestation - Male,Molestation - Female,Molestation - Total,Sexual Harassment - Male,Sexual Harassment - Female,Sexual Harassment - Total,Cruelty By Husband And Relatives - Male,Cruelty By Husband And Relatives - Female,Cruelty By Husband And Relatives - Total,Importantion of Girls - Male,Importantion of Girls - Female,Importantion of Girls - Total,Other IPC Crimes - Male,Other IPC Crimes - Female,Other IPC Crimes - Total,Total Cognizable Crimes Under IPC - Male,Total Cognizable Crimes Under IPC - Female,Total Cognizable Crimes Under IPC - Total,Percentage of Female to Total
1,Andhra Pradesh,6119,397,6516,3567,116,3683,220,16,236,1259,22,1281,1663,219,1882,723,211,934,940,8,948,978,3,981,37,0,37,1212,9,1221,5843,45,5888,10511,340,10851,1705,0,1705,8806,340,9146,18017,763,18780,542,11,553,3564,85,3649,92,0,92,1009,11,1020,51365,3792,55157,725,309,1034,3653,23,3676,1481,8,1489,5907,2603,8510,0,0,0,51992,6230,58222,169756,15002,184758,8.1
2,Arunachal Pradesh,89,1,90,60,1,61,8,1,9,59,0,59,90,0,90,56,0,56,34,0,34,139,0,139,2,0,2,114,0,114,169,0,169,307,2,309,21,0,21,286,2,288,300,2,302,17,2,19,36,0,36,2,0,2,15,0,15,650,15,665,0,0,0,76,0,76,1,0,1,4,1,5,0,0,0,819,19,838,2957,44,3001,1.5
3,Assam,2292,62,2354,643,2,645,61,0,61,819,2,821,1747,32,1779,1312,29,1341,435,3,438,2247,0,2247,89,0,89,1323,0,1323,3602,3,3605,7661,66,7727,650,0,650,7011,66,7077,11867,169,12036,475,3,478,618,6,624,91,0,91,624,8,632,5683,208,5891,82,7,89,1017,8,1025,20,0,20,1152,102,1254,0,0,0,10325,99,10424,52438,777,53215,1.5
4,Bihar,9612,187,9799,8989,149,9138,890,26,916,2012,16,2028,4033,173,4206,1191,123,1314,2842,50,2892,5082,15,5097,773,0,773,3774,15,3789,3663,21,3684,12530,164,12694,1318,0,1318,11212,164,11376,46176,876,47052,1907,30,1937,2378,35,2413,87,0,87,1157,8,1165,11683,271,11954,1803,354,2157,904,5,909,44,0,44,2847,538,3385,0,0,0,81943,2591,84534,202287,5474,207761,2.6
5,Goa,84,6,90,114,4,118,6,1,7,20,0,20,16,3,19,8,1,9,8,2,10,29,1,30,0,0,0,62,0,62,184,13,197,354,22,376,62,0,62,292,22,314,440,232,672,10,0,10,126,7,133,1,0,1,36,2,38,336,40,376,4,2,6,28,0,28,5,0,5,24,13,37,0,0,0,909,67,976,2788,413,3201,12.9
6,Gujarat,2670,247,2917,2455,121,2576,26,1,27,492,33,525,1460,151,1611,1063,135,1198,397,16,413,1340,16,1356,60,0,60,1527,27,1554,3791,107,3898,8577,417,8994,1693,0,1693,6884,417,7301,12880,862,13742,2271,212,2483,2607,94,2701,116,1,117,910,44,954,30011,2696,32707,192,71,263,1424,30,1454,233,5,238,7764,3294,11058,0,0,0,81545,5481,87026,162351,13910,176261,7.9
7,Haryana,1742,89,1831,1355,40,1395,212,5,217,497,19,516,697,23,720,363,22,385,334,1,335,296,1,297,515,0,515,766,2,768,2929,10,2939,4747,49,4796,1625,0,1625,3122,49,3171,5286,216,5502,427,6,433,1266,43,1309,83,2,85,436,4,440,15119,720,15839,611,212,823,627,12,639,397,0,397,2427,870,3297,0,0,0,19486,239,19725,59921,2562,62483,4.1
8,Himachal Pradesh,216,22,238,127,8,135,8,1,9,139,10,149,99,6,105,58,6,64,41,0,41,16,0,16,0,0,0,27,3,30,387,23,410,440,10,450,72,0,72,368,10,378,2504,501,3005,65,3,68,129,2,131,9,0,9,150,26,176,2468,309,2777,8,5,13,385,21,406,27,2,29,324,118,442,0,0,0,6737,808,7545,14265,1878,16143,11.6
9,Jammu & Kashmir,404,19,423,893,38,931,38,0,38,228,0,228,650,9,659,602,9,611,48,0,48,36,0,36,0,0,0,115,0,115,603,0,603,1693,9,1702,191,0,191,1502,9,1511,3997,392,4389,113,2,115,307,9,316,6,0,6,133,0,133,642,73,715,4,2,6,870,32,902,400,0,400,59,26,85,0,0,0,13493,1289,14782,24684,1900,26584,7.1
10,Karnataka,3021,231,3252,4325,240,4565,68,6,74,391,14,405,686,43,729,340,22,362,346,21,367,860,8,868,0,0,0,941,13,954,2885,57,2942,5448,173,5621,843,11,854,4605,162,4767,34904,3202,38106,400,9,409,1230,73,1303,121,0,121,319,14,333,39100,4040,43140,385,165,550,1949,102,2051,117,1,118,1952,637,2589,0,0,0,43900,2339,46239,143002,11367,154369,7.4
