SI.No,States / UT,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft Total,Theft Auto Theft,Theft Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelity by Husband and Relatives,Importation of Girls,Others IPC Crimes,Total Cog. Under IPC
1,Andhra Pradesh,Adilabad,138,61,22,49,24,23,1,15,0,34,188,217,24,193,116,19,72,0,36,935,19,139,18,162,0,1573,3837
2,Andhra Pradesh,Anantpur,159,18,3,18,44,32,12,18,0,19,172,376,44,332,206,11,63,2,11,1409,9,123,14,67,0,1361,4103
3,Andhra Pradesh,Chittoor,99,46,2,31,64,30,34,6,0,18,171,695,128,567,131,45,174,4,57,902,23,139,48,202,0,2468,5325
4,Andhra Pradesh,Cuddapah,107,46,0,12,42,38,4,12,0,13,121,270,36,234,118,7,36,1,38,813,14,103,5,47,0,1500,3305
5,Andhra Pradesh,East Godavari,83,87,1,35,73,4,69,1,0,14,372,1050,178,872,69,82,217,4,33,2216,17,188,133,359,0,1693,6727
6,Andhra Pradesh,GuntakalRly.,0,0,0,0,0,0,0,2,0,1,0,173,0,173,1,0,1,0,0,4,0,1,0,0,0,118,301
7,Andhra Pradesh,Guntur,176,178,1,58,125,41,84,18,1,61,387,989,128,861,178,47,242,0,288,2052,15,232,212,297,0,2101,7658
8,Andhra Pradesh,Hyderabad City,115,97,1,48,96,43,53,3,0,79,1225,2995,1111,1884,148,141,1724,14,0,2995,19,86,10,808,0,991,11595
9,Andhra Pradesh,Karimnagar,163,106,4,76,59,53,6,24,0,64,248,217,64,153,280,19,190,0,5,1254,58,252,53,209,0,2633,5914
10,Andhra Pradesh,Khammam,89,42,3,39,28,18,10,6,0,7,170,198,60,138,110,13,71,0,53,729,10,123,0,118,0,1575,3384
11,Andhra Pradesh,Krishna,108,92,1,59,86,46,40,3,0,37,412,1346,257,1089,85,51,346,2,68,2895,27,254,128,425,0,2317,8742
12,Andhra Pradesh,Kurnool,156,79,8,20,31,18,13,7,0,11,145,302,46,256,96,12,58,3,42,1378,5,166,52,81,0,946,3598
13,Andhra Pradesh,Mahabob Nagar,173,17,23,58,39,25,14,22,0,30,200,394,42,352,98,10,72,1,1,886,23,119,0,162,0,2483,4811
14,Andhra Pradesh,Medak,119,55,11,31,25,15,10,16,0,55,252,363,60,303,128,30,76,0,50,1434,19,81,19,126,0,925,3815
