SI.No.,States/UT/City,Arms Act - I,Arms Act - R,Narcotic Drugs and Psychotropic Substances Act - I,Narcotic Drugs and Psychotropic Substances Act - R,Gambling Act - I,Gambling Act - R,Excise Act - I,Excise Act - R,Prohibition Act - I,Prohibition Act - R,Explosives and Explosive Substances Act - I,Explosives and Explosive Substances Act - R,Immoral Traffic (Prevention) Act - I,Immoral Traffic (Prevention) Act - R,Indian Railways Act - I,Indian Railways Act - R,Registration of Foreigners Act - I,Registration of Foreigners Act - R,Protection of Civil Rights Act - I,Protection of Civil Rights Act - R,Indian Passport Act - I,Indian Passport Act - R,Essential Commodities Act - I,Essential Commodities Act - R,Terrorist & Disruptive Activites Act - I,Terrorist & Disruptive Activites Act - R,Antiquity & Art Treasure Act - I,Antiquity & Art Treasure Act - R,Dowry Prohibition Act - I,Dowry Prohibition Act - R,Child Marriage Restraint Act - I,Child Marriage Restraint Act - R,Indecent Representation of Women (P)Act - I,Indecent Representation of Women (P)Act - R,Copy Right Act - I,Copy Right Act - R,Sati Prevention Act - I,Sati Prevention Act - R,SC/ST (Prev. Of Atrocities ) Act - I,SC/ST (Prev. Of Atrocities ) Act - R,Forest Act - I,Forest Act - R,Other SLL Crimes - I,Other SLL Crimes - R,Total Cognizable Crimes Under SLL - I,Total Cognizable Crimes Under SLL - R
1,Andhra Pradesh,575,0.8,735,1,29203,38.9,3360,4.5,1761,2.3,698,0.9,737,1,751,1,0,0,273,0.4,40,0.1,35,0,0,0,2,0,282,0.4,1,0,15,0,65,0.1,0,0,802,1.1,76,0.1,300108,400.1,339519,452.6
2,Arunachal Pradesh,11,0.9,8,0.7,0,0,0,0,0,0,5,0.4,1,0.1,0,0,4,0.3,0,0,2,0.2,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,9,0.8,43,3.7
3,Assam,535,2.1,111,0.4,121,0.5,76,0.3,60,0.2,69,0.3,5,0,10,0,7,0,0,0,54,0.2,38,0.1,0,0,0,0,23,0.1,0,0,0,0,0,0,0,0,0,0,12,0,1541,5.9,2662,10.2
4,Bihar,3310,3.4,261,0.3,328,0.3,1852,1.9,0,0,428,0.4,38,0,41,0,8,0,5,0,2,0,520,0.5,0,0,4,0,1211,1.2,3,0,25,0,5,0,0,0,876,0.9,132,0.1,1131,1.1,10180,10.3
5,Goa,4,0.3,20,1.3,673,43.1,0,0,0,0,3,0.2,28,1.8,4,0.3,17,1.1,0,0,0,0,6,0.4,0,0,0,0,0,0,0,0,0,0,2,0.1,0,0,0,0,0,0,361,23.1,1118,71.7
6,Gujarat,368,0.8,172,0.4,7278,15.2,0,0,104764,219.2,53,0.1,40,0.1,2305,4.8,6,0,37,0.1,6,0,129,0.3,0,0,0,0,13,0,31,0.1,1,0,147,0.3,0,0,629,1.3,13,0,37069,77.6,153061,320.3
7,Haryana,1065,5.4,786,4,3147,16,9275,47.2,0,0,25,0.1,14,0.1,1073,5.5,2,0,1,0,9,0,148,0.8,0,0,0,0,2,0,2,0,0,0,47,0.2,0,0,21,0.1,0,0,4146,21.1,19763,100.6
8,Himachal Pradesh,25,0.4,102,1.5,121,1.8,2944,44.6,0,0,4,0.1,0,0,2,0,9,0.1,7,0.1,0,0,13,0.2,0,0,0,0,3,0,7,0.1,0,0,5,0.1,0,0,20,0.3,311,4.7,108,1.6,3681,55.8
9,jammu & Kashmir,1438,14.7,91,0.9,61,0.6,193,2,0,0,322,3.3,4,0,0,0,10,0.1,1,0,33,0.3,706,7.2,0,0,0,0,2,0,0,0,0,0,6,0.1,0,0,0,0,29,0.3,674,6.9,3570,36.5
10,Karnataka,82,0.2,224,0.4,4787,9.3,3265,6.3,8,0,106,0.2,1225,2.4,12,0,61,0.1,85,0.2,41,0.1,230,0.4,0,0,2,0,361,0.7,0,0,1,0,60,0.1,0,0,1203,2.3,387,0.7,7724,15,19864,38.5
11,Kerala,197,0.6,437,1.4,1707,5.3,233,0.7,5592,17.4,267,0.8,62,0.2,13,0,12,0,1,0,41,0.1,78,0.2,0,0,0,0,9,0,2,0,9,0,61,0.2,0,0,277,0.9,56,0.2,8771,27.3,17825,55.6
12,Madhya Pradesh,9701,12.3,1102,1.4,21936,27.8,26591,33.7,0,0,480,0.6,33,0,13570,17.2,3,0,43,0.1,2,0,293,0.4,0,0,0,0,197,0.2,0,0,0,0,186,0.2,0,0,1077,1.4,69,0.1,161668,205.1,236951,300.7
13,Maharashtra,1368,1.5,685,0.8,15670,17.3,0,0,116890,129.2,74,0.1,390,0.4,6197,6.9,74,0.1,204,0.2,18,0,965,1.1,0,0,2,0,14,0,2,0,147,0.2,586,0.6,0,0,215,0.2,25,0,241404,266.9,384930,425.6
14,Manipur,20,0.8,66,2.7,4,0.2,0,0,0,0,10,0.4,0,0,0,0,0,0,0,0,0,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,20.6,612,24.8
15,Meghalaya,54,2.3,12,0.5,14,0.6,8,0.3,0,0,10,0.4,0,0,0,0,6,0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0.1,0,0,0,0,0,0,10,0.4,118,5
16,Mizoram,16,1.7,34,3.7,10,1.1,0,0,0,0,2,0.2,0,0,0,0,80,8.6,0,0,42,4.5,6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771,82.9,961,103.3
17,Nagaland,16,1,98,5.9,0,0,8,0.5,27,1.6,7,0.4,0,0,11,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,11.2,351,21.3
18,Orissa,258,0.7,118,0.3,559,1.6,220,0.6,1,0,58,0.2,22,0.1,8,0,0,0,0,0,0,0,83,0.2,0,0,0,0,349,1,0,0,0,0,5,0,0,0,617,1.7,3,0,153,0.4,2454,6.9
19,Punjab,1044,4.5,1741,7.4,2217,9.5,16676,71.4,0,0,42,0.2,14,0.1,139,0.6,14,0.1,5,0,91,0.4,110,0.5,0,0,0,0,7,0,2,0,0,0,35,0.1,0,0,18,0.1,1,0,657,2.8,22813,97.6
20,Rajasthan,1437,2.7,645,1.2,5601,10.6,6150,11.6,0,0,282,0.5,85,0.2,1351,2.6,15,0,3,0,17,0,212,0.4,0,0,0,0,3,0,6,0,8,0,122,0.2,0,0,4572,8.6,1092,2.1,3627,6.9,25228,47.7
21,Sikkim,7,1.3,1,0.2,0,0,0,0,0,0,2,0.4,0,0,0,0,3,0.5,0,0,0,0,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.8,26,4.7
22,Tamil Nadu,183,0.3,2409,3.9,16483,26.8,3,0,318161,517.9,386,0.6,6462,10.5,43,0.1,3,0,302,0.5,19,0,33,0.1,0,0,0,0,226,0.4,0,0,0,0,175,0.3,0,0,673,1.1,32,0.1,275143,447.9,620736,1010.5
23,Tripura,36,1,2,0.1,6,0.2,0,0,0,0,5,0.1,0,0,0,0,0,0,0,0,0,0,21,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1.9
24,Uttar Pradesh,34702,20.7,9238,5.5,4844,2.9,25475,15.2,1,0,860,0.5,24,0,5884,3.5,1,0,13,0,4,0,1222,0.7,0,0,1,0,347,0.2,1,0,6,0,213,0.1,0,0,3579,2.1,2869,1.7,319138,190.3,408422,243.6
25,West Bengal,1511,1.9,330,0.4,790,1,1675,2.1,7,0,164,0.2,39,0,4641,5.9,1229,1.6,0,0,12,0,730,0.9,0,0,4,0,1,0,0,0,0,0,112,0.1,0,0,0,0,25,0,843715,1077.3,854985,1091.7
Total States,Total States,57963,6,19428,2,115560,11.9,98004,10.1,547272,56.4,4362,0.4,9223,1,36055,3.7,1564,0.2,980,0.1,433,0,5586,0.6,0,0,15,0,3050,0.3,57,0,212,0,1835,0.2,0,0,14579,1.5,5133,0.5,2208632,227.6,3129943,322.6
26,A & N Islands,0,0,5,1.3,16,4.2,2301,605.5,112,29.5,2,0.5,5,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,0,0,0,0,0,0,0,0,0,0,364,95.8,2806,738.4
