Sl.No.,Year,Total Value of Property Stolen,Total Value of Property Recovered,Percentage Recovery
1,1989,33487,11287,33.7
2,1990,41817,11855,28.3
3,1991,59537,17012,28.6
4,1992,67210,17759,26.4
5,1993,136775,21334,15.6
6,1994,86505,20963,24.2
7,1995,106306,25717,24.2
8,1996,99670,28142,28.2
9,1997,131216,33514,25.5
10,1998,147770,35748,24.2
11,1999,158080,50319,31.8
12,Percentage Charge in 1999 over 1989,372.1,345.8,-5.6
