SI.No.,States/UT,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft Total,Theft Auto Theft,Theft Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelity by Husband and Relatives,Importation of Girls,Others IPC Crimes,Total Cog. Under IPC
1,Andhra Pradesh,22,15.9,10.5,14.6,12.5,12.9,11.6,19.3,0,25.9,45,46.3,55.4,45.3,12.2,21.5,15.1,6.3,23.1,27,18.3,14.8,63,18.4,NA,46.1,35.9
2,Arunachal Pradesh,50,33.3,NA,80,75,75,NA,33.3,NA,23.7,27.9,62.7,100,60.8,100,100,60,0,NA,60.4,NA,64.3,NA,100,NA,37.5,45.6
3,Assam,26.4,34.7,39.1,26.6,19.8,20,19,28.8,36.4,32.8,35.3,32.5,28.6,32.5,26.2,27.1,23.9,15.6,52.6,28.5,0,16.5,33.3,23.1,NA,28.1,28.9
4,Bihar,30.3,25.4,23,27,22.4,19.9,24.7,23.2,23.9,27.3,21.2,17.1,28.9,17,13.7,22.6,22.1,42.9,30.4,21.1,28.3,16.9,31.6,16.2,NA,17,19.1
5,Goa,52.8,14.3,0,28.6,0,0,0,33.3,NA,19,28.4,24.6,22.2,25,6.4,29.7,17.9,0,22.2,12.3,NA,0,0,25,NA,23.2,21.3
6,Gujarat,17.7,7.1,0,14.2,5.2,5.6,2.7,3.6,0,9.4,15.2,16.6,19.1,16.3,12.3,7.8,8.7,0,4.6,9.4,23.1,5.6,16.3,4.6,NA,44.7,33
7,Haryana,32.2,21.3,20,19.3,16.8,17.3,15.8,21.3,12.2,18.1,30.4,28.4,27.2,28.8,22.6,10.9,14.9,NA,6.1,13.9,19.9,14.9,79.2,5.2,NA,41.6,30
8,Himachal Pradesh,40.9,31,NA,17.6,11.1,8.3,22.2,0,NA,0,18.1,13.8,17.9,13.1,10.4,29,27.3,NA,14.3,10.3,25,18.1,40,7.1,NA,37.8,28
9,jammu & Kashmir,10.7,4.8,12.5,7.5,0,0,0,0,NA,8.3,13,5,13.3,4.8,3.8,3.2,11.3,0,0,10.9,33.3,8.9,44.3,0,NA,61.8,41.4
10,Karnataka,14.8,7,0,12.1,8.2,8.9,7.4,3.6,0,15.3,11.4,13.2,10.3,13.6,1.8,9,10.3,3.8,2.4,3,18,7,53.5,3.5,NA,43.7,27.9
11,Kerala,44.8,22.7,14.3,22.4,5.5,6.7,3.6,36.7,0,22.7,30.6,31.7,28.1,32.3,10.9,16.2,36.3,61.4,7,8.4,100,8.8,6.3,11.7,NA,45.7,38.2
12,Madhya Pradesh,42.6,33.5,24.3,24.9,19.8,19.9,19,22.6,21.9,31,30.4,35.6,33.8,35.8,32.4,43.9,31.3,17.4,24,44.3,31.7,39.9,29.7,37,NA,55.4,47.2
13,Maharashtra,27.9,22.5,10.5,19.9,10.1,9.6,11.8,17.9,15.9,13.5,18.6,23.7,23.3,23.8,12.2,15.9,18.9,0,6.9,9.7,8.1,12.7,11.9,5.4,NA,17.1,15.7
14,Manipur,25,NA,100,NA,NA,NA,NA,NA,NA,NA,0,50,NA,50,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.3
15,Meghalaya,32,16.7,0,7.4,25,23.1,33.3,10.7,NA,22.2,63,63.6,NA,63.6,60,40,21.9,100,0,68.2,NA,66.7,NA,NA,NA,39.9,43.1
16,Mizoram,60,75,NA,63.6,100,100,100,NA,NA,100,96.2,95.1,100,95,NA,100,77.8,NA,62.5,89.3,NA,93.3,NA,NA,NA,96.9,93.6
17,Nagaland,92.9,100,100,75,85.7,75,100,90,NA,92.3,88.9,89.9,100,88.4,100,90,100,100,NA,100,NA,100,NA,NA,NA,89,90.3
18,Orissa,29.7,16.5,25,22.7,11.9,12.1,9.7,17.8,22.2,16.5,12,13.7,30.4,13.6,8.5,13.5,12.4,0,13.6,10.9,19.7,15.1,3.7,12.8,NA,16.5,15
19,Punjab,34.6,31.6,29.3,26.5,23.5,18,40,54.5,44.4,21.6,47.3,41.2,30.5,45.8,66.7,33.1,31.3,0,8.7,27.3,40.1,42.6,40,27.2,NA,50.2,40.4
20,Rajasthan,43.8,45.5,32.2,33.1,33.4,33.9,31.1,32.8,50,38.4,47.4,50,54.5,49.5,46.7,37.9,34.9,50,36.5,54.8,44.2,46.7,64.7,33.7,NA,55.9,51.2
21,Sikkim,33.3,50,100,0,33.4,NA,33.3,NA,NA,NA,70.6,71.9,NR,NR,36.4,66.7,50,NA,100,70.6,NA,33.3,NA,NA,NR,64.8,62.1
22,Tamil Nadu,46.1,36.9,29.4,35.5,28.3,28.8,24.5,50.9,NA,59.3,69.4,71.5,75.3,69.6,31.6,49.3,51.9,40.9,39.1,55.6,28.4,48.7,93.9,28.3,NA,72.2,65.4
23,Tripura,32,33.3,NA,75,9.6,12.5,8.6,21.9,NA,16.7,25.9,8.7,NA,8.7,4.2,5.1,3.4,100,11.1,34.1,100,38.5,NA,85,NA,30.8,23.2
24,Uttar Pradesh,48.6,50.6,48.2,48.1,47.9,49.3,44.9,37.9,32.4,46.7,50.2,50.3,59.9,48.6,50.5,50.4,50.1,55,49.8,48.1,49.4,58,58.5,50.6,NA,51.4,50.4
25,West Bengal,14,12,15.1,12.2,8.2,8.2,8.2,13.9,22.5,18.6,8.8,33.6,44.1,33.2,3.8,42.9,25.4,18.2,8.3,26.6,16.9,27.6,5,5.7,NA,10.8,16.3
Total States,Total States,35.9,33.7,32.4,26.4,26.1,25.9,26.6,24.4,24.2,31.3,36,40.2,54.2,37.8,26.4,30.6,29.6,28.4,25.3,30,32,30.8,61,18.9,0,47.7,39.9
26,A & N Islands,30.8,50,NA,0,20,20,NA,NA,NA,50,25,35.7,NA,35.7,4.5,11.1,0,NA,0,19.1,NA,28.6,NA,20,NA,33.5,28.8
27,Chandigarh,60,36.4,50,14.3,36.4,28.6,50,NA,NA,NA,96.7,88.7,84.8,90.4,13.3,40,50,NA,100,18.6,100,46.7,77.8,0,NA,53.2,57.6
28,D & N Haveli,18.2,33.3,0,0,0,0,0,0,NA,0,35.7,30.8,NA,30.8,14.7,100,0,NA,NA,33.3,NA,33.3,NA,25,NA,42.7,30.2
29,Daman & DIU,66.7,0,NA,NA,0,NA,0,0,NA,100,87.5,18.2,NA,18.2,0,50,50,NA,NA,0,NA,NA,NA,NA,NA,22.5,25.9
30,Delhi,40,33.8,36.5,48.7,46,49.6,40.7,24.8,36.5,39.1,41,22.9,30.2,20.3,22.8,30.7,37.3,63.2,66.7,40,54.8,45.7,20.1,27.1,NA,31,32.4
31,Lakshadeep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,50,14.3
32,Pondicherry,85.7,31.6,0,100,100,100,100,NA,NA,33.3,76.5,96.3,95.2,96.6,73.9,0,60.9,100,25,78.6,100,53.3,100,50,NA,88.4,86
Total (UTs),Total (UTs),40.3,33.8,36.5,47.9,45.8,49.3,40.7,24.3,36.5,39,42.7,26,32.7,23.6,33.4,30.7,38.3,63.6,58.3,42.6,55.3,45.7,25.5,26.4,0,34.8,35.3
Total (All-India),Total (All-India),36,33.7,32.9,27.4,29.5,29.3,29.8,24.4,25.9,32.4,36.3,38.9,50.9,36.7,26.4,30.6,30.1,34.9,25.5,30.5,33.6,32.1,59.4,19,0,46.8,39.6
