SI.No.,States/UT/City,Total no. of persons under Trial Including those Erom Previous Year,Number of persons whose cases compounded or with Drawn,Number of persons whose Trial Completed,Number of persons whose Trial Remained Pending,No. of persons Persons Convicted,Pendency Percentage,Percentage Of Pendency To All India Total
1,Andhra Pradesh,477742,32986,324792,119964,295856,25.1,2.7
2,Arunachal Pradesh,499,0,6,493,6,98.8,0
3,Assam,16369,178,2412,13779,566,84.2,0.3
4,Bihar,72395,400,10621,61374,3493,84.8,1.4
5,Goa,7985,95,1381,6509,1105,81.5,0.1
6,Gujarat,1230182,3177,96315,1130690,26818,91.9,25.5
7,Haryana,209357,6295,37263,165799,15949,79.2,3.7
8,Himachal Pradesh,31037,230,4539,26268,327,84.6,0.6
9,Jammu & Kashmir,20516,141,1751,18624,433,90.8,0.4
10,Karnataka,331442,940,223973,106529,199267,32.1,2.4
11,Kerala,75059,626,19323,55110,13067,73.4,1.2
12,Madhya Pradesh,562276,4458,280777,277041,266837,49.3,6.3
13,Maharashtra,1579773,22370,345132,1212271,239846,76.7,27.4
14,Manipur,1315,0,51,1264,38,96.1,0
15,Meghalaya,1139,5,118,1016,76,89.2,0
16,Mizoram,3052,0,1427,1625,1417,53.2,0
17,Nagaland,2377,0,310,2067,261,87,0
18,Orissa,29812,0,9210,20602,3210,69.1,0.5
19,Punjab,59058,100,20658,38300,12615,64.9,0.9
20,Rajasthan,123929,962,30277,92690,22453,74.8,2.1
21,Sikkim,403,4,6,393,5,97.5,0
22,Tamil Nadu,686150,53990,505032,127128,441056,18.5,2.9
23,Tripura,161,0,31,130,9,80.7,0
24,Uttar Pradesh,1245836,1707,391539,852590,306923,68.4,19.2
25,West Bengal,1093381,537531,516974,38876,512074,3.6,0.9
Total States,Total States,7861245,666195,2823918,4371132,2363707,55.6,98.6
26,A & N Islands,4780,0,1756,3024,1723,63.3,0.1
27,Chandigarh,1037,0,386,651,367,62.8,0
28,D & N Haveli,69,0,16,53,15,76.8,0
29,Daman & DIU,47,0,6,41,4,87.2,0
30,Delhi,71442,0,15393,56049,5964,78.5,1.3
31,Lakshadweep,11,5,5,1,1,9.1,0
32,Pondicherry,2784,0,2639,145,2598,5.2,0
Total (UTs),Total (UTs),80170,5,20201,59964,10672,74.8,1.4
Total (All-India),Total (All-India),7941415,666200,2844119,4431096,2374379,55.8,100
