Sl. No.,Year,Incidence of - Juvenile Crimes,Incidence of - Total Cog. Crimes,Percentage of Juvenile Crimes to Total Crimes,Estmated Mid-Year Population * (in Lakh),Rate (Incidence of Crime per Lakh of Population )
1,1989,18457,1529844,1.2,8118,2.3
2,1990,15230,1604449,0.9,8270,1.8
3,1991,12588,1678375,0.8,8496,1.5
4,1992,11100,1689341,0.7,8677,1.3
5,1993,9465,1629936,0.6,8838,1.1
6,1994,8561,1635251,0.5,8999,1
7,1995,9766,1695696,0.6,9160,1.1
8,1996,10024,1709576,0.6,9319,1.1
9,1997,7909,1719820,0.5,9552,0.8
10,1998,9352,1778815,0.5,9709,1
11,1999,8888,1764629,0.5,9866,0.9
