SI.No.,States/UT/City,Incidence,Percentage Countribution to all India Total,Estmated Mid Year Population (in Lakh),Rate of Total Cog. Crimes,Rank *,Rank**
1,Andhra Pradesh,178,4,750.1,0.2,9,5
2,Arunachal Pradesh,1,0,11.7,0.1,14,20
3,Assam,2,0,259.8,0,20,16
4,Bihar,67,1.5,987.3,0.1,15,9
5,Goa,0,0,15.6,0,NA,NA
6,Gujarat,367,8.2,477.9,0.8,5,3
7,Haryana,0,0,196.4,0,NA,NA
8,Himachal Pradesh,19,0.4,66,0.3,7,12
9,Jammu & Kashmir,3,0.1,97.9,0,17,15
10,Karnataka,60,1.3,516.5,0.1,12,10
11,Kerala,81,1.8,320.8,0.3,8,8
12,Madhya Pradesh,1756,39.5,788.1,2.2,3,1
13,Maharashtra,171,3.8,904.5,0.2,10,6
14,Manipur,0,0,24.7,0,NA,NA
15,Meghalaya,1,0,23.8,0,16,19
16,Mizoram,1,0,9.3,0.1,13,18
17,Nagaland,0,0,16.5,0,NA,NA
18,Orissa,335,7.5,356.4,0.9,4,4
19,Punjab,5,0.1,233.7,0,19,14
20,Rajasthan,1221,27.4,529.4,2.3,2,2
21,Sikkim,18,0.4,5.5,3.3,1,13
22,Tamil Nadu,105,2.4,614.3,0.2,11,7
23,Tripura,0,0,37,0,NA,NA
24,Uttar Pradesh,58,1.3,1676.6,0,18,11
25,West Bengal,0,0,783.2,0,NA,NA
Total States,Total States,4449,100,9703,0.5,NA,NA
26,A & N Islands,0,0,3.8,0,NA,NA
27,Chandigarh,0,0,8.7,0,NA,NA
28,D & N Haveli,0,0,1.9,0,NA,NA
29,Daman & DIU,1,0,1.4,0.7,6,17
30,Delhi,0,0,136,0,NA,NA
31,Lakshadweep,0,0,0.7,0,NA,NA
32,Pondicherry,0,0,10.9,0,NA,NA
Total (UTs),Total (UTs),1,0,163.4,0,NA,NA
Total (All-India),Total (All-India),4450,100,9866.4,0.5,NA,NA
