SI.No.,States/UT/City,Estimated mid Year Population,Murder - Incidence,Murder - Rate,Murder - Percentage,Hurt - Incidence,Hurt - Rate,Hurt - Percentage,Rape - Incidence,Rape - Rate,Rape - Percentage,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - Percentage,Dacoity - Incidence,Dacoity - Rate,Dacoity - Percentage,Robbery - Incidence,Robbery - Rate,Robbery - Percentage,Arson - Incidence,Arson - Rate,Arson - Percentage,Prot. Of Civl Rights Act - Incidence,Prot. Of Civl Rights Act - Rate,Prot. Of Civl Rights Act - Percentage,Sc/ST(Prev. of Atroc.) Act - Incidence,Sc/ST(Prev. of Atroc.) Act - Rate,Sc/ST(Prev. of Atroc.) Act - Percentage,Other Offences - Incidence,Other Offences - Rate,Other Offences - Percentage,Total - Incidence,Total - Rate,Total - Percentage
1,Andhra Pradesh,750.1,4,0,5,48,0.1,7.4,22,0,5.7,7,0,11.9,0,0,0,0,0,0,1,0,2.3,7,0,15.6,39,0.1,6.8,50,0.1,1.9,178,0.2,4
2,Arunachal Pradesh,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,1,0.1,0
3,Assam,259.8,0,0,0,0,0,0,0,0,0,1,0,1.7,0,0,0,0,0,0,1,0,2.3,0,0,0,0,0,0,0,0,0,2,0,0
4,Bihar,987.3,1,0,1.3,15,0,2.3,6,0,1.6,1,0,1.7,1,0,33.3,0,0,0,0,0,0,0,0,0,14,0,2.4,29,0,1.1,67,0.1,1.5
5,Goa,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Gujarat,477.9,11,0,13.8,55,0.1,8.5,23,0,6,6,0,10.2,1,0,33.3,1,0,12.5,8,0,18.6,1,0,2.2,45,0.1,7.8,216,0.5,8.3,367,0.8,8.2
7,Haryana,196.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Himachal Pradesh,66,0,0,0,17,0.3,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.1,19,0.3,0.4
9,Jammu & Kashmir,97.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.3,0,0,0,0,0,0,2,0,0.1,3,0,0.1
10,Karnataka,516.5,3,0,3.8,0,0,0,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8.9,49,0.1,8.5,3,0,0.1,60,0.1,1.3
11,Kerala,320.8,0,0,0,23,0.1,3.6,10,0,2.6,0,0,0,0,0,0,1,0,12.5,2,0,4.7,0,0,0,14,0,2.4,31,0.1,1.2,81,0.3,1.8
12,Madhya Pradesh,788.1,38,0,47.5,216,0.3,33.4,233,0.3,60.7,28,0,47.5,0,0,0,3,0,37.5,16,0,37.2,3,0,6.7,105,0.1,18.3,1114,1.4,42.7,1756,2.2,39.5
13,Maharashtra,904.5,4,0,5,13,0,2,34,0,8.9,9,0,15.3,1,0,33.3,1,0,12.5,1,0,2.3,13,0,28.9,18,0,3.1,77,0.1,3,171,0.2,3.8
14,Manipur,24.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Meghalaya,23.8,0,0,0,0,0,0,0,0,0,1,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,Mizoram,9.3,0,0,0,1,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0
