SI.No.,States/UT/City,DG/Addl.DG/IG/DIG - Sanctioned,DG/Addl.DG/IG/DIG - Actual,SSP/SP/Addl.SP./ASP/Dy. SP. /Assit.Comdt. - Sanctioned,SSP/SP/Addl.SP./ASP/Dy. SP. /Assit.Comdt. - Actual,"Inspector ,SI & A.S.I. - Sanctioned","Inspector ,SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,Andhra Pradesh,0,0,0,0,41,36,1219,1181,1260,1217
2,Arunachal Pradesh,0,0,0,0,13,13,52,125,65,138
3,Assam,0,0,0,0,22,22,201,201,223,223
4,Bihar,7,7,15,15,86,86,603,603,711,711
5,Goa,0,0,0,0,4,8,193,165,197,173
6,Gujarat,1,1,3,3,156,135,1297,1238,1457,1377
7,Haryana,0,1,0,5,26,27,199,440,225,473
8,Himachal Pradesh,0,0,0,5,3,24,143,403,146,432
9,Jammu & Kashmir,0,0,0,0,25,19,169,131,194,150
10,Karnataka,0,0,0,0,46,38,1395,1110,1441,1148
11,Kerala,0,0,1,0,48,40,592,422,641,462
12,Madhya Pradesh,0,0,1,1,147,133,1044,926,1192,1060
13,Maharashtra,1,1,6,6,344,344,3994,3994,4345,4345
14,Manipur,0,0,0,0,4,2,249,248,253,250
15,Meghalaya,0,0,0,0,4,30,40,85,44,115
16,Mizoram,0,0,0,0,0,9,0,82,0,91
17,Nagaland,0,0,2,2,43,43,41,41,86,86
18,Orissa,0,0,1,1,97,78,234,230,332,309
19,Punjab,0,0,0,0,22,22,350,350,372,372
20,Rajasthan,0,0,4,4,55,55,663,663,722,722
21,Sikkim,0,0,1,1,20,20,85,85,106,106
22,Tamil Nadu,0,0,26,16,337,199,4154,4007,4517,4222
23,Tripura,0,0,2,1,42,37,175,154,219,192
24,Uttar Pradesh,0,0,28,27,204,173,1855,1768,2087,1968
25,West Bengal,0,0,1,1,236,196,847,797,1084,994
Total States,Total States,9,10,91,88,2025,1789,19794,19449,21919,21336
26,A & N Islands,0,0,0,0,2,5,14,77,16,82
27,Chandigarh,0,0,0,0,2,26,33,133,35,159
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0
29,Daman & DIU,0,0,0,0,0,0,1,3,1,3
30,Delhi,0,0,1,1,478,368,1318,985,1797,1354
31,Lakshadweep,0,0,0,0,1,0,17,17,18,17
32,Pondicherry,0,0,0,0,2,4,12,70,14,74
Total (UTs),Total (UTs),0,0,1,1,485,403,1395,1285,1881,1689
Total (All-India),Total (All-India),9,10,92,89,2510,2192,21189,20734,23800,23025
33,Ahmedabad,0,0,0,0,13,11,159,159,172,170
34,Bangalore,0,0,0,0,21,20,190,148,211,168
35,Bhopal,0,0,0,0,9,15,57,95,66,110
36,Calcutta,0,0,1,1,103,92,232,202,336,295
37,Chennai,0,0,1,1,18,18,206,206,225,225
38,Coimbatore,0,0,0,0,14,14,56,53,70,67
39,Delhi,0,0,1,1,478,368,1318,985,1797,1354
40,Hyderabad,0,0,0,0,0,0,0,0,0,0
41,Indore,0,0,0,0,6,6,53,563,59,569
42,Jaipur,0,0,0,0,16,16,91,91,107,107
43,Kanpur,0,0,1,1,18,10,55,99,74,110
44,Kochi,0,0,0,0,3,3,24,30,27,33
45,Lucknow,0,0,1,1,22,18,143,143,166,162
46,Ludhiana,0,0,0,0,0,2,18,49,18,51
47,Madurai,0,0,0,0,12,7,99,46,111,53
48,Mumbai,0,0,3,3,129,185,878,2948,1010,3136
49,Nagpur,0,0,0,0,9,14,145,210,154,224
50,Patna,0,0,0,0,17,17,124,124,141,141
51,Pune,0,0,0,0,28,28,246,246,274,274
52,Surat,0,0,0,0,22,22,96,96,118,118
53,Vadodra,0,1,0,1,18,16,102,102,120,120
54,Varanasi,0,0,0,0,5,4,90,87,95,91
55,Vishakhapatnam,0,0,0,0,4,4,91,88,95,92
