Above / Below All-India Average (178.9),Sl. No.,State Name,Rate
Above All-India Average,1,Rajasthan,317.7
Above All-India Average,2,Kerala,294.4
Above All-India Average,3,Madhya Pradesh,261.3
Above All-India Average,4,Gujarat,261.1
Above All-India Average,5,Mizoram,238.7
Above All-India Average,6,Tamil Nadu,237.2
Above All-India Average,7,Karnataka ,214.1
Above All-India Average,8,Haryana,202.2
Above All-India Average,9,Maharashtra,196.2
Above All-India Average,10,Arunachal Pradesh,193.7
Below All-India Average,1,Jammu & Kashmir,174.7
Below All-India Average,2,Himachal Pradesh,167.8
Below All-India Average,3,Goa,166
Below All-India Average,4,Andhra Pradesh,160.5
Below All-India Average,5,Assam ,143.5
Below All-India Average,6,Orissa,141.4
Below All-India Average,7,Sikkim,141.1
Below All-India Average,8,Bihar,120.2
Below All-India Average,9,Uttar Pradesh,103.6
Below All-India Average,10,Manipur,100
Below All-India Average,11,Punjab,86.7
Below All-India Average,12,West Bengal,84.9
Below All-India Average,13,Tripura,84.6
Below All-India Average,14,Nagaland,75.7
Below All-India Average,15,Meghalaya,72.2
