SI.No.,States/UT/City,No. of Cases Reported,No. of Victims - Up To 10 Years,No. of Victims - 11-15 Years,No. of Victims - 16-18 Years,No. of Victims - 19-30 Years,No. of Victims - 31-50 Years,No. of Victims - Above 50 Years
1,Andhra Pradesh,884,57,142,210,325,144,6
2,Arunachal Pradesh,39,0,9,18,12,0,0
3,Assam,691,22,94,191,292,85,7
4,Bihar,1427,11,60,346,785,225,0
5,Goa,17,6,4,2,4,1,0
6,Gujarat,261,20,46,78,96,21,0
7,Haryana,331,20,62,74,139,35,1
8,Himachal Pradesh,108,7,21,26,41,12,1
9,jammu & Kashmir,169,1,10,25,97,36,0
10,Karnataka,301,24,46,69,141,20,1
11,Kerala,421,21,98,70,181,48,3
12,Madhya Pradesh,3485,126,619,878,1395,467,0
13,Maharashtra,1295,95,253,362,453,126,6
14,Manipur,12,1,3,2,4,2,0
15,Meghalaya,26,1,2,8,15,0,0
16,Mizoram,71,21,31,14,0,5,0
17,Nagaland,11,0,2,4,5,0,0
18,Orissa,818,23,103,181,359,150,2
19,Punjab,271,27,81,53,87,23,0
20,Rajasthan,1179,28,107,227,598,210,9
21,Sikkim,NR,NR,NR,NR,NR,NR,NR
22,Tamil Nadu,420,14,66,84,228,28,0
23,Tripura,72,2,4,18,40,8,0
24,Uttar Pradesh,1587,67,275,495,596,153,1
25,West Bengal,732,6,69,238,364,55,0
Total States,Total States,14628,600,2207,3673,6257,1854,37
26,A & N Islands,5,2,1,2,0,0,0
27,Chandigarh,16,3,2,2,6,3,0
28,D & N Haveli,3,1,0,2,0,0,0
29,Daman & DIU,4,2,1,1,0,0,0
30,Delhi,397,84,137,56,85,34,4
31,Lakshadeep,0,0,0,0,0,0,0
32,Pondicherry,6,0,1,3,1,0,1
Total (UTs),Total (UTs),431,92,142,66,92,37,5
Total (All-India),Total (All-India),15059,692,2349,3739,6349,1891,42
33,Ahmedabad,14,2,6,3,2,1,0
34,Bangalore,28,2,6,8,9,2,1
35,Bhopal,39,0,6,11,12,10,0
36,Calcutta,24,3,8,7,4,2,0
37,Chennai,27,0,0,4,19,4,0
38,Coimbatore,4,0,3,0,0,1,0
39,Delhi,327,76,101,51,65,30,4
40,Hyderabad,48,2,3,11,25,7,0
41,Indore,29,1,7,5,10,6,0
42,Jaipur,38,3,5,4,22,4,0
43,Kanpur,34,2,5,10,16,1,0
44,Kochi,9,1,3,3,2,0,0
45,Lucknow,27,1,10,6,6,4,0
46,Ludhiana,36,6,0,3,22,5,0
47,Madurai,6,1,0,3,2,0,0
48,Mumbai,134,22,34,52,20,4,2
49,Nagpur,41,9,7,14,7,4,0
50,Patna,18,0,1,11,6,0,0
51,Pune,50,5,14,12,14,4,1
52,Surat,17,2,5,8,3,1,0
53,Vadodra,10,1,2,2,3,2,0
54,Varanasi,10,0,3,4,3,0,0
55,Vishakhapatnam,17,0,0,8,0,9,0
Total Cities,Total Cities,987,139,229,240,272,101,8
