SI.No.,States/UT/City,No. of Victims Murdered - By Firearms (Licensed + Unlicensed),No. of Victims Murdered - By Licensed Arms,No. of Victims Murdered - By Unlicensed Arms
1,Andhra Pradesh,94,1,93
2,Arunachal Pradesh,1,1,0
3,Assam,249,5,244
4,Bihar,2402,91,2311
5,Goa,2,0,2
6,Gujarat,22,11,11
7,Haryana,100,34,66
8,Himachal Pradesh,4,4,0
9,jammu & Kashmir,480,6,474
10,Karnataka,14,6,8
11,Kerala,1,0,1
12,Madhya Pradesh,230,48,182
13,Maharashtra,77,7,70
14,Manipur,202,2,200
15,Meghalaya,4,0,4
16,Mizoram,3,1,2
17,Nagaland,30,12,18
18,Orissa,22,1,21
19,Punjab,61,42,19
20,Rajasthan,135,22,113
21,Sikkim,NR,NR,NR
22,Tamil Nadu,37,2,35
23,Tripura,150,0,150
24,Uttar Pradesh,4754,455,4299
25,West Bengal,166,10,156
Total States,Total States,9240,761,8479
26,A & N Islands,0,0,0
27,Chandigarh,1,0,1
28,D & N Haveli,2,0,2
29,Daman & DIU,0,0,0
30,Delhi,51,11,40
31,Lakshadeep,0,0,0
32,Pondicherry,0,0,0
Total (UTs),Total (UTs),54,11,43
Total (All-India),Total (All-India),9294,772,8522
33,Ahmedabad,3,1,2
34,Bangalore,1,0,1
35,Bhopal,0,0,0
36,Calcutta,25,0,25
37,Chennai,0,0,0
38,Coimbatore,0,0,0
39,Delhi,51,11,40
40,Hyderabad,6,0,6
41,Indore,7,0,7
42,Jaipur,47,1,46
43,Kanpur,111,6,105
44,Kochi,0,0,0
45,Lucknow,43,2,41
46,Ludhiana,5,3,2
47,Madurai,28,0,28
48,Mumbai,46,4,42
49,Nagpur,1,0,1
50,Patna,226,15,211
51,Pune,0,0,0
52,Surat,6,4,2
53,Vadodra,3,0,3
54,Varanasi,27,3,24
55,Vishakhapatnam,0,0,0
Total Cities,Total Cities,636,50,586
