SI.No.,States/UT/City,Total no. of persons under Arrest* Including those Erom Previous Year,Number of persons released Before Trial,Number of persons Charge Sheeted,Number of persons Under Investigation at the end of the year,Pendency Percentage,Percentage of Pendency to All India Total
1,Andhra Pradesh,398620,1033,385159,12428,3.1,5.8
2,Arunachal Pradesh,109,22,63,24,22,0
3,Assam,15477,1461,2765,11251,72.7,5.2
4,Bihar,27027,701,17090,9236,34.2,4.3
5,Goa,1540,6,1449,85,5.5,0
6,Gujarat,216362,1374,196925,18063,8.3,8.4
7,Haryana,33543,116,30295,3132,9.3,1.4
8,Himachal Pradesh,6290,55,4952,1283,20.4,0.6
9,Jammu & Kashmir,3989,528,3060,401,10.1,0.2
10,Karnataka,62950,4210,55186,3554,5.6,1.6
11,Kerala,36118,383,28761,6974,19.3,3.2
12,Madhya Pradesh,271837,97,270340,1400,0.5,0.6
13,Maharashtra,451866,231,404320,47315,10.5,21.9
14,Manipur,1536,589,167,780,50.8,0.4
15,Meghalaya,461,17,112,332,72,0.2
16,Mizoram,2850,1,2012,837,29.4,0.4
17,Nagaland,1097,29,434,634,57.8,0.3
18,Orissa,5274,0,5026,248,4.7,0.1
19,Punjab,36112,176,25539,10397,28.8,4.8
20,Rajasthan,35093,40,34797,256,0.7,0.1
21,Sikkim,104,4,89,11,10.6,0
22,Tamil Nadu,732789,144089,533652,55048,7.5,25.5
23,Tripura,119,8,31,80,67.2,0
24,Uttar Pradesh,464884,3045,453160,8679,1.9,4
25,West Bengal,1078416,4876,1056405,17135,1.6,7.9
Total States,Total States,3884463,163091,3511789,209583,5.4,97
26,A & N Islands,3784,0,2823,961,25.4,0.4
27,Chandigarh,889,25,633,231,26,0.1
28,D & N Haveli,34,0,22,12,35.3,0
29,Daman & DIU,19,0,13,6,31.6,0
30,Delhi,19507,604,13698,5205,26.7,2.4
31,Lakshadweep,2,0,1,1,50,0
32,Pondicherry,2739,44,2618,77,2.8,0
Total (UTs),Total (UTs),26974,673,19808,6493,24.1,3
Total (All-India),Total (All-India),3911437,163764,3531597,216076,5.5,100
