SI.No.,States/UT/City,Residential Permises - Number,Residential Permises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Bank - Number,Bank - Value,Commercial Establishments - Number,Commercial Establishments - Value,Others place - Number,Others Place - Value,Total - Number,Total - Value
1,Andhra Pradesh,364,78.5,156,77.9,0,0,9,1.2,3,0,11,0.7,183,57.4,726,215.6
2,Arunachal Pradesh,24,1.8,14,10.4,0,0,0,0,1,0.9,10,0.5,22,22.3,71,35.9
3,Assam,261,71.4,106,21.5,1,0.4,0,0,0,0,74,26.7,465,53.3,907,173.3
4,Bihar,723,114.9,964,298.7,3,0.3,40,8.4,19,24.7,97,14.2,845,150.3,2691,611.6
5,Goa,6,0.1,3,0.6,1,0.1,0,0,0,0,4,0.6,35,10,49,11.3
6,Gujarat,230,36.7,107,133.7,1,0.7,71,38.1,2,0,75,29.8,860,208.2,1346,447.1
7,Haryana,84,52.9,82,81,1,0.3,6,7.6,4,12.8,44,25.1,217,184.3,438,364
8,Himachal Pradesh,0,0,3,17.1,0,0,0,0,0,0,1,0,13,2.2,17,19.4
9,Jammu & Kashmir,14,0.8,7,5.8,0,0,0,0,0,0,10,8.6,95,50.6,126,65.8
10,Karnataka,227,105.7,57,21.4,0,0,12,2.1,4,8.5,54,22.3,673,166.3,1027,326.3
11,Kerala,101,26.9,21,2.6,1,0.1,2,2.6,0,0,20,2,225,130.8,370,164.8
12,Madhya Pradesh,188,45.1,266,255.5,10,1.3,25,3.3,4,8.6,67,23.1,1138,232.5,1698,569.3
13,Maharashtra,419,296.6,275,227.3,4,0.1,89,8.4,2,8.1,168,212.7,1597,1147.1,2554,1900.3
14,Manipur,2,0.2,8,1.3,0,0,0,0,1,1.6,0,0,15,6.6,26,9.7
15,Meghalaya,29,4.3,32,11.3,0,0,0,0,0,0,0,0,39,19.3,100,35
16,Mizoram,2,0.4,2,0.3,1,0.2,0,0,0,0,1,0,4,11.5,10,12.5
17,Nagaland,5,1.5,36,22.2,0,0,0,0,0,0,6,4.1,78,27.9,125,55.8
18,Orissa,450,94.1,337,60.6,0,0,22,1.6,2,1.2,125,31.5,259,20.8,1195,209.8
19,Punjab,16,18.9,2,2.8,0,0,1,0.1,0,0,1,0.2,38,34.7,58,56.7
20,Rajasthan,39,9.7,55,84.6,0,0,7,45.6,3,0.7,50,38.3,1055,423.9,1209,602.8
21,Sikkim,5,1.1,0,0,0,0,0,0,0,0,0,0,5,1.2,10,2.3
22,Tamil Nadu,192,48.8,60,25.1,1,0.4,3,0.2,0,0,71,35.9,288,74,615,184.2
23,Tripura,50,1.3,2,1.3,0,0,0,0,0,0,20,1.5,30,2.2,102,6.3
24,Uttar Pradesh,698,148.3,1993,936.8,0,0,36,4,14,20,19,4,1437,268.6,4197,1381.8
25,West Bengal,135,61.1,163,71.3,0,0,54,5.5,3,2.7,62,59.4,496,152.4,913,352.4
Total States,Total States,4264,1221,4751,2371.2,24,3.6,377,128.6,62,89.8,990,541.2,10112,3458.6,20580,7814.1
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,1,0.1
27,Chandigarh,1,0.3,0,0,0,0,0,0,0,0,0,0,5,5.6,6,5.9
28,D & N Haveli,2,0.1,0,0,0,0,0,0,0,0,2,0.6,4,3.5,8,4.2
29,Daman & DIU,0,0,0,0,0,0,0,0,0,0,1,0.3,1,0.6,2,0.9
30,Delhi,121,203.9,6,5,0,0,21,1.3,0,0,62,52.1,516,340.3,726,602.7
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,2,0.1,0,0,0,0,0,0,0,0,0,0,7,1.9,9,2
Total (UTs),Total (UTs),126,204.3,6,5,0,0,21,1.3,0,0,65,53,534,352.2,752,615.9
Total (All-India),Total (All-India),4390,1425.4,4757,2376.3,24,3.6,398,130,62,89.8,1055,594.2,10646,3810.7,21332,8430
33,Ahmedabad,9,2,0,0,0,0,0,0,0,0,18,2.1,197,59,224,63.1
34,Bangalore,101,52.5,2,0.4,0,0,0,0,3,8.1,21,11.6,324,70.1,451,142.6
35,Bhopal,6,5.1,3,35.7,0,0,0,0,0,0,0,0,76,15.4,85,56.2
36,Calcutta,18,21.6,51,29.4,0,0,0,0,0,0,25,32,63,92.9,157,175.9
37,Chennai,23,9.8,6,0.3,0,0,0,0,0,0,31,30,44,6.5,104,46.5
38,Coimbatore,7,2.7,0,0,0,0,0,0,0,0,3,0,7,1,17,3.8
39,Delhi,105,177,5,4.7,0,0,21,1.3,0,0,53,49.5,465,299.8,649,532.1
40,Hyderabad,17,0.9,0,0,0,0,0,0,0,0,2,0,60,29,79,29.9
41,Indore,2,5.1,2,6.2,0,0,0,0,0,0,2,0.5,35,13.5,41,25.2
