SI.No.,States/UT/City,Total value of Propery Stolen,Total value of Propery Recovered,Percentage Recovery
1,Andhra Pradesh,3772.8,1826.7,48.4
2,Arunachal Pradesh,378.8,79.3,20.9
3,Assam,1536.7,284.8,18.5
4,Bihar,3234,579.4,17.9
5,Goa,1251.7,86.8,6.9
6,Gujarat,11070.8,2691.5,24.3
7,Haryana,4138,2117.3,51.2
8,Himachal Pradesh,790.9,229.8,29.1
9,Jammu & Kashmir,1586.6,314.4,19.8
10,Karnataka,7261.9,2002.1,27.6
11,Kerala,4376.2,992.8,22.7
12,Madhya Pradesh,6760.2,2529.5,37.4
13,Maharashtra,62820.6,21466.4,34.2
14,Manipur,210.2,7.8,3.7
15,Meghalaya,259.3,22.2,8.6
16,Mizoram,193.2,85.6,44.3
17,Nagaland,343.5,57.4,16.7
18,Orissa,3658.4,705.9,19.3
19,Punjab,4111.8,2069.5,50.3
20,Rajasthan,6148.5,3630.4,59
21,Sikkim,55.6,14.6,26.2
22,Tamil Nadu,5515.5,2733.2,49.6
23,Tripura,106,6.7,6.3
24,Uttar Pradesh,10776.3,3266.9,30.3
25,West Bengal,2904.5,921,31.7
Total States,Total States,143262.2,48722.1,34
26,A & N Islands,136.3,7.6,5.6
27,Chandigarh,492.5,213.6,43.4
28,D & N Haveli,63.2,31.8,50.3
29,Daman & DIU,124.1,34.5,27.8
30,Delhi,13886.3,1255.2,9
31,Lakshadweep,6.7,0.7,10.8
32,Pondicherry,109.1,53.9,49.4
Total,Total,14818.1,1597.3,10.8
Total,Total,158080.3,50319.5,31.8
33,Ahmedabad,2563,676.8,26.4
34,Bangalore,3100.1,997.2,32.2
35,Bhopal,348.4,131.2,37.7
36,Calcutta,1669.1,644.4,38.6
37,Chennai,1518.1,758,49.9
38,Coimbatore,642.2,113.5,17.7
39,Delhi,12784.4,1200.9,9.4
40,Hyderabad,1007.6,388.7,38.6
41,Indore,937,204.9,21.9
42,Jaipur,821,425.5,51.8
43,Kanpur,504.8,191.2,37.9
44,Kochi,234.9,49.3,21
45,Lucknow,401.3,82.7,20.6
46,Ludhiana,576.7,177.4,30.8
47,Madurai,148,78,52.7
48,Mumbai,45003.2,17458.6,38.8
49,Nagpur,1255.1,223.4,17.8
50,Patna,340.1,55.1,16.2
51,Pune,1706.6,555.4,32.5
52,Surat,873.6,133.5,15.3
53,Vadodra,713.4,135.1,18.9
54,Varanasi,79.7,12,15.1
55,Vishakhapatnam,112.9,53.1,47
