SI.No.,States/UT/City,Murder - 1998,Murder - 1999,Murder - Percentage Variation,Attempt to Commit Murder - 1998,Attempt to Commit Murder - 1999,Attempt to Commit Murder - Percentage Variation,C.H.Not Amounting to Murder - 1998,C.H.Not Amounting to Murder - 1999,C.H.Not Amounting to Murder - Percentage Variation,Rape - 1998,Rape - 1999,Rape - Percentage Variation,Kidnaping & Abduction Total - 1998,Kidnaping & Abduction Total - 1999,Kidnaping & Abduction Total - Percentage Variation,Kidnaping & Abduction of Women & Girls - 1998,Kidnaping & Abduction of Women & Girls - 1999,Kidnaping & Abduction of Women & Girls - Percentage Variation,Kidnaping & Abduction of Others - 1998,Kidnaping & Abduction of Others - 1999,Kidnaping & Abduction of Others - Percentage Variation,Dacoity - 1998,Dacoity - 1999,Dacoity - Percentage Variation,Preperation & Assembly for Dacoity - 1998,Preperation & Assembly for Dacoity - 1999,Preperation & Assembly for Dacoity - Percentage Variation,Robbery - 1998,Robbery - 1999,Robbery - Percentage Variation,Burglary - 1998,Burglary - 1999,Burglary - Percentage Variation,Theft Total - 1998,Theft Total - 1999,Theft Total - Percentage Variation,Theft Auto Theft - 1998,Theft Auto Theft - 1999,Theft Auto Theft - Percentage Variation,Theft Other Theft - 1998,Theft Other Theft - 1999,Theft Other Theft - Percentage Variation,Riots - 1998,Riots - 1999,Riots - Percentage Variation,Criminal Breach of Trust - 1998,Criminal Breach of Trust - 1999,Criminal Breach of Trust - Percentage Variation,Cheating - 1998,Cheating - 1999,Cheating - Percentage Variation,Counterfeiting - 1998,Counterfeiting - 1999,Counterfeiting - Percentage Variation,Arson - 1998,Arson - 1999,Arson - Percentage Variation,Hurt - 1998,Hurt - 1999,Hurt - Percentage Variation,Dowry Deaths - 1998,Dowry Deaths - 1999,Dowry Deaths - Percentage Variation,Molestation - 1998,Molestation - 1999,Molestation - Percentage Variation,Sexual Harassment - 1998,Sexual Harassment - 1999,Sexual Harassment - Percentage Variation,Cruelty By Husband and Relatives - 1998,Cruelty By Husband and Relatives - 1999,Cruelty By Husband and Relatives - Percentage Variation,Importation of Girls - 1998,Importation of Girls - 1999,Importation of Girls - Percentage Variation,Other IPC Crimes - 1998,Other IPC Crimes - 1999,Other IPC Crimes - Percentage Variation,Total Cognizable Crimes Under IPC - 1998,Total Cognizable Crimes Under IPC - 1999,Total Cognizable Crimes Under IPC - Percentage Variation
1,Andhra Pradesh,2972,2711,-8.8,1561,1512,-3.1,114,135,18.4,869,895,3,1175,1169,-0.5,738,708,-4.1,437,461,5.5,491,266,-45.8,19,7,-63.2,831,726,-12.6,7329,6779,-7.5,15892,15049,-5.3,NR,2796,0,NR,12253,0,3734,2853,-23.6,772,748,-3.1,3899,4540,16.4,76,48,-36.8,2029,1057,-47.9,29960,30086,0.4,500,452,-9.6,3967,3238,9.1,1050,1763,67.9,4310,4666,8.3,NR,0,0,41986,41664,-0.8,122536,120364,-1.8
2,Arunachal Pradesh,62,62,0,40,53,32.5,4,6,50,32,39,21.9,44,70,59.1,38,40,5.3,6,30,400,36,60,66.7,0,1,0,50,71,42,175,258,47.4,312,321,2.9,NR,33,0,NR,288,0,22,60,172.7,29,27,-6.9,22,39,77.3,1,1,0,11,18,63.6,303,483,59.4,0,0,0,46,65,41.3,1,1,0,8,5,-37.3,NR,0,0,465,626,34.6,1663,2266,36.3
3,Assam,1665,1517,-8.9,471,421,-10.6,53,74,39.6,744,703,-5.5,1471,1440,-2.1,1117,1149,2.9,354,291,-17.8,928,783,-15.6,23,20,-13,1082,907,-16.2,3696,3527,-4.6,7664,7329,-4.4,NR,454,0,NR,6875,0,3548,3663,3.2,547,486,-11.2,588,640,8.8,81,50,-38.3,566,443,-21.7,4717,4616,-2.1,32,40,25,648,720,11.1,12,21,75,739,843,14.1,NR,0,0,8871,9049,2,38146,37292,-2.2
4,Bihar,5311,5116,-3.7,4458,3818,-14.4,558,742,33,1421,1447,1.8,2758,2599,-5.8,1043,939,-10,1715,1660,-3.2,2349,2153,-8.3,164,200,22,3052,2691,-11.8,6313,5260,-16.7,15303,13759,-10.1,NR,1326,0,NR,12433,0,11631,11106,-4.5,1247,1493,19.7,2073,1729,-16.6,18,83,361.1,576,586,1.7,4807,6142,27.8,1039,1021,-1.7,432,547,26.6,89,55,-38.2,1507,1423,-5.6,NR,0,0,50939,56678,11.3,116045,118648,2.2
5,Goa,44,38,-13.6,38,34,-10.5,8,6,-25,16,18,12.5,25,11,-56,14,7,-50,11,4,-63.6,11,5,-54.5,0,0,0,72,49,-31.9,556,427,-23.2,870,755,-13.2,NR,209,0,NR,546,0,154,67,-56.5,33,30,-9.1,93,75,-19.4,5,3,-40,31,28,-9.7,200,217,8.5,3,2,-33.3,22,26,18.2,8,7,-12.5,16,15,-6.3,NR,0,0,914,776,-15.1,3119,2589,-17
6,Gujarat,1407,1353,-3.8,806,695,-13.8,29,20,-31,368,331,-10.1,1421,1336,-6,1182,1074,-9.1,239,262,9.6,381,340,-10.8,7,10,42.9,1334,1346,0.9,6834,6061,-11.3,19766,17812,-9.9,NR,4876,0,NR,12936,0,2524,2111,-16.4,2083,2029,-2.6,2053,2100,2.3,72,80,11.1,761,693,-8.9,16787,15954,-5,90,94,4.4,1210,1083,-10.5,139,172,23.7,3602,3886,7.9,NR,0,0,64218,67280,4.8,125892,124786,-0.9
7,Haryana,826,839,1.6,400,487,21.8,114,104,-8.8,364,372,2.2,506,542,7.1,318,350,10.1,188,192,2.1,75,112,49.3,114,98,-14,370,438,18.4,3601,3717,3.2,6058,6753,11.5,NR,2949,0,NR,3804,0,901,970,7.7,400,433,8.3,1232,1339,8.7,29,47,62.1,213,219,2.8,5783,5879,1.7,309,288,-6.8,611,553,-9.5,385,300,-22.1,977,1369,40.1,NR,0,0,13960,14854,6.4,37228,39713,6.7
8,Himachal Pradesh,137,133,-2.9,77,79,2.6,7,7,0,128,109,-14.8,153,126,-17.6,115,89,-22.6,38,37,-2.6,2,4,100,0,0,0,16,17,6.3,881,960,9,690,658,-4.6,NR,158,0,NR,500,0,583,589,1,92,69,-25,143,144,0.7,2,4,100,127,203,59.8,1369,1616,18,7,5,-28.8,283,297,4.9,15,23,53.3,228,258,13.2,NR,0,0,6014,5776,-4,10954,11077,1.1
9,jammu & Kashmir,664,765,15.2,851,885,4,27,26,-3.7,178,170,-4.5,651,623,-4.3,629,473,-24.8,22,150,581.8,34,40,17.6,0,0,0,134,126,-6,1467,1294,-11.8,1821,1732,-4.9,NR,364,0,NR,1368,0,847,869,2.6,133,112,-15.8,382,343,-10.2,15,11,-26.7,415,425,2.4,422,352,-16.6,9,6,-33.3,516,507,-1.7,361,341,-5.5,18,39,116.7,NR,0,0,8475,8437,-0.4,17420,17103,-1.8
10,Karnataka,1693,1651,-2.5,1567,1662,6.1,55,51,-7.3,233,301,29.2,633,630,-0.5,312,320,2.6,321,310,-3.4,264,284,7.6,17,0,-100,1206,1027,-14.8,8952,8369,-6.5,15578,14592,-6.3,NR,3886,0,NR,10706,0,7334,7569,3.2,634,499,-21.3,2040,2270,11.3,53,81,52.8,502,278,-44.6,23730,24288,2.4,200,217,8.5,1340,1501,12,139,147,5.8,1501,1560,3.9,NR,0,0,42862,43582,1.7,110533,110559,0
