SI.No.,States/UT/City,DG/Addl.DG/IG/DIG - Sanctioned,DG/Addl.DG/IG/DIG - Actual,SSP/SP/Addl.SP./ASP/Dy. SP. /Assit.Comdt. - Sanctioned,SSP/SP/Addl.SP./ASP/Dy. SP. /Assit.Comdt. - Actual,"Inspector ,Si & A.s.i. - Sanctioned","Inspector ,SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,Andhra Pradesh,54,50,447,406,6011,3631,61150,57926,67662,62013
2,Arunachal Pradesh,5,4,63,35,494,477,2655,2601,3217,3117
3,Assam,27,27,295,280,5006,4985,24696,24396,30024,29688
4,Bihar,69,69,570,570,14702,13083,85287,64195,100628,77917
5,Goa,2,2,24,17,264,213,1974,1836,2264,2068
6,Gujarat,53,53,255,252,9922,8737,42683,40648,52913,49690
7,Haryana,26,41,196,148,3451,3056,29135,23414,32808,26659
8,Himachal Pradesh,33,33,135,135,1233,1194,7426,7079,8827,8441
9,Jammu & Kashmir,36,29,431,504,4538,2620,28803,23003,33808,26156
10,Karnataka,10,10,246,236,5284,4852,47830,45641,53370,50739
11,Kerala,22,18,324,307,3466,3176,32025,29837,35837,33338
12,Madhya Pradesh,79,79,887,800,11888,11292,57348,57075,70202,69246
13,Maharashtra,63,58,599,473,14876,13028,113497,109823,129035,123382
14,Manipur,10,10,98,93,1017,918,4126,4054,5251,5075
15,Meghalaya,10,7,74,74,1160,1091,8122,7259,9366,8431
16,Mizoram,5,5,67,60,684,586,3055,1991,3811,2642
17,Nagaland,15,15,62,58,631,595,6148,5699,6856,6367
18,Orissa,35,35,291,280,5475,5029,23172,22191,28973,27535
19,Punjab,42,42,351,351,6140,6140,45789,45789,52322,52322
20,Rajasthan,34,33,598,480,7765,6090,50613,47894,59010,54497
21,Sikkim,10,8,44,51,277,252,1860,2745,2191,3056
22,Tamil Nadu,73,57,764,727,7892,6927,71408,61872,80137,69583
23,Tripura,13,10,207,136,1232,1032,7363,6687,8815,7865
24,Uttar Pradesh,120,119,1133,1093,14522,13271,131437,117215,147212,131698
25,West Bengal,79,78,426,408,13445,12467,42468,39767,56418,52720
Total States,Total States,925,892,8587,7974,141375,124742,930070,850637,1080957,984245
26,A & N Islands,1,1,12,12,360,333,1532,1456,1905,1802
27,Chandigarh,1,1,15,16,444,441,2256,1962,2716,2420
28,D & N Haveli,0,0,2,2,13,13,126,126,141,141
29,Daman & DIU,0,0,3,2,21,18,223,184,247,204
30,Delhi,25,24,281,272,9076,8038,36965,34303,46347,42637
31,Lakshadweep,0,0,2,2,53,51,294,275,349,328
32,Pondicherry,1,1,17,17,106,131,977,1030,1101,1179
Total (UTs),Total (UTs),28,27,332,323,10073,9025,42373,39336,52806,48711
Total (All-India),Total (All-India),953,919,8919,8297,151448,133767,972443,889973,1133763,1032956
33,Ahmedabad,7,7,32,29,2014,1590,8350,5802,10403,7428
34,Bangalore,5,5,46,44,1315,1171,7674,7412,9040,8632
35,Bhopal,0,0,20,20,343,333,2829,2780,3192,3133
36,Calcutta,7,7,122,108,3974,3675,13860,13119,17963,16909
37,Chennai,6,4,63,62,689,610,7743,6534,8501,7210
38,Coimbatore,1,1,17,17,175,159,2104,1726,2297,1903
39,Delhi,25,24,281,272,9076,8038,36965,34303,46347,42637
40,Hyderabad,5,5,79,79,830,830,7785,7785,8699,8699
41,Indore,0,0,12,12,275,243,2528,2498,2815,2753
42,Jaipur,0,0,41,41,772,772,6529,6529,7342,7342
43,Kanpur,0,0,23,23,490,371,3961,3799,4474,4193
44,Kochi,0,0,12,12,166,128,1457,1339,1635,1479
45,Lucknow,0,0,23,23,629,478,5856,6437,6508,6938
46,Ludhiana,0,0,12,16,260,251,2893,2863,3165,3130
47,Madurai,1,1,18,17,291,253,2647,2392,2957,2663
48,Mumbai,13,13,126,116,5733,5419,32440,29492,38312,35040
49,Nagpur,2,2,17,17,524,442,3468,3367,4011,3828
50,Patna,0,0,15,15,649,629,4721,4282,5385,4926
51,Pune,2,2,22,20,512,498,3839,3827,4375,4347
52,Surat,3,3,14,14,580,579,1824,1824,2421,2420
53,Vadodra,2,2,10,10,629,522,2219,2210,2860,2744
54,Varanasi,0,0,9,9,220,139,2338,2167,2567,2315
55,Vishakhapatnam,1,1,7,7,122,122,1735,1683,1865,1813
