SI.No.,States/UT/City,Estimated mid Year Population,Murder - Incidence,Murder - Rate,Murder - Percentage,Hurt - Incidence,Hurt - Rate,Hurt - Percentage,Rape - Incidence,Rape - Rate,Rape - Percentage,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - Percentage,Dacoity - Incidence,Dacoity - Rate,Dacoity - Percentage,Robbery - Incidence,Robbery - Rate,Robbery - Percentage,Arson - Incidence,Arson - Rate,Arson - Percentage,Prot. Of Civl Rights Act - Incidence,Prot. Of Civl Rights Act - Rate,Prot. Of Civl Rights Act - Percentage,Sc/ST(Prev. of Atroc.) Act - Incidence,Sc/ST(Prev. of Atroc.) Act - Rate,Sc/ST(Prev. of Atroc.) Act - Percentage,Other Offences - Incidence,Other Offences - Rate,Other Offences - Percentage,Total - Incidence,Total - Rate,Total - Percentage
1,Andhra Pradesh,750.1,26,0,5.1,437,0.6,13.5,61,0.1,6.1,2,0,0.9,3,0,8.3,6,0,5.5,8,0,2.4,266,0.4,39.2,522,0.7,7.1,418,0.6,3.6,1749,2.3,7
2,Arunachal Pradesh,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Assam,259.8,0,0,0,4,0,0.1,2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,0,0,0,0,0,0,7,0,0
4,Bihar,987.3,5,0,1,230,0.2,7.1,22,0,2.2,1,0,0.4,2,0,5.6,0,0,0,13,0,3.9,0,0,0,276,0.3,3.8,271,0.3,2.3,820,0.8,3.3
5,Goa,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Gujarat,477.9,26,0.1,5.1,363,0.8,11.2,28,0.1,2.8,15,0,6.6,8,0,22.2,23,0,21.1,17,0,5,9,0,1.3,415,0.9,5.7,877,1.8,7.5,1781,3.7,7.1
7,Haryana,196.4,5,0,1,33,0.2,1,26,0.1,2.6,8,0,3.5,1,0,2.8,0,0,0,1,0,0.3,0,0,0,18,0.1,0.2,29,0.1,0.2,121,0.6,0.5
8,Himachal Pradesh,66,2,0,0.4,2,0,0.1,4,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,6,0.1,0.9,21,0.3,0.3,19,0.3,0.2,54,0.8,0.2
9,Jammu & Kashmir,97.9,0,0,0,1,0,0,2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,0,0,0,9,0.1,0.1,13,0.1,0.1
10,Karnataka,516.5,11,0,2.2,27,0.1,0.8,6,0,0.6,0,0,0,0,0,0,0,0,0,8,0,2.4,85,0.2,12.5,1131,2.2,15.5,9,0,0.1,1277,2.5,5.1
11,Kerala,320.8,5,0,1,177,0.6,5.5,54,0.2,5.4,0,0,0,0,0,0,0,0,0,4,0,1.2,3,0,0.4,194,0.6,2.7,77,0.2,0.7,514,1.6,2
12,Madhya Pradesh,788.1,55,0.1,10.9,751,1,23.2,305,0.4,30.5,36,0,15.8,2,0,5.6,16,0,14.7,56,0.1,16.6,26,0,3.8,433,0.5,5.9,2987,3.8,25.6,4667,5.9,18.6
13,Maharashtra,904.5,7,0,1.4,67,0.1,2.1,40,0,4,6,0,2.6,1,0,2.8,4,0,3.7,10,0,3,135,0.1,19.9,160,0.2,2.2,175,0.2,1.5,605,0.7,2.4
14,Manipur,24.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Meghalaya,23.8,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,Mizoram,9.3,0,0,0,0,0,0,1,0.1,0.1,0,0,0,0,0,0,1,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0
17,Nagaland,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Orissa,356.4,10,0,2,145,0.4,4.5,8,0,0.8,4,0,1.8,0,0,0,3,0,2.8,3,0,0.9,3,0,0.4,263,0.7,3.6,333,0.9,2.9,772,2.2,3.1
19,Punjab,233.7,5,0,1,9,0,0.3,7,0,0.7,2,0,0.9,0,0,0,0,0,0,0,0,0,1,0,0.1,6,0,0.1,9,0,0.1,39,0.2,0.2
20,Rajasthan,529.4,49,0.1,9.7,154,0.3,4.8,146,0.3,14.6,10,0,4.4,0,0,0,3,0,2.8,67,0.1,19.9,19,0,2.8,887,1.7,12.1,4288,8.1,36.8,5623,10.6,22.4
21,Sikkim,5.5,0,0,0,4,0.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.7,1.2,0,0,0,0,0,0,4,0.7,0,12,2.2,0
22,Tamil Nadu,614.3,20,0,4,165,0.3,5.1,12,0,1.2,11,0,4.8,0,0,0,3,0,2.8,1,0,0.3,109,0.2,16.1,366,0.6,5,196,0.3,1.7,883,1.4,3.5
23,Tripura,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Uttar Pradesh,1676.6,279,0.2,55.1,672,0.4,20.7,276,0.2,27.6,133,0.1,58.3,19,0,52.8,50,0,45.9,145,0.1,43,1,0,0.1,2597,1.5,35.6,1950,1.2,16.7,6122,3.7,24.4
25,West Bengal,783.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total States,Total States,9703,506,0.1,100,3241,0.3,100,1000,0.1,100,228,0,100,36,0,100,109,0,100,337,0,100,665,0.1,98.1,7289,0.8,99.8,11651,1.2,99.9,25062,2.6,99.9
26,A & N Islands,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Chandigarh,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,D & N Haveli,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Daman & DIU,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Delhi,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.4,10,0.1,0.1,5,0,0,18,0.1,0.1
31,Lakshadweep,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.9,1.5,2,0.2,0,1,0.1,0,13,1.2,0.1
Total (UTs),Total (UTs),163.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.1,1.9,12,0.1,0.2,6,0,0.1,31,0.2,0.1
Total (All-India),Total (All-India),9866.4,506,0.1,100,3241,0.3,100,1000,0.1,100,228,0,100,36,0,100,109,0,100,337,0,100,678,0.1,100,7301,0.7,100,11657,1.2,100,25093,2.5,100
