SI.No.,States/UT/City,Incidence,Percentage of Contribution to All India Total,Estimated Mid Year Population (In Lakhs),Rate of Total Cognizable Crimes,Rank*,Rank**
1,Andhra Pradesh,12756,9.4,750.1,17,6,5
2,Arunachal Pradesh,151,0.1,11.7,12.9,15,21
3,Assam,3504,2.6,259.8,13.5,13,13
4,Bihar,6706,4.9,987.3,6.8,25,8
5,Goa,103,0.1,15.6,6.6,26,24
6,Gujarat,5694,4.9,477.9,14,12,9
7,Haryana,3248,2.4,196.4,16.5,7,14
8,Himachal Pradesh,784,0.6,66,11.9,16,18
9,jammu & Kashmir,1542,1.1,97.9,15.8,8,16
10,Karnataka,5633,4.1,516.5,10.9,18,10
11,Kerala,4838,3.6,320.8,15.1,10,11
12,Madhya Pradesh,17076,12.6,788.1,21.7,2,1
13,Maharashtra,13610,10,904.5,15,11,3
14,Manipur,65,0,24.7,2.6,29,25
15,Meghalaya,54,0,23.8,2.3,30,26
16,Mizoram,145,0.1,9.3,15.6,9,22
17,Nagaland,19,0,16.5,1.2,31,29
18,Orissa,4716,3.5,356.4,13.2,14,12
19,Punjab,1538,1.1,233.7,6.6,27,17
20,Rajasthan,12974,9.6,529.4,24.5,1,4
21,Sikkim,28,0,5.5,5.1,28,28
22,Tamil Nadu,12670,9.3,614.3,20.6,3,6
23,Tripura,300,0.2,37,8.1,23,19
24,Uttar Pradesh,16912,12.5,1676.6,10.1,19,2
25,West Bengal,6931,5.1,783.2,8.8,22,7
Total States,Total States,132997,98,9703,13.7,NA,NA
26,A & N Islands,36,0,3.8,9.5,21,27
27,Chandigarh,152,0.1,8.7,17.5,5,20
28,D & N Haveli,18,0,1.9,9.5,20,30
29,Daman & DIU,11,0,1.4,7.9,24,31
30,Delhi,2428,1.8,136,17.9,4,15
31,Lakshadeep,0,0,0.7,0,NA,NA
32,Pondicherry,129,0.1,10.9,11.8,17,23
Total (UTs),Total (UTs),3774,2,163.4,17,NA,NA
Total (All-India),Total (All-India),135771,100,9866.4,13.8,NA,NA
33,Ahmedabad,728,4.3,41.2,17.7,11,8
34,Bangalore,1170,7,55.1,21.2,9,4
35,Bhopal,258,1.5,16.1,16,14,19
36,Calcutta,547,3.3,128.2,4.3,23,11
37,Chennai,3560,21.2,65.9,54,2,1
38,Coimbatore,395,2.4,12.8,30.9,5,13
39,Delhi,2022,12,116,17.4,12,2
40,Hyderabad,1025,6.1,67.8,15.1,16,5
41,Indore,296,1.8,14.1,21,10,16
42,Jaipur,696,4.1,21.2,32.8,4,9
43,Kanpur,861,5.1,24.3,35.4,3,7
44,Kochi,123,0.7,17.4,7.1,21,23
45,Lucknow,644,3.8,25.4,25.4,7,10
46,Ludhiana,242,1.4,16.4,14.8,17,20
47,Madurai,378,2.2,12.6,30,6,14
48,Mumbai,1253,7.5,179.3,7,22,3
49,Nagpur,458,2.7,20.4,22.5,8,12
50,Patna,197,1.2,12.8,15.4,15,21
51,Pune,360,2.1,34.6,10.4,20,15
52,Surat,258,1.5,23.2,11.1,18,18
53,Vadodra,270,1.6,15.9,17,13,17
54,Varanasi,135,0.8,12.8,10.5,19,22
55,Vishakhapatnam,931,5.5,16.9,55.1,1,6
Total Cities,Total Cities,16807,100,950.4,17.7,NA,NA
