SI No,Crime Head,All India,All Cities,Share of Cities to All India
1,Arms Act,60607,8380,13.8
2,Narcotic Drugs & Psychotropic Substances Act,20132,3494,17.4
3,Gambling Act,116516,12676,10.9
4,Excise Act,106662,11393,10.7
5,Prohibition Act,547386,39488,7.2
6,Explosive & Explosive Substances Act,4399,295,6.7
7,Immoral Traffic (P) Act,9363,4683,50
8,Indian Railways Act,36099,71,0.2
9,Registration of Foregners Act,1587,119,7.5
10,Protection Of Civil Rights Act,996,69,NA
11,Indian Passport Act,472,133,28.2
12,Essential Commodities Act,5639,425,7.5
13,Terrorist & Disruptive Actvites Act,0,0,0
14,Antiquity & Art Treasure Act,16,3,18.8
15,Dowry Prohibition Act,3064,415,13.5
16,Child Marriage Restraint Act,58,3,5.2
17,Indecent Representation of Women (P)Act,222,154,69.4
18,Copy Rights Act,1980,711,35.9
19,Sati Prevention Act,0,0,NA
20,SC/St (Prevention of Atrocities ) Act,14595,462,3.2
21,Forest Act,5139,204,4
22,Other SLL Crimes,2212169,1355421,61.3
Total cognizable Crimes Under SLL,Total cognizable Crimes Under SLL,3147101,1438599,45.7
