Sl.No.,Rank,Number of Victims Killed in Terrorist/ Extremists Operations,Number of Victims Killed in Dacoity Operations or Other Raids,Number of Victims Killed in By Riotousmobs,Number of Victims Killed By Other Criminals,Number of Victims Killed on Other Duties,Number of Victims Killed In Accidents,Number of Victims Killed - Total,Number of Victims Injured In Terrorist/Extramists Operations,Number of Victims Injured In Dacoity Operation or Other Raids,Number of Victims Injured By Riotousmobs,Number of Victims Injured By otherCriminals,Number of Victims Injured on Border Duties,Number of Victims Injured in Accidents,Number of Victims Injured - Total
1,Costbles,150,15,4,121,5,321,616,238,121,1104,535,11,571,2580
2,Head Constables,28,4,2,22,0,107,163,24,31,193,83,3,98,432
3,Assst.Sub. Inspectors,4,0,0,14,0,43,61,5,14,84,66,1,28,198
4,Sub- Inspector,12,7,0,11,1,37,68,8,32,173,86,2,70,371
5,Inspectors,3,0,0,6,0,9,18,3,9,69,14,0,15,110
6,Other Gazetted Officers,3,0,0,3,0,0,6,3,4,48,8,1,9,73
7,Total,200,26,6,177,6,517,932,281,211,1671,792,18,791,3764
