SI.No.,States/UT/City,Murder - Incidence,Murder - Rate,Attemp to Commit Murder - Incidence,Attempt to Commit Murder - Rate,C.H.Not Amounting To Murder - Incidence,C.H. Not Amounting to Murder - Rate,Rape - Incidence,Rape - Rate,Kidnapping & Abduction Total - Incidence,Kidnapping & Abduction Total - Rate,Kidnapping & Abduction of Women & Girls - Incidence,Kidnapping & Abduction of Women & Girls - Rate,Dacoity of Others - Incidence,Dacoity of Others - Rate,Dacoity - Incidence,Dacoity - Rate,Preparation & Assembly for Dacoity - Incidence,Preparation & Assembly for Dacoity - Rate,Robbery - Incidence,Robbery - Rate,Burglary - Incidence,Burglary - Rate,Theft - Incidence,Theft - Rate,Autot Theft - Incidence,Autot Theft - Rate,Other Theft - Incidence,Other Theft - Rate,Riots - Incidence,Riots - Rate,Crimnal Breach of trust - Incidence,Crimnal Breach of trust - Rate,Cheating - Incidence,Cheating - Rate,Counterfeiting - Incidence,Counterfeting - Rate,Arson - Incidence,Arson - Rate,Hurt - Incidence,Hurt - Rate,Dowry Deaths - Incidence,Dowry Deaths - Rate,Molestation - Incidence,Molestation - Rate,Sexual Harassment - Incidence,Sexual Harassment - Rate,Cruelty By Husband and Relatives - Incidence,Cruelty By Husband and Relatives - Rate,Importation of Girls - Incidence,Importation of Girls - Rate,Other IPC Crimes - Incidence,Other IPC Crimes - Rate,Total Cognizable Crimes Under IPC - Incidence,Total Cognizable Crimes Under IPC - Rate
1,Andhra Pradesh,2711,3.6,1512,2,135,0.2,895,1.2,1169,1.6,708,0.9,461,0.6,266,0.4,7,0,726,1,6779,9,15049,20.1,2796,3.7,12253,16.3,2853,3.8,748,1,4540,6.1,48,0.1,1057,1.4,30086,40.1,452,0.6,3238,4.3,1763,2.4,4666,6.2,0,0,41664,55.5,120364,160.5
2,Arunachal Pradesh,62,5.3,53,4.5,6,0.5,39,3.3,70,6,40,3.4,30,2.6,60,5.1,1,0.1,71,6.1,258,22.1,321,27.4,33,2.8,288,24.6,60,5.1,27,2.3,39,3.3,1,0.1,18,1.5,483,41.3,0,0,65,5.6,1,0.1,5,0.4,0,0,626,53.5,2266,193.7
3,Assam,1517,5.8,421,1.6,74,0.3,703,2.7,1440,5.5,1149,4.4,291,1.1,783,3,20,0.1,907,3.5,3527,13.6,7329,28.2,454,1.7,6875,26.5,3663,14.1,486,1.9,640,2.5,50,0.2,443,1.7,4616,17.8,40,0.2,720,2.8,21,0.1,843,3.2,0,0,9049,34.8,37292,143.5
4,Bihar,5116,5.2,3818,3.9,742,0.8,1447,1.5,2599,2.6,939,1,1660,1.7,2153,2.2,200,0.2,2691,2.7,5260,5.3,13759,13.9,1326,1.3,12433,12.6,11106,11.2,1493,1.5,1729,1.8,83,0.1,586,0.6,6142,6.2,1021,1,547,0.6,55,0.1,1423,1.4,0,0,56678,57.4,118648,120.2
5,Goa,38,2.4,34,2.2,6,0.4,18,1.2,11,0.7,7,0.4,4,0.3,5,0.3,0,0,49,3.1,427,27.4,755,48.4,209,13.4,546,35,67,4.3,30,1.9,75,4.8,3,0.2,28,1.8,217,13.9,2,0.1,26,1.7,7,0.4,15,1,0,0,776,49.7,2589,166
6,Gujarat,1353,2.8,695,1.5,20,0,331,0.7,1336,2.8,1074,2.2,262,0.5,340,0.7,10,0,1346,2.8,6061,12.7,17812,37.3,4876,10.2,12936,27.1,2111,4.4,2029,4.2,2100,4.4,80,0.2,693,1.5,15954,33.4,94,0.2,1083,2.3,172,0.4,3886,8.1,0,0,67280,140.8,124786,261.1
7,Haryana,839,4.3,487,2.5,104,0.5,372,1.9,542,2.8,350,1.8,192,1,112,0.6,98,0.5,438,2.2,3717,18.9,6753,34.4,2949,15,3804,19.4,970,4.9,433,2.2,1339,6.8,47,0.2,219,1.1,5879,29.9,288,1.5,553,2.8,300,1.5,1369,7,0,0,14854,75.6,39713,202.2
8,Himachal Pradesh,133,2,79,1.2,7,0.1,109,1.7,126,1.9,89,1.3,37,0.6,4,0.1,0,0,17,0.3,960,14.5,658,10,158,2.4,500,7.6,589,8.9,69,1,144,2.2,4,0.1,203,3.1,1616,24.5,5,0.1,297,4.5,23,0.3,258,3.9,0,0,5776,87.5,11077,167.8
9,jammu & Kashmir,765,7.8,885,9,26,0.3,170,1.7,623,6.4,473,4.8,150,1.5,40,0.4,0,0,126,1.3,1294,13.2,1732,17.7,364,3.7,1368,14,869,8.9,112,1.1,343,3.5,11,0.1,425,4.3,352,3.6,6,0.1,507,5.2,341,3.5,39,0.4,0,0,8437,86.2,17103,174.7
10,Karnataka,1651,3.2,1662,3.2,51,0.1,301,0.6,630,1.2,320,0.6,310,0.6,284,0.5,0,0,1027,2,8369,16.2,14592,28.3,3886,7.5,10706,20.7,7569,14.7,499,1,2270,4.4,81,0.2,278,0.5,24288,47,217,0.4,1501,2.9,147,0.3,1560,3,0,0,43582,84.4,110559,214.1
11,Kerala,484,1.5,498,1.6,91,0.3,423,1.3,188,0.6,123,0.4,65,0.2,112,0.3,5,0,370,1.2,4505,14,4291,13.4,1354,4.2,2937,9.2,6610,20.6,440,1.4,2666,8.3,143,0.4,390,1.2,18662,58.2,31,0.1,1643,5.1,50,0.2,2488,7.8,0,0,50358,157,94448,294.4
12,Madhya Pradesh,3225,4.1,3082,3.9,189,0.2,3561,4.5,1203,1.5,942,1.2,261,0.3,177,0.2,154,0.2,1698,2.2,18178,23.1,24254,30.8,4333,5.5,19921,25.3,3358,4.3,761,1,1927,2.4,44,0.1,1145,1.5,30530,38.7,584,0.7,8054,10.2,693,0.9,3012,3.8,0,0,100135,127.1,205964,261.3
13,Maharashtra,3024,3.3,1363,1.5,91,0.1,1320,1.5,1125,1.2,727,0.8,398,0.4,513,0.6,257,0.3,2554,2.8,15735,17.4,43846,48.5,7986,8.8,35860,39.6,5246,5.8,1660,1.8,3773,4.2,159,0.2,1234,1.4,29016,32.1,395,0.4,2766,3.1,825,0.9,7026,7.8,0,0,55508,61.4,177436,196.2
14,Manipur,189,7.7,88,3.6,7,0.3,12,0.5,73,3,38,1.5,35,1.4,9,0.4,3,0.1,26,1.1,78,3.2,281,11.4,78,3.2,203,8.2,68,2.8,21,0.9,63,2.6,8,0.3,58,2.3,195,7.9,0,0,13,0.5,0,0,2,0.1,0,0,1275,51.6,2469,100
15,Meghalaya,134,5.6,28,1.2,6,0.3,27,1.1,37,1.6,10,0.4,27,1.1,105,4.4,2,0.1,100,4.2,155,6.5,437,18.4,9,0.4,428,18,16,0.7,20,0.8,37,1.6,2,0.1,31,1.3,132,5.5,0,0,17,0.7,0,0,0,0,0,0,432,18.2,1718,72.2
16,Mizoram,34,3.7,21,2.3,3,0.3,71,7.6,3,0.3,0,0,3,0.3,6,0.6,0,0,10,1.1,474,51,937,100.8,43,4.6,894,96.1,5,0.5,35,3.8,80,8.6,18,1.9,27,2.9,82,8.8,0,0,74,8,0,0,0,0,0,0,340,36.6,2220,238.7
17,Nagaland,128,7.8,32,1.9,0,0,11,0.7,48,2.9,5,0.3,43,2.6,29,1.8,0,0,125,7.6,145,8.8,253,15.3,83,5,170,10.3,14,0.8,10,0.6,36,2.2,4,0.2,10,0.6,32,1.9,0,0,3,0.2,0,0,0,0,0,0,369,22.4,1249,75.7
18,Orissa,1019,2.9,1299,3.6,65,0.2,820,2.3,482,1.4,431,1.2,51,0.1,348,1,14,0,1195,3.4,4348,12.2,7092,19.9,674,1.9,6418,18,1443,4,288,0.8,554,1.6,4,0,377,1.1,4748,13.3,234,0.7,1494,4.2,158,0.4,1208,3.4,0,0,23203,65.1,50393,141.4
19,Punjab,741,3.2,528,2.3,108,0.5,282,1.2,423,1.8,280,1.2,143,0.6,18,0.1,64,0.3,58,0.2,1350,5.8,2206,9.4,949,4.1,1257,5.4,3,0,314,1.3,1683,7.2,24,0.1,53,0.2,3438,14.7,193,0.8,198,0.8,2,0,562,2.4,0,0,8024,34.3,20272,86.7
