SI. No.,Crime Rate for Violent Crimes (IPC),1997,1998,1999
1,Affecting Life,10.3,10.6,10.2
2,Affecting Property,3.3,3.4,3
3,Affecting Public Safety,10.9,10.7,9.3
4,Affecting Women,1.6,1.6,1.6
Total Violent Crimes,Total Violent Crimes,26.1,26.3,24.1
