SI.No. (1),States/UT/City (2),No. of police personnel Committed Suicide While In Service - 18-25 years (3),No. of police personnel Committed Suicide While In Service - 26-35 years (4),No. of police personnel Committed Suicide While In Service - 36-45 years (5),No. of police personnel Committed Suicide While In Service - 46-55 years (6),No. of police personnel Committed Suicide While In Service - Above 55 years (7),No. of police personnel Committed Suicide While In Service - Total (Col.3 to 7) (8)
1,Andhra Pradesh,0,2,1,0,0,3
2,Arunachal Pradesh,1,4,3,1,0,9
3,Assam,0,0,0,0,0,0
4,Bihar,0,0,1,0,0,1
5,Goa,0,0,0,0,1,1
6,Gujarat,1,0,10,4,0,15
7,Haryana,0,0,0,0,0,0
8,Himachal Pradesh,0,0,0,0,0,0
9,Jammu & Kashmir,0,0,0,0,0,0
10,Karnataka,2,4,3,2,1,12
11,Kerala,0,3,2,4,0,9
12,Madhya Pradesh,1,10,10,6,0,27
13,Maharashtra,2,7,3,2,0,14
14,Manipur,0,0,0,0,0,0
15,Meghalaya,0,0,0,0,0,0
16,Mizoram,0,0,0,1,0,1
17,Nagaland,0,0,0,0,0,0
18,Orissa,0,0,0,0,0,0
19,Punjab,0,1,2,2,1,6
20,Rajasthan,0,0,0,0,0,0
21,Sikkim,NR,NR,NR,NR,NR,NR
22,Tamil Nadu,0,4,5,3,0,12
23,Tripura,0,0,0,0,0,0
24,Uttar Pradesh,0,1,2,0,0,3
25,West Bengal,1,1,2,15,5,24
Total States,Total States,8,37,44,40,8,137
26,A & N Islands,0,0,0,0,0,0
27,Chandigarh,0,0,0,0,0,0
28,D & N Haveli,0,1,0,0,0,1
29,Daman & DIU,0,0,1,0,0,1
30,Delhi,1,2,1,3,0,7
31,Lakshadweep,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0
Total (UTs),Total (UTs),1,3,2,3,0,9
Total (All-India),Total (All-India),9,40,46,43,8,146
33,Ahmedabad,0,0,0,2,0,2
34,Bangalore,0,1,1,0,0,2
35,Bhopal,0,1,0,0,0,1
36,Calcutta,0,0,0,1,0,1
37,Chennai,0,0,0,0,0,0
38,Coimbatore,0,2,0,0,0,2
39,Delhi,1,2,1,3,0,7
40,Hyderabad,0,0,0,0,0,0
41,Indore,0,0,0,0,0,0
42,Jaipur,0,0,0,0,0,0
43,Kanpur,0,0,0,0,0,0
44,Kochi,0,1,0,0,0,1
45,Lucknow,0,0,0,0,0,0
46,Ludhiana,0,0,0,0,0,0
47,Madurai,0,0,0,0,0,0
48,Mumbai,0,2,0,1,0,3
49,Nagpur,1,1,0,0,0,2
50,Patna,0,0,0,0,0,0
51,Pune,1,2,7,6,0,16
52,Surat,0,0,0,0,0,0
53,Vadodra,0,0,0,0,0,0
54,Varanasi,0,0,0,0,0,0
55,Vishakhapatnam,0,0,0,0,0,0
Total Cities,Total Cities,3,12,9,13,0,37
